"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","nb1_ctrl","nb1_trt","nb2_ctrl","nb2_trt","alpha_mu_ctrl","alpha_mu_trt","log_var_ctrl","log_var_trt","log_nb1_ctrl","log_nb1_trt","log_nb2_ctrl","log_nb2_trt","log_alpha_mu_ctrl","log_alpha_mu_trt","gene_symbol"
"301896",0.00264065339263417,0.00604921140283753,19697,9042,71,75.8,666,1999.7,71,75.8,595,1923.9,8.38028169014085,25.3812664907652,6.50279004591562,7.60125239830637,4.27666611901606,4.34120464015363,6.39024066706535,7.56262929732059,2.12588152850431,3.2340113621746,"Ankrd34a"
"301902",0.00509552104116963,0.00749325807980379,11518,5646,2.2,4,10.2,19.5,2.2,4,8,15.5,3.63636363636364,3.875,2.41591377830105,3.02042488614436,1.16315080980568,1.6094379124341,2.19722457733622,2.80336038090653,1.29098418131557,1.35454566280531,"Lix1l"
"301907",0.0109163856380993,0.0104258617666683,1718,1694,8.6,3,95.3,17,8.6,3,86.7,14,10.0813953488372,4.66666666666667,4.56746831880408,2.89037175789616,2.26176309847379,1.38629436111989,4.47392189937814,2.70805020110221,2.31069168052703,1.54044504094715,"Lix1l"
"301909",0.00333689154817428,0.00371474041148288,16886,18053,1,2.6,5,13.8,1,2.6,4,11.2,4,4.30769230769231,1.79175946922805,2.69462718077007,0.693147180559945,1.28093384546206,1.6094379124341,2.50143595173921,1.38629436111989,1.46040233327361,"Rbm8a"
"301915",0.00051846064708329,0.00687244718924231,28618,6931,13,9.6,85.5,102.8,13,9.6,72.5,93.2,5.57692307692308,9.70833333333333,4.46014441393783,4.64246597073179,2.63905732961526,2.36085400111802,4.29728540621879,4.54542018158232,1.71863720439909,2.27298462321775,"Rbm8a"
"301916",0.00886102387944784,0.000228408897095913,3821,30456,3,2.8,18,8.7,3,2.8,15,5.9,5,2.10714285714286,2.94443897916644,2.27212588550934,1.38629436111989,1.33500106673234,2.77258872223978,1.93152141160321,1.6094379124341,0.745332933730516,"Rbm8a"
"301917",0.0098502772164723,0.00388902033659942,2634,17356,77.4,49.2,4036.3,1800.7,77.4,49.2,3958.9,1751.5,51.1485788113695,35.599593495935,8.30333143070027,7.49648594262165,4.36182392735636,3.91601502669768,8.28397405140442,7.46879861890875,3.93473470728767,3.57233421913928,"Rbm8a"
"301919",0.00241888002963013,0.00228179091368041,20714,24601,39,35,384,96.5,39,35,345,61.5,8.84615384615385,1.75714285714286,5.95324333428778,4.5798523780038,3.68887945411394,3.58351893845611,5.84643877505772,4.13516655674236,2.17998277090171,0.563689113323058,"Rbm8a"
"301925",0.00455115189005933,0.00428388399141799,12984,15477,16.8,20,73.7,160,16.8,20,56.9,140,3.38690476190476,7,4.31348009213877,5.08140436498446,2.87919845729804,3.04452243772342,4.05871738457895,4.94875989037817,1.21991645472307,1.94591014905531,"Pex11b"
"301934",0.00281549802650339,0.0119146314191022,18873,756,28.8,26.8,130.7,441.7,28.8,26.8,101.9,414.9,3.53819444444444,15.4813432835821,4.88052660874924,6.0928923397381,3.39450839351136,3.32503602069659,4.63375764284,6.03044484674887,1.26361655308678,2.73963563982201,"Ankrd35"
"301939",0.00676392655788793,0.00471112025552443,7680,13613,21.8,19.2,495.2,145.2,21.8,19.2,473.4,126,21.7155963302752,6.5625,6.2069790712577,4.98497554731568,3.1267605359604,3.00568260440716,6.16205084768352,4.84418708645859,3.07803072728484,1.88137162791774,"Pias3"
"301940",0,0.000697098479928872,31391,29246,0,2.4,0,6.3,0,2.4,0,3.9,NA,1.625,0,1.98787434815435,0,1.22377543162212,0,1.58923520511658,NA,0.485507815781701,"Pias3"
"301942",0.00163199281159577,0.00964875049687349,24143,2462,0.6,2.8,1.8,19.2,0.6,2.8,1.2,16.4,2,5.85714285714286,1.02961941718116,3.00568260440716,0.470003629245736,1.33500106673234,0.78845736036427,2.85647020622048,0.693147180559946,1.76766191764899,"Polr3c"
"301964",0.00783164074023554,0.00105704947689566,5487,28272,14.4,12,125.8,6,14.4,12,111.4,0,7.73611111111111,-0.5,4.84261104200313,1.94591014905531,2.73436750941958,2.56494935746154,4.72206393745959,0,2.04589912091123,NA,"Rnf115"
"301965",0.00165003679406046,0.00881348404430529,24005,3499,14.8,13.8,47.2,255.2,14.8,13.8,32.4,241.4,2.18918918918919,17.4927536231884,3.87535902105655,5.54595838946263,2.76000994003292,2.69462718077007,3.50855589998265,5.49058925419516,0.783531242028214,2.86178671650027,"Rnf115"
"301969",0.00280028971780755,0.00503271710982471,18987,12414,4.6,5,9.8,28.5,4.6,5,5.2,23.5,1.1304347826087,4.7,2.37954613413017,3.38439026334577,1.7227665977411,1.79175946922805,1.82454929205105,3.19867311755068,0.122602322092333,1.54756250871601,"Rnf115"
"301994",0.00260488053977262,0.0010396906409953,19808,28298,11.4,3.8,18.3,13.2,11.4,3.8,6.9,9.4,0.605263157894737,2.47368421052632,2.96010509591084,2.65324196460721,2.51769647261099,1.56861591791385,2.06686275947298,2.34180580614733,-0.502091943797236,0.905708622543618,"Acp6"
"302039",0.00208323101241151,0.00585876370042979,22140,9581,1.8,2,7.2,20,1.8,2,5.4,18,3,9,2.10413415427021,3.04452243772342,1.02961941718116,1.09861228866811,1.85629799036563,2.94443897916644,1.09861228866811,2.19722457733622,"-"
