"percentile","rank_index","lo_rank","hi_rank","n_bin","mu","variance","alpha_gene_wise","iod_emp","cv2_emp","iod_nb","cv2_nb","diff_emp","diff_nb","log_ratio_emp","log_ratio_nb","iod_emp_scaled","cv2_emp_scaled","iod_nb_scaled","cv2_nb_scaled"
0.28,8835,8520,8835,316,14.9,112.95,0.463257812958772,11,0.55829432544202,11.0949397484596,0.532740073271369,7.70605794984173,9.58755696269223,2.70133869093614,2.70133869093614,0.539705001847189,0.056396574881075,0.140445729177179,0.0292205293217423
0.29,9150,8836,9150,315,10.4,68.5,0.547188442085661,8.5,0.60079133694294,10.1525292123891,0.658154006998975,6.30612244897959,8.16132898930722,2.34180580614733,2.34180580614733,0.372948452820254,0.0654247114906844,0.109575315708123,0.0426252167090134
0.3,9466,9151,9466,316,10,60.45,0.624165225255974,10,0.634891187176803,12.2603255765267,0.728513559676938,5.77470203767782,10.5,2.30258509299405,2.30258509299405,0.473002382236415,0.0726689410354341,0.178620113892162,0.0501454959979544
0.31,9781,9467,9781,315,18.2,161.3,0.34361279591602,10,0.515318462778823,10.2352805875316,0.400314601751438,8.85779948290721,8.4115219789926,2.90142159408275,2.90142159408275,0.473002382236415,0.047266710325052,0.112285991223734,0.0150664238322187
0.32,10097,9782,10097,316,9.5,58.5,0.673050771227677,9,0.59375,11.3508373637864,0.820926380687087,5.46814404432133,8.44444444444444,2.25123639387487,2.25123639387487,0.406299762625641,0.0639288380259402,0.148828132480755,0.0600229070590525
0.33,10412,10098,10412,315,14.6,138.8,0.416110799469021,9,0.519770408163265,10.4059254128336,0.459916385172373,8.20534139581759,8.44444444444444,2.68102152871429,2.68102152871429,0.406299762625641,0.0482124890913635,0.11787578050537,0.0214368744730283
0.34,10728,10413,10728,316,22.3,255.2,0.337914003490396,11.7914668864249,0.482556229727923,9.05867005850659,0.391475116282215,11.2392471545382,8.53992320662894,3.10457662386961,3.10457662386961,0.592497916506915,0.0403066464247239,0.0737439205095243,0.0141216281794756
0.35,11044,10729,11044,316,13.5,86.75,0.547648117111312,8,0.555664721337915,11.8499049897578,0.650009760688364,5.95752869688309,6.375,2.60266224984944,2.60266224984944,0.339597143014867,0.0558379373618101,0.16517602267625,0.0417547306908028
0.36,11359,11045,11359,315,11.8,71.5,0.507932407653306,8,0.526655393378426,10.7752679127413,0.596067937797743,5.32474567314044,6.42921514910672,2.46809953147162,2.46809953147162,0.339597143014867,0.0496751469320511,0.129974282429369,0.0359892367663493
0.37,11675,11360,11675,316,21.6,197.7,0.259069000869897,9.203125,0.414232828105882,8.61783174450534,0.310610778530169,8.72079529190419,7.56933149226255,3.07230736330083,3.07230736330083,0.419848732234079,0.0257919080539178,0.0593034399489358,0.00547856009184818
