"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","alpha_emp_ctrl","alpha_emp_trt","alpha_mu_ctrl","alpha_mu_trt","log_alpha_mu_ctrl","log_alpha_mu_trt","gene_symbol"
"182118",0.00268027305038368,0.000848048052662033,20750,26193,2,3.6,8,64.8,1.5,4.72222222222222,3,17,1.09861228866811,2.83321334405622,"-"
"182126",0.00354736503569562,0.0053936211248527,16924,10995,1.8,1.6,7.2,5.3,1.66666666666667,1.4453125,3,2.3125,1.09861228866811,0.838329190404443,"LOC692041"
"182128",0.000112138970876576,0.00343740871119785,30371,16832,0.6,1.4,1.8,3.8,3.33333333333333,1.22448979591837,2,1.71428571428571,0.693147180559946,0.538996500732687,"-"
"182144",0.00120597455427301,0.00899196319115229,26994,3464,11.8,20.2,15.7,587.2,0.0280091927607009,1.38956965003431,0.330508474576271,28.0693069306931,-1.10712297833602,3.33467669932059,"Spry2"
"182145",0.00251917197700079,0.00142262926679333,21487,24471,15.4,12,31.3,36,0.0670433462641255,0.166666666666667,1.03246753246753,2,0.0319515998066024,0.693147180559945,"Spry2"
"182151",0.00776342946742741,0.00561104384742193,5279,10437,14.2,4.4,147.7,18.3,0.662071017655227,0.71797520661157,9.40140845070423,3.15909090909091,2.24085951323309,1.15028429921243,"Spry2"
"182163",0.00990988648518612,0.00548118946504395,2508,10764,1.8,4.4,16.2,54.3,4.44444444444444,2.57747933884297,8,11.3409090909091,2.07944154167984,2.42841646183326,"LOC108352964"
"182188",0.0113579987310607,0.00264512759772892,1368,20047,2.6,2.2,33.8,4.2,4.61538461538461,0.413223140495868,12,0.909090909090909,2.484906649788,-0.0953101798043249,"-"
"182204",0.000112138970876576,0.000690634253578532,30372,26779,0.6,2,1.8,20,3.33333333333333,4.5,2,9,0.693147180559946,2.19722457733622,"-"
"182218",0.00723706940692872,0,6226,30956,2.8,0,39.2,0,4.64285714285714,NA,13,NA,2.56494935746154,NA,"-"
"182350",0.00363961591342034,0.0110094118826911,16453,1590,7.2,5.8,33.7,30.2,0.511188271604938,0.725326991676575,3.68055555555556,4.20689655172414,1.30306370697017,1.43672521474678,"-"
"182396",0.000618202328850274,0.00078038405717069,28864,26393,141.2,162,393.2,12058.5,0.0126395364700784,0.45330361225423,1.78470254957507,73.4351851851852,0.579251762452282,4.2964031829591,"Slitrk1"
"182412",0.00293768438938821,0.000150634614227728,19681,29827,14.4,12.2,86.3,224.7,0.346739969135802,1.4277076054824,4.99305555555555,17.4180327868852,1.60804805814505,2.85750603662526,"-"
"182432",0.00330893804427573,0,18152,30957,3,0,9.5,0,0.722222222222222,NA,2.16666666666667,NA,0.773189888233482,NA,"-"
"182484",0.00143543587461111,0.00151191256417439,26070,24176,11.8,18,28.7,41.5,0.121373168629704,0.0725308641975309,1.43220338983051,1.30555555555556,0.359214090457409,0.266628663253949,"Slitrk6"
"182542",0.00859249443367606,0.00345891301952244,4015,16762,5.8,5,26.2,13.5,0.606420927467301,0.34,3.51724137931034,1.7,1.2576769832978,0.53062825106217,"LOC102556470"
"182546",0,0,31121,30958,0,0,0,0,NA,NA,NA,NA,NA,NA,"LOC102556470"
"182644",0.00473869522993778,0.00118351642502178,12213,25182,15.2,13.4,79.7,36.3,0.27917243767313,0.127533971931388,4.24342105263158,1.7089552238806,1.4453697959495,0.535882203603328,"-"
"182664",0.00808141885661523,0.00638085795253192,4794,8439,1.4,1.2,3.8,2.7,1.22448979591837,1.04166666666667,1.71428571428571,1.25,0.538996500732687,0.22314355131421,"-"
"182668",0,0.000454908484278181,31122,28399,0,0.6,0,1.8,NA,3.33333333333333,NA,2,NA,0.693147180559946,"-"
"182676",0.00226157418971421,0.0026629109993961,22649,19966,1.2,1.8,2.7,6.2,1.04166666666667,1.35802469135802,1.25,2.44444444444444,0.22314355131421,0.893817876022097,"-"
"182683",0.00115470545709523,0.000598914211679588,27224,27273,0.6,1.4,1.8,9.8,3.33333333333333,4.28571428571429,2,6,0.693147180559946,1.79175946922806,"-"
"182687",0.00329208159033616,0.00624274677314111,18219,8752,9,6.2,21.5,37.2,0.154320987654321,0.806451612903226,1.38888888888889,5,0.328504066972036,1.6094379124341,"-"
"182715",0.000436891335068622,0.00851980298343821,29336,4099,9.8,5,23.2,34,0.139525197834236,1.16,1.36734693877551,5.8,0.312872321280339,1.75785791755237,"-"
"182720",0.00769754965655271,0.00288026233543594,5518,18968,3.4,2.6,14.3,8.3,0.942906574394464,0.843195266272189,3.20588235294118,2.19230769230769,1.16498735761298,0.784954729813068,"-"
"182810",0.00541083547612984,0.00320180821239676,10286,17692,3.4,3.8,12.8,28.7,0.813148788927336,1.72437673130194,2.76470588235294,6.55263157894737,1.01693425765384,1.87986673673832,"Gpc6"
"182814",0.00520731134654358,0.00294708914468305,10802,18700,3.4,1.4,9.8,3.8,0.55363321799308,1.22448979591837,1.88235294117647,1.71428571428571,0.632522558743511,0.538996500732687,"Gpc6"
"182833",0.00773861210237005,0.000128856254004341,5314,29913,4.4,1.4,60.8,3.8,2.91322314049587,1.22448979591837,12.8181818181818,1.71428571428571,2.5508646175798,0.538996500732687,"-"
"182846",0.0115307205094377,0.0123624397639441,1260,835,3,3.6,18,42.3,1.66666666666667,2.98611111111111,5,10.75,1.6094379124341,2.37490575457367,"Sox21"
"182859",0.00205025451724538,0.00631693383339435,23593,8614,10.4,11,13.3,50.5,0.0268121301775148,0.326446280991736,0.278846153846154,3.59090909090909,-1.2770950691549,1.27840539910871,"Abcc4"
"182907",0.00219599200422859,0.00699767726367124,23010,6862,2.8,2.8,8.7,8.7,0.752551020408163,0.752551020408163,2.10714285714286,2.10714285714286,0.745332933730516,0.745332933730516,"Dzip1"
"182908",0.00822635637390793,0.0123978508461807,4618,818,2.4,4.6,5.3,67.8,0.503472222222222,2.98676748582231,1.20833333333333,13.7391304347826,0.189241999638528,2.62024799765776,"Dzip1"
"182909",0.00143368713013954,0.00167627661649004,26080,23686,3.6,3.6,15.3,0.8,0.902777777777778,-0.216049382716049,3.25,-0.777777777777778,1.17865499634165,NA,"Dzip1"
"182911",0.00173205818564285,0.00355543553493781,24861,16302,1.4,1.8,9.8,6.2,4.28571428571429,1.35802469135802,6,2.44444444444444,1.79175946922806,0.893817876022097,"Dzip1"
"182912",0.00223164636880433,0.00303818425137363,22845,18360,135,117.4,1212,3024.8,0.0590946502057613,0.210944687421097,7.97777777777778,24.7649063032368,2.07665989871796,3.20942758259823,"Dzip1"
