"comparison_name","analysis_label","dataset_key","feature_id","orig_id","gene_symbol","baseMean","log2FoldChange","lfc_shrunk","regulation_direction","stat","pvalue","padj","greaterAbs_pvalue","greaterAbs_padj","empirical_p","empirical_bh","empirical_q","empirical_lfdr","neglog10_empirical_p","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","standard_flag","strong_flag","weak_flag","hbfss_flag","display_standard","display_strong","display_weak","display_hbfss","final_class","lfcSE","hc_pass","R0_1","R0_2","R0_3","R0_4","R0_5","ZT6_1","ZT6_2","ZT6_3","ZT6_4","ZT6_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier"
"RT0_ZT6","Lead_RawEVS","Lead","315490","315490","LOC102549726",53.5450587398832,-0.991536530531389,-0.0356049078588393,"downregulated",-2.1404520150188,0.032318254765171,0.695349897743074,1,1,0.110739501071077,0.994912283748281,0.999999999999,1,0.955697437502488,0.0340275192032049,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.463236981522653,FALSE,33.3354233657852,37.6819983321904,53.0095346090475,15.4565824980899,40.2240895656593,98.8679075508312,72.8536771238508,49.8097805839961,104.99769016503,29.2139036043511,0.194885143606931,0.341984084267546,0.2353336396845,9,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","299527","299527","Fbxw7",3256.58011375208,0.181276726338985,0.029229478844641,"upregulated",0.865659428133123,0.386676955388647,0.787312302566414,1,1,0.518918193333278,0.994912283748281,0.999999999999,1,0.284901102622208,0.00832751075191073,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.209408828053691,FALSE,3883.57682211397,3813.87498271261,2719.19279383448,3856.87193864102,3029.29005556551,2543.60162153502,3098.55795517378,3661.01887292371,2371.26170343507,3588.55439158564,0.0306531139743518,0.13089727264415,0.0523562648989869,9,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","249570","249570","Ndrg4",1747.78037221974,0.254525837473872,0.048357323881626,"upregulated",1.31785106243441,0.187553510549887,0.718682358343283,1,1,0.326125649952772,0.994912283748281,0.999999999999,1,0.486615042362796,0.0235314012092089,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.193137027945857,FALSE,2330.70168365781,1640.87974555629,1550.03805829048,2322.12421765421,1663.05804790433,1568.16800732539,1492.36204233388,1818.05699131586,1584.16223044612,1508.25269771301,0.0237280082418968,0.133943508676288,0.044215975828133,6,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","335741","335741","Napb",785.716232737069,-0.0201568742550131,-0.00167770671207168,"downregulated",-0.0706508419638293,0.943675645441026,0.985882867013488,1,1,0.958016480429643,0.999133685827716,0.999999999999,1,0.0186270198378541,3.12506762078601e-05,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.285302675732197,FALSE,565.313221244774,653.154637757967,592.92146118268,956.489693411211,1133.20969569461,869.469923820229,497.454014111294,1028.42546970486,743.414302628317,817.309907814753,0.080549216284034,0.141994178535455,0.0964545330175953,9,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","433098","433098","Cap1",278.219361010257,-2.23875318569271,-0.00584779771284519,"downregulated",-1.43353911051514,NA,NA,NA,NA,0.285453636022347,0.994912283748281,0.999999999999,1,0.544464420709902,0.00318391779415295,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",1.56169662150915,FALSE,5.55590389429753,29.6888471708167,45.156270222522,153.656614245717,252.440837963793,10.8802003524838,18.2134192809627,7.3249677329406,14.5617234535444,2244.71482578549,2.92250121958762,0.168672645460418,2.92250121958762,12,TRUE
"RT0_ZT6","Lead_RawEVS","Lead","506911","506911","Ncam1",686.281649499645,0.278399141178268,0.0657440312107888,"upregulated",1.56618136204537,0.117306164735123,0.695349897743074,1,1,0.243217759746432,0.994912283748281,0.999999999999,1,0.614004716084054,0.0403671452178016,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.177756642956528,FALSE,748.658049756592,786.754450026642,604.701357762468,797.377814754403,825.28735488163,665.111378069228,505.422385046715,657.782102418066,585.534564131994,686.187038148712,0.0133833126485242,0.14411327106241,0.0364567737301263,11,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","476374","476374","Ywhaz",984.618731771116,0.43780837960199,0.0535122692436285,"upregulated",1.71934825740316,0.0855509778327076,0.695349897743074,1,1,0.200155626513314,0.994912283748281,0.999999999999,1,0.698632197068548,0.0373853942317999,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.254636242376655,FALSE,1720.94123125866,864.402204165701,1042.52084731127,930.12258209094,1106.85598184125,814.122817679333,908.394286638015,843.836282834757,1023.91908073343,591.072003157801,0.0573408180828506,0.139039658124873,0.0768285434664029,9,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","320904","320904","-",191.995603937037,-4.43013175087181,-0.00587118923152406,"downregulated",-2.39049274907184,NA,NA,NA,NA,0.0748819680612236,0.994912283748281,0.999999999999,1,1.12562274991502,0.00660874416805955,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",1.85322952876218,FALSE,0,36.5401195948513,10.7982385314726,4.5460536759088,33.2889017095111,17.5029310018218,18.2134192809627,0,12.2625039608795,1786.80387161496,4.08994062979657,0.187222003462155,4.08994062979657,10,TRUE
"RT0_ZT6","Lead_RawEVS","Lead","77634","77634","Dusp3",647.391297841396,0.0400833135654577,0.0016670833172026,"upregulated",0.0936376331977066,0.925397013965529,0.979525973162613,1,1,0.944376252473954,0.999133685827716,0.999999999999,1,0.0248549423357835,4.14352597180171e-05,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.428068418611412,FALSE,405.58098428372,500.142886954527,488.865708061216,627.355407275414,1260.81715224773,375.130386066073,448.505449793707,547.907586423957,444.51576858188,1375.09164872574,0.253861539096209,0.145119167339096,0.218506299467237,11,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","10225","10225","LOC108349721",989.658329456012,0.334810046162305,0.0215023218559362,"upregulated",0.990961470230676,0.32170439459029,0.768334607384424,1,1,0.460284764190016,0.994912283748281,0.999999999999,1,0.336973400378052,0.00724571051181813,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.337863838524789,FALSE,636.150995897067,1761.91889171424,646.912653840043,1501.10692378509,972.313337431971,844.398157790592,902.702593112714,1123.65005023309,944.212804987718,563.216885767606,0.131987403366877,0.138980225752826,0.136069536997178,9,FALSE
