"rank","feature_id","gene_symbol","abs_loading","mu","variance","nb1","nb2","alpha_mu","log_variance","log_nb1","log_nb2","log_alpha_mu","nb_gap","var_fit","d1","d2","nb_support"
98,"71654","Slc16a13",0,0,0,0,0,NA,0,0,0,NA,0,-0.362150840485428,0.00178482390092231,3.09045697042161e-07,0.15468105440736
99,"71719","Chrne",0,0,0,0,0,NA,0,0,0,NA,0,-0.360365861342728,0.00178513510340558,3.13359269507492e-07,0.15468105440736
100,"73210","Supt6h",0,0,0,0,0,NA,0,0,0,NA,0,-0.358580568840759,0.00178545061946132,3.17672841972822e-07,0.15468105440736
101,"73234","Sarm1",0,0,0,0,0,NA,0,0,0,NA,0,-0.356794958665948,0.00178577044908953,3.21986414438153e-07,0.15468105440736
102,"75099","Trim37",0,0,0,0,0,NA,0,0,0,NA,0,-0.355009026504722,0.0017860945922902,3.26299986903484e-07,0.15468105440736
103,"75200","Tex14",0,0,0,0,0,NA,0,0,0,NA,0,-0.35322276804351,0.00178642304906333,3.30613559368814e-07,0.15468105440736
104,"75259","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.351436178968738,0.00178675581940893,3.34927131834145e-07,0.15468105440736
105,"75930","Nme1",0,0,0,0,0,NA,0,0,0,NA,0,-0.349649254966835,0.001787092903327,3.39240704299476e-07,0.15468105440736
106,"76292","Ttll6",0,0,0,0,0,NA,0,0,0,NA,0,-0.347861991724227,0.00178743430081753,3.43554276764806e-07,0.15468105440736
107,"76580","Srcin1",0,0,0,0,0,NA,0,0,0,NA,0,-0.346074384927342,0.00178778001188053,3.47867849230137e-07,0.15468105440736
108,"76752","Plxdc1",0,0,0,0,0,NA,0,0,0,NA,0,-0.344286430262608,0.00178813003651599,3.52181421695468e-07,0.15468105440736
109,"76991","Cdc6",0,0,0,0,0,NA,0,0,0,NA,0,-0.342498123416453,0.00178848437472392,3.56494994160798e-07,0.15468105440736
110,"77549","Becn1",0,0,0,0,0,NA,0,0,0,NA,0,-0.340709460075303,0.00178884302650432,3.60808566626129e-07,0.15468105440736
111,"77604","Brca1",0,0,0,0,0,NA,0,0,0,NA,0,-0.338920435925586,0.00178920599185717,3.6512213909146e-07,0.15468105440736
112,"78544","Tanc2",0,0,0,0,0,NA,0,0,0,NA,0,-0.337131046653731,0.0017895732707825,3.6943571155679e-07,0.15468105440736
113,"78938","Bptf",0,0,0,0,0,NA,0,0,0,NA,0,-0.335341287946164,0.00178994486328029,3.73749284022121e-07,0.15468105440736
114,"79424","LOC120095200",0,0,0,0,0,NA,0,0,0,NA,0,-0.333551155489313,0.00179032076935054,3.78062856487452e-07,0.15468105440736
115,"79457","Rgs9",0,0,0,0,0,NA,0,0,0,NA,0,-0.331760644969605,0.00179070098899326,3.82376428952782e-07,0.15468105440736
116,"79918","Sdk2",0,0,0,0,0,NA,0,0,0,NA,0,-0.329969752073469,0.00179108552220845,3.86690001418113e-07,0.15468105440736
117,"80350","Fbf1",0,0,0,0,0,NA,0,0,0,NA,0,-0.328178472487331,0.0017914743689961,3.91003573883444e-07,0.15468105440736
118,"80595","Cygb",0,0,0,0,0,NA,0,0,0,NA,0,-0.326386801897619,0.00179186752935621,3.95317146348774e-07,0.15468105440736
119,"81685","Wdr45b",0,0,0,0,0,NA,0,0,0,NA,0,-0.324594735990761,0.0017922650032888,3.99630718814105e-07,0.15468105440736
120,"82037","Bfar",0,0,0,0,0,NA,0,0,0,NA,0,-0.322802270453184,0.00179266679079384,4.03944291279436e-07,0.15468105440736
121,"82225","Cpped1",0,0,0,0,0,NA,0,0,0,NA,0,-0.321009400971316,0.00179307289187136,4.08257863744766e-07,0.15468105440736
122,"82296","Zc3h7a",0,0,0,0,0,NA,0,0,0,NA,0,-0.319216123231584,0.00179348330652133,4.12571436210097e-07,0.15468105440736
123,"83065","Adcy9",0,0,0,0,0,NA,0,0,0,NA,0,-0.317422432920416,0.00179389803474378,4.16885008675428e-07,0.15468105440736
124,"83889","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.315628325724239,0.00179431707653868,4.21198581140758e-07,0.15468105440736
125,"84587","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.313833797329481,0.00179474043190606,4.25512153606089e-07,0.15468105440736
126,"84604","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.312038843422569,0.0017951681008459,4.2982572607142e-07,0.15468105440736
127,"85938","Cdkl3",0,0,0,0,0,NA,0,0,0,NA,0,-0.310243459689932,0.0017956000833582,4.3413929853675e-07,0.15468105440736
128,"86134","LOC120095098",0,0,0,0,0,NA,0,0,0,NA,0,-0.308447641817995,0.00179603637944297,4.38452871002081e-07,0.15468105440736
129,"86259","Septin8",0,0,0,0,0,NA,0,0,0,NA,0,-0.306651385493188,0.0017964769891002,4.42766443467412e-07,0.15468105440736
130,"87637","Myo15a",0,0,0,0,0,NA,0,0,0,NA,0,-0.304854686401938,0.0017969219123299,4.47080015932742e-07,0.15468105440736
131,"88407","Gas7",0,0,0,0,0,NA,0,0,0,NA,0,-0.303057540230671,0.00179737114913207,4.51393588398073e-07,0.15468105440736
132,"88480","Ntn1",0,0,0,0,0,NA,0,0,0,NA,0,-0.301259942665816,0.0017978246995067,4.55707160863404e-07,0.15468105440736
133,"91818","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.2994618893938,0.0017982825634538,4.60020733328734e-07,0.15468105440736
134,"92913","Msi2",0,0,0,0,0,NA,0,0,0,NA,0,-0.297663376101051,0.00179874474097336,4.64334305794065e-07,0.15468105440736
135,"93917","Copz2",0,0,0,0,0,NA,0,0,0,NA,0,-0.295864398473996,0.00179921123206538,4.68647878259396e-07,0.15468105440736
136,"96247","Cep112",0,0,0,0,0,NA,0,0,0,NA,0,-0.294064952199063,0.00179968203672988,4.72961450724726e-07,0.15468105440736
137,"99105","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.292265032962679,0.00180015715496683,4.77275023190057e-07,0.15468105440736
138,"100285","Ncam2",0,0,0,0,0,NA,0,0,0,NA,0,-0.290464636451271,0.00180063658677626,4.81588595655388e-07,0.15468105440736
139,"101706","Vps26c",0,0,0,0,0,NA,0,0,0,NA,0,-0.288663758351269,0.00180112033215814,4.85902168120718e-07,0.15468105440736
140,"102656","Tbc1d23",0,0,0,0,0,NA,0,0,0,NA,0,-0.286862394349098,0.0018016083911125,4.90215740586049e-07,0.15468105440736
141,"102694","Tmem45a",0,0,0,0,0,NA,0,0,0,NA,0,-0.285060540131186,0.00180210076363932,4.9452931305138e-07,0.15468105440736
142,"103433","Spice1",0,0,0,0,0,NA,0,0,0,NA,0,-0.283258191383961,0.0018025974497386,4.9884288551671e-07,0.15468105440736
143,"107067","Pigz",0,0,0,0,0,NA,0,0,0,NA,0,-0.281455343793851,0.00180309844941035,5.03156457982041e-07,0.15468105440736
144,"107265","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.279651993047283,0.00180360376265457,5.07470030447372e-07,0.15468105440736
145,"107406","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.277848134830685,0.00180411338947124,5.11783602912702e-07,0.15468105440736
146,"107836","RGD1559972",0,0,0,0,0,NA,0,0,0,NA,0,-0.276043764830483,0.00180462732986039,5.16097175378033e-07,0.15468105440736
147,"108201","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.274238878733106,0.001805145583822,5.20410747843364e-07,0.15468105440736
148,"108287","Klhl24",0,0,0,0,0,NA,0,0,0,NA,0,-0.272433472224982,0.00180566815135608,5.24724320308695e-07,0.15468105440736
149,"108508","Rtn4r",0,0,0,0,0,NA,0,0,0,NA,0,-0.270627540992537,0.00180619503246262,5.29037892774025e-07,0.15468105440736
150,"108653","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.268821080722199,0.00180672622714162,5.33351465239356e-07,0.15468105440736
151,"109045","Epha3",0,0,0,0,0,NA,0,0,0,NA,0,-0.267014087100396,0.0018072617353931,5.37665037704686e-07,0.15468105440736
152,"109329","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.265206555813556,0.00180780155721703,5.41978610170017e-07,0.15468105440736
153,"110817","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.263398482548105,0.00180834569261344,5.46292182635348e-07,0.15468105440736
154,"111314","Ifnar1",0,0,0,0,0,NA,0,0,0,NA,0,-0.261589862990471,0.00180889414158231,5.50605755100678e-07,0.15468105440736
155,"111428","Itsn1",0,0,0,0,0,NA,0,0,0,NA,0,-0.259780692827082,0.00180944690412364,5.54919327566009e-07,0.15468105440736
156,"111535","Slc5a3",0,0,0,0,0,NA,0,0,0,NA,0,-0.25797096693718,0.00181000640179685,5.64076018859476e-07,0.15468105440736
157,"111661","LOC120093083",0,0,0,0,0,NA,0,0,0,NA,0,-0.256160676971258,0.00181057505616136,5.73232710152943e-07,0.15468105440736
158,"112074","Brwd1",0,0,0,0,0,NA,0,0,0,NA,0,-0.254349813772627,0.00181115286721716,5.82389401446409e-07,0.15468105440736
159,"113452","Dzip3",0,0,0,0,0,NA,0,0,0,NA,0,-0.252538368184594,0.00181173983496425,5.91546092739876e-07,0.15468105440736
160,"113798","Sidt1",0,0,0,0,0,NA,0,0,0,NA,0,-0.250726331050468,0.00181233595940264,6.00702784033343e-07,0.15468105440736
161,"113838","Atp6v1a",0,0,0,0,0,NA,0,0,0,NA,0,-0.248913693213558,0.00181294124053232,6.09859475326809e-07,0.15468105440736
162,"114519","LOC108352342",0,0,0,0,0,NA,0,0,0,NA,0,-0.247100445517173,0.00181355567835329,6.19016166620276e-07,0.15468105440736
163,"114932","Kalrn",0,0,0,0,0,NA,0,0,0,NA,0,-0.245286578804621,0.00181417927286556,6.28172857913743e-07,0.15468105440736
164,"114956","Kalrn",0,0,0,0,0,NA,0,0,0,NA,0,-0.243472083919211,0.00181481202406912,6.37329549207209e-07,0.15468105440736
165,"115261","Rnf168",0,0,0,0,0,NA,0,0,0,NA,0,-0.241656951704252,0.00181545393196397,6.46486240500676e-07,0.15468105440736
166,"116674","LOC680329",0,0,0,0,0,NA,0,0,0,NA,0,-0.239841173003053,0.00181610499655012,6.55642931794143e-07,0.15468105440736
167,"117145","Ppil2",0,0,0,0,0,NA,0,0,0,NA,0,-0.238024738658922,0.00181676521782756,6.64799623087609e-07,0.15468105440736
168,"117319","Mzt2b",0,0,0,0,0,NA,0,0,0,NA,0,-0.236207639515167,0.00181743459579629,6.73956314381076e-07,0.15468105440736
169,"117645","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.234389866415099,0.00181811313045632,6.83113005674543e-07,0.15468105440736
170,"117795","LOC683489",0,0,0,0,0,NA,0,0,0,NA,0,-0.232571410202024,0.00181880082180764,6.9226969696801e-07,0.15468105440736
171,"118135","LOC103690996",0,0,0,0,0,NA,0,0,0,NA,0,-0.230752261719253,0.00181949766985026,7.01426388261476e-07,0.15468105440736
172,"119357","Card11",0,0,0,0,0,NA,0,0,0,NA,0,-0.228932411810093,0.00182020367458417,7.10583079554943e-07,0.15468105440736
173,"119699","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.227111851317854,0.00182091883600937,7.1973977084841e-07,0.15468105440736
174,"120100","-",0,0,0,0,0,NA,0,0,0,NA,0,-0.225290571085844,0.00182164315412586,7.28896462141876e-07,0.15468105440736
175,"120472","Ccl26",0,0,0,0,0,NA,0,0,0,NA,0,-0.223468561957372,0.00182237662893365,7.38053153435343e-07,0.15468105440736
