"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","alpha_mu","log_alpha_mu","log_mu","log_alpha"
"495939","Ptp4a3",16041,0.00417021981725806,42.4,389.8,0.193240477038092,8.19339622641509,2.10332849156909,3.74714836223791,-1.64381987066882
"60036","Slc35g1",16042,0.00416975320477996,4,7.5,0.21875,0.875,-0.133531392624523,1.38629436111989,-1.51982575374441
"345747","Abcb11",16043,0.00416937321171433,4.6,7.3,0.127599243856333,0.58695652173913,-0.532804530484766,1.52605630349505,-2.05886083397982
"194058","Appl1",16044,0.00416933082493827,17.2,82.7,0.221403461330449,3.80813953488372,1.3371407588218,2.84490938381941,-1.50776862499761
"96627","Kcnj16",16045,0.00416926174762296,3,20,1.88888888888889,5.66666666666667,1.73460105538811,1.09861228866811,0.635988766719997
"172706","Xpo1",16046,0.00416926174762296,3,20,1.88888888888889,5.66666666666667,1.73460105538811,1.09861228866811,0.635988766719997
"176614","Psme2",16047,0.00416926174762296,3,20,1.88888888888889,5.66666666666667,1.73460105538811,1.09861228866811,0.635988766719997
"449970","Clmn",16048,0.00416926174762296,3,20,1.88888888888889,5.66666666666667,1.73460105538811,1.09861228866811,0.635988766719997
"65866","Rab11fip3",16049,0.00416921860042366,129.2,3982.7,0.230850242981338,29.8258513931889,3.39537551386955,4.8613615913485,-1.46598607747895
"371012","Rpia",16050,0.00416918236188562,22.2,249.7,0.461610258907556,10.2477477477477,2.32705794951277,3.10009228887823,-0.773034339365462
"451119","Rpl32-ps3",16051,0.00416908748417705,1097.4,424382.8,0.351482233351133,385.716602879533,5.95510291038452,7.00069902462488,-1.04559611424036
"447310","Erh",16052,0.00416906831468113,137.8,4895.2,0.250536630989571,34.5239477503628,3.54165322092685,4.92580335857956,-1.38415013765271
"215653","Nol7",16053,0.00416879896226154,8.6,101.3,1.2533802055165,10.7790697674419,2.37760626931235,2.15176220325946,0.225844066052885
"484925","Cers5",16054,0.00416842602759526,33.6,250.8,0.192389455782313,6.46428571428571,1.86629252109062,3.51452606696916,-1.64823354587854
"469606","Eef2",16055,0.00416814995509288,3302,2455194.5,0.22487816425337,742.547698364628,6.61008710883526,8.10228362448007,-1.49219651564481
"482100","St13",16056,0.00416790797660075,26.2,152.2,0.183555736845172,4.80916030534351,1.57052249618443,3.26575941076705,-1.69523691458262
