"feature_id","rank","mu","variance","alpha_gene_wise","iod_emp","cv2_emp","iod_nb","cv2_nb","diff_emp","diff_nb","log_ratio_emp","log_ratio_nb"
"234073",15990,594,70260.5,0.0478097753093595,118.28367003367,0.199130757632441,29.3990065337596,0.0494932769928612,118.084539276038,29.3495132567667,6.38687931936265,6.38687931936265
"149189",15991,47,522,0.0945669962140059,11.1063829787234,0.236306020823902,5.44464882205828,0.115843591958687,10.8700769578995,5.32880523009959,3.85014760171006,3.85014760171006
"183414",15992,406.6,44053.3,0.0261175294137503,108.345548450566,0.266467162937938,11.6193874596309,0.0285769489907301,108.079081287628,11.5908105106401,6.00782990119425,6.00782990119425
"372919",15993,51.4,812.8,0.321799538942571,15.8132295719844,0.307650380777907,17.5404963016482,0.341254791860859,15.5055791912065,17.1992415097873,3.93963817246112,3.93963817246112
"528506",15994,6.6,34.8,1.26699993522393,5.27272727272727,0.798898071625344,9.36219957247791,1.41851508673908,4.47382920110193,7.94368448573883,1.88706964903238,1.88706964903238
"251057",15995,37.6,566.3,0.151431466943016,15.061170212766,0.400563037573563,6.6938231570574,0.178027211623867,14.6606071751924,6.51579594543353,3.62700405039585,3.62700405039585
"228708",15996,14.4,91.8,0.522243537343518,6.375,0.442708333333333,8.52030693774665,0.591687981787962,5.93229166666667,7.92861895595869,2.66722820658195,2.66722820658195
"282061",15997,16,86,0.085953513137593,5.375,0.3359375,2.37525621020149,0.148453513137593,5.0390625,2.22680269706389,2.77258872223978,2.77258872223978
"22427",15998,9.6,30.3,0.0740311009385528,3.15625,0.328776041666667,1.71069856901011,0.178197767605219,2.82747395833333,1.53250080140489,2.26176309847379,2.26176309847379
"101480",15999,20.2,104.7,0.134994744768767,5.18316831683168,0.256592490932262,3.7268938443291,0.184499695263817,4.92657582589942,3.54239414906528,3.00568260440716,3.00568260440716
"255564",16000,85.4,1631.8,0.0476114965324306,19.1077283372365,0.223743891536728,5.06602180386957,0.0593210984059669,18.8839844456998,5.0067007054636,4.44734610079452,4.44734610079452
"138545",16001,7.4,32.8,0.995083518963621,4.43243243243243,0.598977355734112,8.36361804033079,1.13021865409876,3.83345507669832,7.23339938623204,2.00148000021012,2.00148000021012
"301611",16002,24,171,0.0831283863013782,7.125,0.296875,2.99508127123308,0.124795052968045,6.828125,2.87028621826503,3.17805383034795,3.17805383034795
"447116",16003,5.4,33.3,1.48985679487116,6.16666666666667,1.14197530864198,9.04522669230427,1.67504198005635,5.02469135802469,7.37018471224792,1.68639895357023,1.68639895357023
"540764",16004,8.2,69.7,0.890158671613905,8.5,1.03658536585366,8.29930110723402,1.0121098911261,7.46341463414634,7.28719121610792,2.10413415427021,2.10413415427021
"338020",16005,103,2959,0.0300191839447718,28.7281553398058,0.278914129512678,4.09197594631149,0.0397279218088494,28.4492412102931,4.05224802450264,4.63472898822964,4.63472898822964
"177084",16006,8,23.5,0.339629970339295,2.9375,0.3671875,3.71703976271436,0.464629970339295,2.5703125,3.25240979237506,2.07944154167984,2.07944154167984
"205823",16007,3.6,5.3,0.228496412407836,1.47222222222222,0.408950617283951,1.82258708466821,0.506274190185614,1.06327160493827,1.3163128944826,1.28093384546206,1.28093384546206
"346027",16008,12,42,1e-08,3.5,0.291666666666667,1.00000012,0.0833333433333333,3.20833333333333,0.916666776666667,2.484906649788,2.484906649788
"311814",16009,81.6,1518.8,0.0088877382631272,18.6127450980392,0.228097366397539,1.72523944227118,0.0211426402239115,18.3846477316417,1.70409680204727,4.40182926197006,4.40182926197006
"373476",16010,367.8,28472.7,0.0206733647148696,77.4135399673736,0.210477270166867,8.60366354212906,0.0233922336653862,77.2030626972067,8.58027130846367,5.90753931217022,5.90753931217022
"26780",16011,32.8,299.7,0.123996983664399,9.13719512195122,0.278573022010708,5.06710106419228,0.154484788542447,8.85862209994051,4.91261627564983,3.4904285153901,3.4904285153901
"19325",16012,1684.2,546529.2,0.0191135900050588,324.503740648379,0.192675300230601,33.19110828652,0.0197073437160194,324.311065348148,33.1714009428039,7.42904595259589,7.42904595259589
"55741",16013,25.8,170.2,0.144734300140637,6.5968992248062,0.255693768403341,4.73414494362844,0.183493990063118,6.34120545640286,4.55065095356533,3.25037449192757,3.25037449192757
"424431",16014,213.2,9424.7,0.0656005435679969,44.2059099437148,0.207344793357011,14.9860358886969,0.0702909750876967,43.9985651503578,14.9157449136092,5.36223069229169,5.36223069229169
"372277",16015,11.8,53.2,1.7394985274015,4.50847457627119,0.382074116633151,21.5260826233377,1.82424429011336,4.12640045963803,19.7018383332243,2.46809953147162,2.46809953147162
"260209",16016,86,1548.5,0.155236719697154,18.0058139534884,0.209369929691725,14.3503578939552,0.166864626673898,17.7964440237966,14.1834932672813,4.45434729625351,4.45434729625351
"37222",16017,11,60,0.169316428806508,5.45454545454545,0.495867768595041,2.86248071687159,0.260225519715599,4.95867768595041,2.60225519715599,2.39789527279837,2.39789527279837
"73206",16018,5.8,108.2,10,18.6551724137931,3.21640903686088,59,10.1724137931034,15.4387633769322,48.8275862068966,1.75785791755237,1.75785791755237
