"rank","feature_id","abs_pc1_loading","mu","empirical_variance.x","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","nb_gap","log_alpha_mu","combined_nb_support","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1","d2"
19889,"521313",0.00482561297677104,70.4,2079.3,70.4,2008.9,0.405333968233471,28.5355113636364,4.26829786934554,7.60584024857171,3.33754237922617,3.38559331442805,0.43448975362628,2079.3,7.64026739306434,4.11414718951828,0,0
19890,"50636",0.00482603351618853,34.8,378.2,34.8,343.4,0.28355793367684,9.86781609195402,3.57794789340665,5.84180377255358,2.26385587914692,2.38580576944393,0.341743677481826,378.2,5.93806377038087,4.15418456257812,0,0
19891,"306608",0.00482795403376727,10.2,156.2,10.2,146,1.40330642060746,14.3137254901961,2.41591377830105,4.99043258677874,2.57451880847769,2.72874951711536,0.347455263805873,156.2,5.05751887999511,4.15418456257812,0,0
19892,"147796",0.00482807415266685,1.8,16.2,1.8,14.4,4.44444444444444,8,1.02961941718116,2.73436750941958,1.70474809223842,2.19722457733622,0.26832445577375,16.2,2.84490938381941,4.15418456257812,0,0
19893,"188314",0.00482807415266685,1.8,16.2,1.8,14.4,4.44444444444444,8,1.02961941718116,2.73436750941958,1.70474809223842,2.19722457733622,0.26832445577375,16.2,2.84490938381941,4.15418456257812,0,0
19894,"191754",0.00482807415266685,1.8,16.2,1.8,14.4,4.44444444444444,8,1.02961941718116,2.73436750941958,1.70474809223842,2.19722457733622,0.26832445577375,16.2,2.84490938381941,4.15418456257812,0,0
19895,"314491",0.00482807415266685,1.8,16.2,1.8,14.4,4.44444444444444,8,1.02961941718116,2.73436750941958,1.70474809223842,2.19722457733622,0.26832445577375,16.2,2.84490938381941,4.11414718951828,0,0
19896,"346450",0.00482807415266685,1.8,16.2,1.8,14.4,4.44444444444444,8,1.02961941718116,2.73436750941958,1.70474809223842,2.19722457733622,0.26832445577375,16.2,2.84490938381941,4.07414185490458,0,0
19897,"370455",0.00482807415266685,1.8,16.2,1.8,14.4,4.44444444444444,8,1.02961941718116,2.73436750941958,1.70474809223842,2.19722457733622,0.26832445577375,16.2,2.84490938381941,4.11414718951828,0,0
19898,"510096",0.00482807415266685,1.8,16.2,1.8,14.4,4.44444444444444,8,1.02961941718116,2.73436750941958,1.70474809223842,2.19722457733622,0.26832445577375,16.2,2.84490938381941,4.11414718951828,0,0
19899,"551901",0.00482810168699002,5.4,50.3,5.4,44.9,1.539780521262,8.31481481481481,1.85629799036563,3.8264651170665,1.97016712670087,2.23160612353546,0.294712706909788,50.3,3.93769075217672,4.11414718951828,0,0
19900,"69904",0.00482870004750784,4.8,83.7,4.8,78.9,3.42447916666667,16.4375,1.75785791755237,4.38077585277223,2.62291793521986,2.85862305958158,0.343016624551839,83.7,4.43911560165801,4.07414185490458,0,0
19901,"181309",0.00482952723832585,10,27.5,10,17.5,0.175,1.75,2.39789527279837,2.91777073208428,0.519875459285908,1.01160091167848,0.199074913702273,27.5,3.3499040872746,4.07414185490458,0,0
19902,"139224",0.00482980079137135,4.2,6.2,4.2,2,0.113378684807256,0.476190476190476,1.64865862558738,1.09861228866811,-0.550046336919272,0.389464766761723,0.1190574345368,6.2,1.97408102602201,4.07414185490458,0,0
19903,"316230",0.00483044756648558,25,113,25,88,0.1408,3.52,3.25809653802148,4.48863636973214,1.23053983171066,1.50851199384414,0.261367181227367,113,4.7361984483945,4.07414185490458,0,0
19904,"176906",0.0048312713268194,3.8,37.2,3.8,33.4,2.31301939058172,8.78947368421053,1.56861591791385,3.53805656437935,1.96944064646551,2.28130769454676,0.291597939394599,37.2,3.64283551561253,4.07414185490458,0,0
19905,"285903",0.0048312713268194,3.8,37.2,3.8,33.4,2.31301939058172,8.78947368421053,1.56861591791385,3.53805656437935,1.96944064646551,2.28130769454676,0.291597939394599,37.2,3.64283551561253,3.98898404656427,0,0
19906,"174367",0.00483242964279849,23.8,206.2,23.8,182.4,0.322011157404138,7.66386554621849,3.21084365317094,5.21166955982236,2.00082590665143,2.15916099090543,0.316328285811718,206.2,5.33368451038533,3.98898404656427,0,0
19907,"315818",0.00483250588099606,4.2,7.7,4.2,3.5,0.198412698412698,0.833333333333333,1.64865862558738,1.50407739677627,-0.144581228811107,0.606135803570316,0.143888986235684,7.7,2.16332302566054,3.98898404656427,0,0
19908,"268159",0.00483305542201164,4.6,7.3,4.6,2.7,0.127599243856333,0.58695652173913,1.7227665977411,1.30833281965018,-0.414433778090925,0.461818044659296,0.128612976568646,7.3,2.11625551480255,4.07414185490458,0,0
19909,"64991",0.00483318361034041,2.6,5.8,2.6,3.2,0.473372781065089,1.23076923076923,1.28093384546206,1.43508452528932,0.154150679827258,0.802346472524937,0.15727325967571,5.8,1.91692261218206,4.07414185490458,0,0
19910,"287200",0.00483318361034041,2.6,5.8,2.6,3.2,0.473372781065089,1.23076923076923,1.28093384546206,1.43508452528932,0.154150679827258,0.802346472524937,0.15727325967571,5.8,1.91692261218206,4.11414718951828,0,0
19911,"542856",0.00483318361034041,2.6,5.8,2.6,3.2,0.473372781065089,1.23076923076923,1.28093384546206,1.43508452528932,0.154150679827258,0.802346472524937,0.15727325967571,5.8,1.91692261218206,4.11414718951828,0,0
19912,"189636",0.00483328961341677,3.6,17.3,3.6,13.7,1.0570987654321,3.80555555555556,1.52605630349505,2.68784749378469,1.16179119028964,1.56977265604167,0.231358268902589,17.3,2.90690105984738,4.15418456257812,0,0
