"feature_id","gene_symbol","ctrl_abs_loading","trt_abs_loading","ctrl_rank","trt_rank","mu_ctrl","mu_trt","var_ctrl","var_trt","nb1_ctrl","nb1_trt","nb2_ctrl","nb2_trt","alpha_mu_ctrl","alpha_mu_trt"
"4276","Scaf8",0.00423061627575839,0.00583180938713182,15843,22824,2.2,4.6,4.2,10.8,2.2,4.6,2,6.2,0.909090909090909,1.34782608695652
"4279","Scaf8",0.00478061585950915,0,18317,14,1.2,0,7.2,0,1.2,0,6,0,5,NA
"4283","-",0.00450773185664153,0.00383576507802655,17198,16683,2.4,2.2,5.3,4.2,2.4,2.2,2.9,2,1.20833333333333,0.909090909090909
"4291","Tiam2",0.00558752225469268,0.0103899712921568,21528,29468,2.6,4,18.8,19.5,2.6,4,16.2,15.5,6.23076923076923,3.875
"4294","Tfb1m",0.00371502776222398,0.00186295299860462,13193,9090,32.2,15,338.2,41.5,32.2,15,306,26.5,9.50310559006211,1.76666666666667
"4303","Tfb1m",0,0.00581974126472149,6,22747,0,2.6,0,13.8,0,2.6,0,11.2,NA,4.30769230769231
"4318","-",0.00336204617703886,0.00441553665564237,11147,18789,0.6,4.4,1.8,20.8,0.6,4.4,1.2,16.4,2,3.72727272727273
"4319","-",0.00398422865285187,0.00254213289784921,14764,11930,2.6,2.4,13.8,4.8,2.6,2.4,11.2,2.4,4.30769230769231,1
"4363","-",0.00676782563295837,0.00219055575033239,24681,10596,1.2,1.4,2.7,3.8,1.2,1.4,1.5,2.4,1.25,1.71428571428571
"4371","-",0.00891798216271318,0.00204712919582113,28320,9839,9,8,323,23,9,8,314,15,34.8888888888889,1.875
"4378","Tmem242",0.00256325366955105,0.00097734111873721,7900,5657,32.2,23.4,122.2,107.8,32.2,23.4,90,84.4,2.79503105590062,3.60683760683761
"4387","LOC120099115",0.00348870645884449,0.00990276303644172,12155,29002,10,2.8,38,10.7,10,2.8,28,7.9,2.8,2.82142857142857
"4389","LOC120099115",0.00886145771974314,0.00333027502906033,28266,14807,3,2,8,9.5,3,2,5,7.5,1.66666666666667,3.75
"4420","-",0.00462274363279614,5.47735425835039e-06,17633,1581,6.2,0.6,20.7,1.8,6.2,0.6,14.5,1.2,2.33870967741935,2
"4428","Synj2",0.00310698820859095,0.00193411766475615,10032,9483,6.6,4.4,47.3,12.3,6.6,4.4,40.7,7.9,6.16666666666667,1.79545454545455
"4455","Dynlt1",0.00564337459270029,0.00244501336252034,21708,11501,10.2,3.8,76.7,12.2,10.2,3.8,66.5,8.4,6.51960784313726,2.21052631578947
"4456","Dynlt1",0.0104871756033028,0.00719661336684621,30089,25403,4.6,1,21.8,5,4.6,1,17.2,4,3.73913043478261,4
"4464","Ezr",0.00325945800195236,0.00424371914664817,10758,18126,136.6,63,7078.8,3447.5,136.6,63,6942.2,3384.5,50.8213762811127,53.7222222222222
"4465","Ezr",0.00307022096077621,0.00970407352987178,9852,28805,14.6,15.4,67.3,181.8,14.6,15.4,52.7,166.4,3.60958904109589,10.8051948051948
