"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","iod_ctrl","iod_trt","cv2_ctrl","cv2_trt","gene_symbol"
"191902",0.00103488431728846,0.00333877504461209,27968,16920,3.6,12,5.3,53,1.47222222222222,4.41666666666667,0.408950617283951,0.368055555555556,"-"
"191914",0,0,31019,30706,0,0,0,0,NA,NA,NA,NA,"-"
"191962",0.00468853636730992,0.012381657977363,13854,976,8.6,13.8,38.3,217.7,4.45348837209302,15.7753623188406,0.517847485127096,1.14314219701743,"-"
"191966",0.0037307495381231,0.000332356487651481,18465,28479,13.2,17.8,32.7,83.2,2.47727272727273,4.67415730337079,0.18767217630854,0.262593106930943,"-"
"191985",0.00050013153517492,0.0104133348819388,29198,2273,7.8,7,58.7,27,7.52564102564103,3.85714285714286,0.96482577251808,0.551020408163265,"-"
"191990",0,0.00762300532398992,31020,5765,0,3.6,0,12.8,NA,3.55555555555556,NA,0.987654320987654,"LOC120097077"
"191991",0.0120090651023394,0.0148168776253877,678,275,17.4,23.6,233.8,885.3,13.4367816091954,37.5127118644068,0.772228828114679,1.58952168916978,"LOC102556470"
"191993",0.0115704220841351,0.00148664041879409,927,24110,4.8,1.2,31.7,2.7,6.60416666666667,2.25,1.37586805555556,1.875,"LOC102556470"
"192013",0.000259611830578193,0.00253228200511449,29968,19994,14,16.2,31,169.2,2.21428571428571,10.4444444444444,0.158163265306122,0.644718792866941,"Slitrk5"
"192014",0.00367535256799683,0.0060167912859111,18731,8605,1.4,4.2,3.8,19.2,2.71428571428571,4.57142857142857,1.93877551020408,1.08843537414966,"Slitrk5"
"192040",0.00345524766242174,0.00534123537409347,19747,10401,1.6,3.8,4.8,24.2,3,6.36842105263158,1.875,1.67590027700831,"-"
"192079",0.00829936914851403,0.00612212962244711,4293,8357,1.8,1.4,6.2,9.8,3.44444444444444,7,1.91358024691358,5,"-"
"192087",0.003857763502764,0.0112479866868597,17808,1615,1.2,7.2,7.2,69.2,6,9.61111111111111,5,1.33487654320988,"-"
"192090",0.0095048321394931,0.000610406779080336,2680,27463,3.6,1.8,16.8,7.2,4.66666666666667,4,1.2962962962963,2.22222222222222,"-"
"192096",0.00406944543063178,0.00847810914353014,16604,4371,4.6,9.6,10.3,46.8,2.23913043478261,4.875,0.486767485822306,0.5078125,"-"
"192155",0.0120630010502495,0.000653280330147475,655,27288,103.4,25.2,22818.3,351.7,220.679883945841,13.9563492063492,2.13423485440852,0.553823381204334,"-"
"192537",0.0099344277130118,0.0071084596822541,2222,6476,19.4,18,392.8,126,20.2474226804124,7,1.04368158146456,0.388888888888889,"Gpc5"
"192691",0.00471922844164749,0.0016801824900151,13710,23325,1.2,2.8,7.2,7.7,6,2.75,5,0.982142857142857,"Gpc6"
"192718",0.00359914654228596,0.00789851038756677,19098,5160,3,6.8,23,37.2,7.66666666666667,5.47058823529412,2.55555555555556,0.804498269896194,"Gpc6"
"192798",0.00878402175187609,0.00253905078123793,3564,19863,2.8,5.2,8.7,27.7,3.10714285714286,5.32692307692308,1.10969387755102,1.02440828402367,"Gpc6"
"192800",0.00401440493007474,0.000568672219504129,16869,27633,10.6,13,73.3,24,6.91509433962264,1.84615384615385,0.652367390530438,0.142011834319527,"Gpc6"
"192816",0.00731603367888371,0.00550899441376531,5889,10059,1.4,2,3.8,9.5,2.71428571428571,4.75,1.93877551020408,2.375,"Gpr180"
"192823",0.00290585807105879,0.00496675362381576,22636,11383,8.4,9.6,18.3,46.3,2.17857142857143,4.82291666666667,0.259353741496599,0.502387152777778,"Gpr180"
"192832",0,0.00311519361854814,31021,17645,0,1.6,0,5.3,NA,3.3125,NA,2.0703125,"-"
"192836",0,0.00220172604670984,31022,21041,0,2.2,0,4.2,NA,1.90909090909091,NA,0.867768595041322,"Abcc4"
"192856",0.0019335730758832,0.000978667614806827,25701,26098,17.8,10.6,116.2,71.8,6.52808988764045,6.77358490566038,0.366746622901149,0.639017443930224,"Cldn10"
"192870",0.00459722714025518,0.0113005510087592,14226,1578,14.4,7.8,99.8,40.7,6.93055555555556,5.21794871794872,0.481288580246914,0.6689677843524,"Dnajc3"
"192875",0.00142011358018247,0.000654671721831374,27080,27279,43.2,37.6,339.7,155.8,7.86342592592592,4.1436170212766,0.182023748285322,0.110202580353101,"-"
"193163",0.00320275389304495,0.00139852616765283,21213,24476,17.4,20.6,78.3,257.3,4.5,12.4902912621359,0.258620689655172,0.606324818550287,"-"
"193252",0.010215695044147,0.00556806016709216,1913,9715,10.2,0.6,79.7,1.8,7.81372549019608,3,0.766051518646674,5,"Mbnl2"
"193302",0.00725997960168225,0.00262114411463653,6051,19452,47.2,36.2,1697.7,445.7,35.9682203389831,12.3121546961326,0.762038566503878,0.340114770611398,"Mbnl2"
"193303",0.00500489169673285,8.68140110265029e-06,12482,29729,12.2,1.6,55.7,12.8,4.5655737704918,8,0.374227358237033,5,"Mbnl2"
