"feature_id","original_rank_index","baseMean","alpha_used","dispFit","dispersion","mean_trt","mean_untrt","baseMean_scoring","iod_nb","cv2_nb","log_baseMean","log_iod_nb","log_cv2_nb","rank_index","log_baseMean_smooth","log_iod_nb_smooth","log_cv2_nb_smooth"
"350611",21309,32.8805838158383,0.151516778166569,0.289851192495479,0.199114493722744,33.8517979129149,31.9093697187617,32.8805838158383,5.98196012401164,0.181929863457296,3.4928823259865,1.78874829418949,-1.70413403179701,21309,3.29053435091987,1.76506538700774,-1.52546896391213
"374064",21310,32.9068433519049,0.158240273599682,0.289675111094191,0.203953745196292,31.9815917360347,33.8320949677751,32.9068433519049,6.2071878953073,0.188629089363808,3.49368064075854,1.82570795849055,-1.66797268226799,21310,3.29919504804205,1.76841747508266,-1.53077757295939
"87616",21311,16.4917308297744,0.068402675850743,0.509129152479854,0.227637379775701,15.4095760676032,17.5738855919455,16.4917308297744,2.12807851816676,0.129039125130802,2.80285909345111,0.755219468433453,-2.04763962501766,21311,3.31498949808706,1.76787098948619,-1.54711850860087
"408043",21312,14.414300117632,0.0930218082357401,0.572533484342766,0.239304940058353,16.2462873169606,12.5823129183034,14.414300117632,2.34084426139477,0.162397358338015,2.66822077754482,0.850511659766426,-1.81770911777839,21312,3.32946592286697,1.78223551612349,-1.54723040674347
"567169",21313,3.20284934300343,2.13560995653269,2.33444431115205,2.23234390232384,3.10239945651973,3.30329922948713,3.20284934300343,7.84003694619232,2.44783194792435,1.16404083330581,2.05924354687574,0.895202713569937,21313,3.33528423314012,1.79266517709892,-1.5426190560412
"2383",21314,248.456060486972,0.0924507489670267,0.0983980845601066,0.0944112693531153,234.203822778089,262.708298195855,248.456060486972,23.9699488774174,0.0964756055072133,5.51526601093646,3.17680091567044,-2.33846509526601,21314,3.32931987041394,1.79263859870794,-1.536681271706
"80899",21315,29.4825549876981,0.0958512510757789,0.315282846261012,0.169018147073715,28.0710378244839,30.8940721509124,29.4825549876981,3.82593978048131,0.129769613999795,3.38379873207643,1.34180413134409,-2.04199460073234,21315,3.34961939329868,1.78002602294771,-1.56959337035097
"384829",21316,20.4520908427684,0.216032289504598,0.423940274814846,0.286524906101934,18.7090410906428,22.1951405948939,20.4520908427684,5.41831200991928,0.264927045922795,3.01808511896265,1.68978432966063,-1.32830078930202,21316,3.34941215086796,1.78194880944577,-1.56746334142219
"377183",21317,556.84934350381,0.0857347623304481,0.0822258592158362,0.0845789275515517,599.932301415719,513.766385591902,556.84934350381,48.7413461191652,0.0875305801969249,6.32229472489222,3.88652766618181,-2.43576705871041,21317,3.36224187238536,1.77431457636874,-1.58792729601662
"9067",21318,467.419972592001,0.0932160986481505,0.0847186588874243,0.090377868521896,460.755883413977,474.084061770026,467.419972592001,44.5710662752518,0.0953555023078928,6.14722815245411,3.79708491028127,-2.35014324217284,21318,3.350639888094,1.76177916338571,-1.58886072470829
