"comparison_name","model_selection_mode","search_stage","filtered_rank_index","cutoff_feature_id","original_rank_index","objective_score","valid_split","improvement_vs_null","regime_plausible","lead_iod_mean","rem_iod_mean","lead_cv2_mean","rem_cv2_mean","lead_slope","rem_slope"
"RT0_ZT6","none","coarse",9058,"34834",9058,6305.94927498223,FALSE,6305.94927498223,FALSE,2.54578615594685,2.04396893346569,0.725872429751761,-0.316524270155709,0.91385852210403,-1.06666693027776
"RT0_ZT6","none","coarse",8984,"394558",8984,6305.94588873386,FALSE,6305.94588873386,FALSE,2.5466277391056,2.04527930128728,0.727883638501396,-0.313907022763869,0.922866056675875,-1.06763838004691
"RT0_ZT6","none","coarse",9055,"531125",9055,6305.94041362528,FALSE,6305.94041362528,FALSE,2.54581813831879,2.04402297610457,0.725748764916664,-0.316335498923532,0.914358624616542,-1.06675512128386
"RT0_ZT6","none","coarse",9059,"306702",9059,6305.90566121638,FALSE,6305.90566121638,FALSE,2.54577262416226,2.0439520741794,0.725918581980662,-0.316589198125013,0.913645399128,-1.06663830294228
"RT0_ZT6","none","coarse",3445,"23876",3445,6305.90556582883,FALSE,6305.90556582883,FALSE,2.84414991629077,2.10761049157733,0.81761988916406,-0.119608705942487,1.18674101564885,-1.12294437058806
"RT0_ZT6","none","coarse",9054,"75532",9054,6305.8872724448,FALSE,6305.8872724448,FALSE,2.5458267845955,2.04404179968664,0.72571434037497,-0.316275328957563,0.914473924560382,-1.06678408658196
"RT0_ZT6","none","coarse",9060,"234731",9060,6305.85525930441,FALSE,6305.85525930441,FALSE,2.54575926127706,2.04393514656591,0.725965909354272,-0.316654609310049,0.913423021746452,-1.0666093391937
"RT0_ZT6","none","coarse",3444,"442563",3444,6305.80619322098,FALSE,6305.80619322098,FALSE,2.844242831973,2.10762531024093,0.817600614590708,-0.119573001711609,1.18686893073754,-1.12295892480484
"RT0_ZT6","none","coarse",9053,"572397",9053,6305.788297163,FALSE,6305.788297163,FALSE,2.54583117457435,2.04406233490914,0.725683225814338,-0.316216499189264,0.914560740968555,-1.06681411161909
"RT0_ZT6","none","coarse",9061,"185734",9061,6305.78245082843,FALSE,6305.78245082843,FALSE,2.54574461933366,2.04391873390961,0.726015555171999,-0.316720964515148,0.913176339341804,-1.06658083364531
"RT0_ZT6","none","coarse",8985,"489081",8985,6305.71853784867,FALSE,6305.71853784867,FALSE,2.54660428167778,2.04526642538118,0.727818961419943,-0.313927435165695,0.922647209620864,-1.06763429499878
"RT0_ZT6","none","coarse",3443,"252442",3443,6305.70656741017,FALSE,6305.70656741017,FALSE,2.84433769286041,2.10763989620629,0.817585453721647,-0.119537805251685,1.18698029929859,-1.12297305448844
"RT0_ZT6","none","coarse",9062,"403423",9062,6305.67647070742,FALSE,6305.67647070742,FALSE,2.54572903946349,2.04390269900223,0.726069168895072,-0.316788928770992,0.91288964990822,-1.06655234526661
"RT0_ZT6","none","coarse",9052,"421642",9052,6305.67343582782,FALSE,6305.67343582782,FALSE,2.54583532083449,2.04408296674297,0.725655250012859,-0.316158940117223,0.914631313907537,-1.06684336633894
"RT0_ZT6","none","coarse",3442,"360757",3442,6305.60923907335,FALSE,6305.60923907335,FALSE,2.84443141861043,2.10765462687276,0.817566169354652,-0.119502107480344,1.18710969843878,-1.12298754925203
"RT0_ZT6","none","coarse",9051,"60018",9051,6305.54914464284,FALSE,6305.54914464284,FALSE,2.54583880981596,2.04410386148933,0.725628330002772,-0.316101813319541,0.914695711779943,-1.06687255841927
"RT0_ZT6","none","coarse",9063,"15581",9063,6305.537711611,FALSE,6305.537711611,FALSE,2.54571285186762,2.04388690895513,0.726126671097398,-0.316858470814448,0.912562114526172,-1.06652371093701
