"comparison_name","analysis_label","dataset_key","feature_id","orig_id","gene_symbol","baseMean","log2FoldChange","lfc_shrunk","regulation_direction","stat","pvalue","padj","greaterAbs_pvalue","greaterAbs_padj","lessAbs_pvalue","lessAbs_padj","empirical_p","empirical_p_calc","empirical_p_plot","empirical_bh","empirical_q","empirical_lfdr","neglog10_empirical_p_calc","neglog10_empirical_p_plot","neglog10_empirical_p","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","hc_pass","standard_flag","strong_alt_flag","strong_flag","lessAbs_alt_flag","weak_hbfss_flag","weak_flag","hbfss_flag","display_standard","display_strong","display_weak","display_hbfss","final_class","lfcSE","R4_1","R4_2","R4_3","R4_4","R4_5","ZT10_1","ZT10_2","ZT10_3","ZT10_4","ZT10_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier"
"RT4_ZT10","Rem_RawEVS","Rem","248250","248250","Epg5",5.2974256109961,-0.592162741296147,-0.0885265933621936,"downregulated",-0.703604710434232,0.48167897708696,0.874217414368774,1,1,0.31398356026881,NA,0.519189593599453,0.519189593599453,0.519189593599453,0.966426177834566,0.908582648307693,0.999999999999999,0.284674020921914,0.284674020921914,0.284674020921914,0.0252012212909348,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.841612815426849,1.89688924181733,1.81519319454987,9.90720534530683,4.4606346400523,3.83433183355011,13.1711319708651,3.38339500244929,7.70224964977872,0,6.80322523159145,0.443921607797708,0.871839694602627,0.652218320633762,9,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","248252","248252","Epg5",19.4042806925979,0.143013755508834,0.0544767566167672,"upregulated",0.313521537347365,0.75388446047177,0.959813835143401,1,1,0.0301409655194185,0.0875269433702042,0.773938312578913,0.773938312578913,0.773938312578913,0.991766869335293,0.936770869823887,0.999999999999999,0.111293653754101,0.111293653754101,0.111293653754101,0.00606291728855291,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.45615289054411,11.8555577613583,18.1519319454987,9.90720534530683,38.163207476003,23.0059910013006,34.2449431242493,11.2779833414976,17.9719158494837,15.8576206180981,13.6064504631829,0.19858300695122,0.192689325817331,0.195591853232731,7,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","248301","248301","-",88.3148465110603,-2.34114388784196,-2.2619837383249,"downregulated",-7.66014046643428,1.85729831793505e-14,1.99752434093915e-10,1.14305452247026e-05,0.0293564977733424,0.999994284727388,0.999999988332186,2.25552909682847e-12,2.25552909682847e-12,2.25552909682847e-12,2.81005092528375e-08,2.67054578674157e-08,1.14225116501622e-07,11.6467515660344,11.6467515660344,11.6467515660344,26.34476264668,0.0475021845337043,1.3232864175516,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Strong",0.305626756859165,24.185337833171,30.8582843073478,21.2297257399432,34.1981989070676,34.508986501951,175.176055212506,173.680943459064,59.0505806483035,162.901011804099,167.35934069715,0.0977041038031163,0.0905563748179864,0.0944843888984341,9,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","248308","248308","LOC102554148",8.06018362891702,-0.4744953705111,-0.0892328599271098,"downregulated",-0.638359542698706,0.523239660488038,0.894949514718328,1,1,0.239788040219176,NA,0.558667470616284,0.558667470616284,0.558667470616284,0.975229735082663,0.914490207754668,0.999999999999999,0.252846615454107,0.252846615454107,0.252846615454107,0.0225622266198602,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.743304264717561,5.690667725452,7.26077277819949,0,7.93001713787075,12.7811061118337,9.21979237960558,12.4057816756474,8.98595792474184,0,16.3277405558195,0.562737223091987,0.522950920699462,0.53675482219167,6,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","248324","248324","LOC120098235",6.93818707839706,0.823000948349559,0.184409070638124,"upregulated",1.17593249937815,0.239621850697378,0.709129895625099,1,1,0.400171807007716,NA,0.281341816467316,0.281341816467316,0.281341816467316,0.873574642313032,0.843400690898383,0.999999999999999,0.550765712871019,0.550765712871019,0.550765712871019,0.101566193249888,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.699870909924482,9.95866851954099,6.35317618092455,5.66126019731819,5.94751285340306,16.6154379453838,5.26845278834604,3.38339500244929,8.98595792474184,7.20800937186279,0,0.160092026106595,0.62681147575432,0.412177977620952,9,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","248346","248346","Kcng2",1.51687958027442,-0.264106829607645,-0.010731797073075,"downregulated",-0.15257824572157,0.878730881503817,NA,1,NA,0.335368812255503,NA,0.888832325361561,0.888832325361561,0.888832325361561,0.992828195188599,0.944490425864943,1,0.0511801592079789,0.0511801592079789,0.0511801592079789,0.000549255082787698,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",1.73095993048443,2.37111155227167,1.3613948959124,0,2.97375642670153,0,3.95133959125953,4.51119333659906,0,0,0,1.4482763509859,3.89859247885544,2.94333540945421,6,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","248376","248376","LOC108348827",2.46542694699995,0.88375109332078,0.0572316330270785,"upregulated",0.653059810842089,0.513717720209799,0.889263818921496,1,1,0.465771485010751,NA,0.549646912985429,0.549646912985429,0.549646912985429,0.972070120196248,0.91320865802326,0.999999999999999,0.259916206841514,0.259916206841514,0.259916206841514,0.0148754289677438,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",1.35324679095047,1.89688924181733,4.53798298637468,5.66126019731819,3.96500856893537,0,0,4.51119333659906,0,0,4.08193513895487,0.828592601364309,2.23497489937544,1.70307311839078,7,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","248384","248384","-",12.0055945187458,-1.94160988899224,-1.31936004700919,"downregulated",-2.82497701858943,0.00472840072866702,0.110552064862639,0.170683565785673,1,0.914658217107164,NA,0.00965200733927252,0.00965200733927252,0.00965200733927252,0.261412029209406,0.24825710596128,0.461457897431243,2.01538235653073,2.01538235653073,2.01538235653073,2.65901496065386,0.0475021845337043,1.3232864175516,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"HBFSS",0.68730112712978,3.31955617318033,1.3613948959124,4.24594514798864,14.8687821335077,0,17.1224715621246,7.89458833904835,32.092706874078,18.7408243668433,20.4096756947744,0.612961904908018,0.327589735735129,0.456745746952523,10,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","248462","248462","Mbp",9.49385945352449,0.233487283300949,0.0464104812578952,"upregulated",0.325116880987797,0.745092613206233,0.958224966749742,1,1,0.142913122634011,NA,0.765817548792913,0.765817548792913,0.765817548792913,0.991766869335293,0.93614320027644,0.999999999999999,0.115874685968739,0.115874685968739,0.115874685968739,0.00537779994141667,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.718164134054032,19.4431147286277,4.08418468773721,4.24594514798864,11.8950257068061,11.5029955006503,0,15.7891766780967,16.6882075745206,7.20800937186279,4.08193513895487,0.59670249773356,0.430637724669944,0.507317017935124,9,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","248538","248538","Mbp",16.1405472103607,1.29738137742009,0.411616283330943,"upregulated",1.95074192427369,0.0510877534703172,0.387891838032659,0.654772192518726,1,0.672613903740637,0.721293815573587,0.073915181675871,0.073915181675871,0.073915181675871,0.612893371653137,0.585914080759876,0.999999999999999,1.13126635130884,1.13126635130884,1.13126635130884,0.465647650983102,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.665070741176145,26.0822270749883,19.5133268414111,29.7216160359205,19.8250428446769,19.1716591677505,0,0,6.4185413748156,21.6240281155884,19.0490306484561,0.939339064170632,0.234451520739402,0.443300603152573,9,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","248543","248543","Mbp",0.865995694573161,0.0967496816246278,0.00174249018235634,"upregulated",0.0372388567789758,0.970294556856406,NA,1,NA,0.364047712154362,NA,0.972784868135246,0.972784868135246,0.972784868135246,0.998607906703409,0.949036829709981,1,0.0119831935570261,0.0119831935570261,0.0119831935570261,2.08805971263937e-05,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",2.5980840979858,0,1.3613948959124,0,2.97375642670153,0,0,0,0,4.32480562311767,0,7.3231958047567,6.74963771930241,6.89960192859362,7,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","248556","248556","Zfp236",1.72769573864075,-0.58249614612253,-0.0248936856113488,"downregulated",-0.346585736294059,0.728902563258694,NA,1,NA,0.401906597751501,NA,0.75085024253146,0.75085024253146,0.75085024253146,0.991020425627692,0.934953089766375,0.999999999999999,0.124446674617396,0.124446674617396,0.124446674617396,0.00309793639330328,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",1.68066970196464,2.37111155227167,2.26899149318734,0,1.98250428446769,0,0,0,3.85112482488936,0,6.80322523159145,1.87262852878031,3.38420149341127,2.80810120817757,7,FALSE
