"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","nb1","nb2","alpha_mu","log_variance","log_mu","log_alpha","log_nb1","log_nb2","nb_gap","log_alpha_mu"
"47036","Picalm",92,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"47161","Crebzf",93,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"48022","Dlg2",94,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"49195","-",95,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"49200","Kctd14",96,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"49746","Lipt2",97,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"49842","C2cd3",98,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"51143","LOC100911864",99,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"52046","Vps35l",100,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"52285","Vwa3a",101,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"54643","Ptpre",102,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"54850","Stk32c",103,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"54923","Cfap46",104,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"55622","Mrgprf",105,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"55738","Unc93b1",106,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"56356","Map4k2",107,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"57516","-",108,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"57823","LOC499331",109,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"59516","Pten",110,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"59804","Tnks2",111,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"60726","Slf2",112,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"61340","Taf5",113,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"61343","Taf5",114,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"61785","-",115,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"61962","Mxi1",116,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
