"feature_id","gene_symbol","rank","abs_loading","variance","nb1","nb2","log_variance","log_nb1","log_nb2","log_alpha_mu"
"410972","LOC500497",17223,0.00285103945697388,46.8,6.6,40.2,3.86702563949741,2.02814824729229,3.71843825635548,1.8067973465926
"203120","Dnah12",17224,0.00285027402030816,18.5,6,12.5,2.9704144655697,1.94591014905531,2.60268968544438,0.733969175080201
"352534","Mrps5",17225,0.00284997701764482,47.2,27.2,20,3.87535902105655,3.33932197794407,3.04452243772342,-0.30748469974796
"286732","Mtx3",17226,0.00284988161213081,463.5,41,422.5,6.14096155825389,3.73766961828337,6.04855351409211,2.33261738009292
"317833","Reep3",17227,0.00284987460751003,41.3,18.6,22.7,3.74478708605223,2.97552956623647,3.16547504814109,0.199203343768201
"76907","Neurod2",17228,0.00284974366445429,2602.3,172.6,2429.7,7.86453514998634,5.15675380222625,7.79593456069522,2.64454629327373
"7564","Zbtb45",17229,0.00284968872345417,33,12,21,3.52636052461616,2.56494935746154,3.09104245335832,0.559615787935423
"478521","Mtbp",17230,0.00284956209865989,4.2,2.2,2,1.64865862558738,1.16315080980568,1.09861228866811,-0.0953101798043249
"140278","LOC100910850",17231,0.00284952185839668,132.8,24.4,108.4,4.89634614769413,3.23474917402449,4.69501088998788,1.49124495670639
"37222","Afdn",17232,0.00284901772335051,63.5,6,57.5,4.16666522380173,1.94591014905531,4.06902675423781,2.26002547857525
"455167","-",17233,0.00284900451146233,87.3,16.6,70.7,4.48074010760991,2.86789890204411,4.27249074760557,1.44904287754003
"166034","Usp46",17234,0.00284898019942398,98.2,25.8,72.4,4.59713801429083,3.28840188751681,4.29592393562047,1.0318318074641
"259685","Ap1g1",17235,0.0028488675636482,184,43,141,5.22035582507833,3.78418963391826,4.95582705760126,1.18755977468461
"329041","Ptprj",17236,0.00284844960148485,1281.2,112.8,1168.4,7.15633263155316,4.73444252169223,7.06424607574157,2.33777423144963
"389932","Tax1bp1",17237,0.00284818869937434,19.3,11.6,7.7,3.01062088604774,2.53369681395743,2.16332302566054,-0.409784769252681
"135069","Atp2b4",17238,0.00284785719508065,129.3,35.4,93.9,4.8698394841308,3.5945687746427,4.55282370561588,0.975518566074489
"280206","Gpr88",17239,0.0028473613446071,239.7,44.2,195.5,5.48355134478903,3.81109708683819,5.28066243130932,1.48683559034177
"514696","Apeh",17240,0.00284716011400805,861.5,85,776.5,6.75983514890551,4.45434729625351,6.65608364405339,2.21214538609843
"77677","Mpp2",17241,0.00284695656910261,51.3,5.6,45.7,3.95699637107088,1.88706964903238,3.84374416467485,2.09933170015906
"380478","Ipo8",17242,0.0028467022706664,185.3,52.4,132.9,5.22735827760754,3.97781074596615,4.89709325269713,0.930690374392203
"475252","Mon2",17243,0.00284661972506031,19.3,10.4,8.9,3.01062088604774,2.43361335540045,2.29253475714054,-0.155754529409233
