"feature_id","gene_symbol","rank","abs_loading","variance","nb1","nb2","log_variance","log_nb1","log_nb2","log_alpha_mu"
"346824","LOC295681",12707,0.00537418894966653,29.2,5.8,23.4,3.40784192438082,1.91692261218206,3.19458313229916,1.39487810481128
"19103","Nup98",12708,0.00537405279483233,216.3,25.6,190.7,5.38127888726238,3.28091121578765,5.2559316500516,2.00810916112086
"534539","Gsta1",12709,0.00537350612916441,18745.3,256.6,18488.7,9.83875167859244,5.5514079942302,9.82496909926306,4.27739656145315
"431174","Coa7",12710,0.0053731753135003,61.3,10.4,50.9,4.13196142579341,2.43361335540045,3.94931879017184,1.58805711740915
"85165","Clint1",12711,0.00537316599816419,46.8,9.4,37.4,3.86702563949741,2.34180580614733,3.64805745959368,1.38096101514453
"514897","Klhdc8b",12712,0.00537304158700084,5189.3,108.4,5080.9,8.55454677795759,4.69501088998788,8.5334404863941,3.84741560122938
"574826","Tbc1d8b",12713,0.00537275448085983,34.3,8.4,25.9,3.56388296393925,2.24070968927596,3.29212628660779,1.12601126285622
"533101","LOC103690742",12714,0.00537256056607839,1430.5,64,1366.5,7.26647812453817,4.17438726989564,7.22073953429614,3.06112492200845
"188705","LOC102553493",12715,0.00537236473041592,253.3,25.6,227.7,5.53851467242807,3.28091121578765,5.43241110102874,2.18543662158418
"403916","-",12716,0.00537229662814465,14,6,8,2.70805020110221,1.94591014905531,2.19722457733622,0.287682072451781
"525956","Arpp19",12717,0.00537204962504847,476.2,38.8,437.4,6.16793569022376,3.68386691229039,6.08313173563381,2.42242786161344
"554239","Lrrfip1",12718,0.00537194187650881,4373.2,101.2,4272,8.38347892492845,4.6269316777696,8.36007143564403,3.74273862378667
"274051","Nbea",12719,0.00537184633925812,80823.2,470.8,80352.4,11.300031704617,6.15655516697357,11.2941896851428,5.13974386465518
"332175","Jmjd7",12720,0.00537180918975753,130,19,111,4.87519732320115,2.99573227355399,4.71849887129509,1.76509122214589
"341552","Gpr107",12721,0.00537156770554542,32.3,6.6,25.7,3.5055573969864,2.02814824729229,3.2846635654062,1.35942134286879
"275266","Sptssb",12722,0.00537150943385044,30.2,8.8,21.4,3.44041809481544,2.28238238567653,3.10906095886099,0.888639200543645
"503305","Acp5",12723,0.00537136638020642,111.5,13,98.5,4.72295322164447,2.63905732961526,4.60015764416455,2.02510719071651
"133457","Dpp10",12724,0.00537119077781697,602.3,39.6,562.7,6.40241458544672,3.70376806660769,6.33452219508753,2.6539175081788
"108673","Snap29",12725,0.00537084485851914,5455.7,123.8,5331.9,8.6045994904139,4.82671245593533,8.58165045925285,3.76279556618356
"147994","Tdrd5",12726,0.00537062978597498,16.3,4.4,11.9,2.85070650150373,1.68639895357023,2.55722731136763,0.994933859193268
"165447","Epha5",12727,0.00537049938804094,29.8,6.4,23.4,3.42751468997953,2.00148000021012,3.19458313229916,1.29643803199803
"533653","Mrpl2",12728,0.00537031683704313,123.5,14,109.5,4.82430571590476,2.70805020110221,4.70501552095781,2.0568672196413
"323399","LOC690155",12729,0.00536953396722691,46.3,10.6,35.7,3.85651029549789,2.45100509811232,3.60277675506052,1.21429668766757
"82890","Ubald1",12730,0.00536921712079689,99.2,12.2,87,4.60716818865076,2.58021682959233,4.47733681447821,1.96447216691537
"531175","Ctdspl",12731,0.00536919783734315,54.7,12.2,42.5,4.01998014693324,2.58021682959233,3.77276093809464,1.24806812419116
"213224","Cdk20",12732,0.00536899354401778,801.2,38.2,763,6.68735795333595,3.66867674679642,6.63856778916652,2.99442251567193
"69729","Arf1",12733,0.0053686624235615,12952.2,221.2,12731,9.46909814084956,5.40357787720553,9.45187378840198,4.05272797341347
"169261","-",12734,0.00536854266157351,33.8,6.6,27.2,3.54961738678043,2.02814824729229,3.33932197794407,1.41614732426957
"125167","Slc7a1",12735,0.00536844386160129,1677.2,50.8,1626.4,7.42547706943597,3.94739014926544,7.39473892826256,3.4662279077297
"82925","Cdip1",12736,0.00536840696297052,15727.7,214.8,15512.9,9.66324234800897,5.37435205282403,9.64949167523914,4.27971985220244
"85983","Skp1",12737,0.0053683394724877,128610.3,595.4,128014.9,11.7645499562877,6.39091158289058,11.7599097539372,5.3706684937954
"533633","Cul7",12738,0.00536741591947688,5565.7,120.2,5445.5,8.62455769774276,4.79744207363521,8.6027284795225,3.81338783641463
"130484","-",12739,0.00536714106097461,779.8,15.4,764.4,6.66031903509888,2.79728133483015,6.6403985729916,3.90472370294653
"169875","LOC120096632",12740,0.00536707954231519,13.8,2.6,11.2,2.69462718077007,1.28093384546206,2.50143595173921,1.46040233327361
"295817","-",12741,0.00536707954231519,13.8,2.6,11.2,2.69462718077007,1.28093384546206,2.50143595173921,1.46040233327361
"367300","Mest",12742,0.00536707954231519,13.8,2.6,11.2,2.69462718077007,1.28093384546206,2.50143595173921,1.46040233327361
"546407","Tfap2d",12743,0.00536707954231519,13.8,2.6,11.2,2.69462718077007,1.28093384546206,2.50143595173921,1.46040233327361
"376210","Timp4",12744,0.00536687890931908,160.7,21.8,138.9,5.08574276658306,3.1267605359604,4.94092788167144,1.85184427996525
"332199","Pla2g4e",12745,0.00536684907012082,798.5,45,753.5,6.68398653227401,3.8286413964891,6.6260552782079,2.81806652829623
"113797","Sidt1",12746,0.00536681336082255,3927.7,95.2,3832.5,8.27606386133655,4.56642935767166,8.25153350299895,3.69529266894865
"412554","Faf1",12747,0.0053667747351599,24.2,4.8,19.4,3.22684399451738,1.75785791755237,3.01553490085017,1.39665714815544
"19176","Trim68",12748,0.00536656096556081,294.7,29.2,265.5,5.68934542685843,3.40784192438082,5.5853742436059,2.20744613140776
"310450","Rab36",12749,0.00536649897564553,480.7,31.2,449.5,6.17732151363618,3.47196645255036,6.11035807704839,2.66771775909624
"360358","Adrm1",12750,0.00536647179883252,882.8,40.4,842.4,6.78423079269664,3.72328088083127,6.73744134131246,3.03742517585266
"145681","Klhdc8a",12751,0.00536640459384396,3150.8,78.6,3072.2,8.05572899718797,4.37701409285034,8.03047464299348,3.66577749687988
"432044","Atpaf1",12752,0.00536630943377949,31093.8,299.4,30794.4,10.3447958816151,5.70511491988998,10.3351206071584,4.63330766226339
"128779","-",12753,0.0053662171668418,19.2,2.8,16.4,3.00568260440716,1.33500106673234,2.85647020622048,1.76766191764899
"255626","-",12754,0.0053662171668418,19.2,2.8,16.4,3.00568260440716,1.33500106673234,2.85647020622048,1.76766191764899
"290060","-",12755,0.0053662171668418,19.2,2.8,16.4,3.00568260440716,1.33500106673234,2.85647020622048,1.76766191764899
"455492","-",12756,0.0053662171668418,19.2,2.8,16.4,3.00568260440716,1.33500106673234,2.85647020622048,1.76766191764899
"500906","Gucy1a2",12757,0.0053662171668418,19.2,2.8,16.4,3.00568260440716,1.33500106673234,2.85647020622048,1.76766191764899
"280205","Gpr88",12758,0.00536589327154871,34477.7,309.8,34167.9,10.4480970210506,5.73914961849349,10.4390711526099,4.7031149578192
"484925","Cers5",12759,0.00536588173265241,3404.3,83.4,3320.9,8.1330883204294,4.43556740160191,8.10829218737217,3.68434280014646
"171035","Tbc1d10a",12760,0.005365870961291,27537.2,284.8,27252.4,10.2233294106695,5.65529226549577,10.2129335629504,4.56110969006983
"277837","Prune1",12761,0.00536486270142211,4700.3,119.4,4580.9,8.45559434519728,4.79081953287472,8.42986903824451,3.64717156339506
"159736","Fgfr3",12762,0.00536477301720721,14544.8,220.4,14324.4,9.58505757113557,5.39997102027454,9.56978946440426,4.17427557861023
"503213","Elavl3",12763,0.00536418946528612,72151.7,456.2,71695.5,11.1865399855393,6.12512093192066,11.1801972108914,5.05725195326156
"572359","Med12",12764,0.0053640340050862,116.8,17.6,99.2,4.76898827121749,2.92316158071916,4.60716818865076,1.72923911224672
"42222","Pnkp",12765,0.00536398037352275,630.2,27.8,602.4,6.44762276953166,3.3603753871419,6.40258032672496,3.07588565578909
