"rank","feature_id","mu","empirical_variance.x","NB2","NB2_NB1","alpha_mu","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d2_spline"
139,"227681",0,0,0,0,0,0,0,0,1.00474100717728,-1.07675163095656e-07
140,"231439",0,0,0,0,0,0,0,0,1.01221601215242,-1.08378257510664e-07
141,"234055",0,0,0,0,0,0,0,0,1.01969090874929,-1.09081351925673e-07
142,"234287",0,0,0,0,0,0,0,0,1.02716569626481,-1.09784446340681e-07
143,"236699",0,0,0,0,0,0,0,0,1.03464037399588,-1.10487540755689e-07
144,"239156",0,0,0,0,0,0,0,0,1.04211494123942,-1.11190635170697e-07
145,"239378",0,0,0,0,0,0,0,0,1.04958939729232,-1.11893729585705e-07
146,"239640",0,0,0,0,0,0,0,0,1.05706374145149,-1.12596824000713e-07
147,"239927",0,0,0,0,0,0,0,0,1.06453797301383,-1.13299918415721e-07
148,"240818",0,0,0,0,0,0,0,0,1.07201209127626,-1.14003012830729e-07
149,"241384",0,0,0,0,0,0,0,0,1.07948609553567,-1.14706107245737e-07
150,"244404",0,0,0,0,0,0,0,0,1.08695998508898,-1.15409201660745e-07
151,"245046",0,0,0,0,0,0,0,0,1.09443375923309,-1.16112296075753e-07
152,"248999",0,0,0,0,0,0,0,0,1.1019074172649,-1.16815390490761e-07
153,"253384",0,0,0,0,0,0,0,0,1.10938095848131,-1.17518484905769e-07
154,"253668",0,0,0,0,0,0,0,0,1.11685438217925,-1.18221579320777e-07
155,"254102",0,0,0,0,0,0,0,0,1.1243276876556,-1.18924673735785e-07
156,"254747",0,0,0,0,0,0,0,0,1.13180087009217,-1.44318457052719e-07
157,"255516",0,0,0,0,0,0,0,0,1.13927390821028,-1.69712240369653e-07
158,"258449",0,0,0,0,0,0,0,0,1.14674677661614,-1.95106023686586e-07
159,"259682",0,0,0,0,0,0,0,0,1.15421944991599,-2.20499807003519e-07
160,"263321",0,0,0,0,0,0,0,0,1.16169190271603,-2.45893590320453e-07
161,"264175",0,0,0,0,0,0,0,0,1.16916410962248,-2.71287373637387e-07
162,"266766",0,0,0,0,0,0,0,0,1.17663604524155,-2.9668115695432e-07
163,"268168",0,0,0,0,0,0,0,0,1.18410768417947,-3.22074940271253e-07
164,"268523",0,0,0,0,0,0,0,0,1.19157900104244,-3.47468723588187e-07
165,"271734",0,0,0,0,0,0,0,0,1.1990499704367,-3.72862506905121e-07
166,"272030",0,0,0,0,0,0,0,0,1.20652056696844,-3.98256290222054e-07
167,"272032",0,0,0,0,0,0,0,0,1.2139907652439,-4.23650073538987e-07
168,"272923",0,0,0,0,0,0,0,0,1.22146053986928,-4.49043856855921e-07
169,"273517",0,0,0,0,0,0,0,0,1.2289298654508,-4.74437640172853e-07
170,"276997",0,0,0,0,0,0,0,0,1.23639871659469,-4.99831423489788e-07
171,"277440",0,0,0,0,0,0,0,0,1.24386706790715,-5.25225206806721e-07
172,"280767",0,0,0,0,0,0,0,0,1.25133489399441,-5.50618990123655e-07
173,"281904",0,0,0,0,0,0,0,0,1.25880216946267,-5.76012773440588e-07
174,"282994",0,0,0,0,0,0,0,0,1.26626886891816,-6.0140655675752e-07
175,"283189",0,0,0,0,0,0,0,0,1.2737349669671,-6.26800340074455e-07
176,"287721",0,0,0,0,0,0,0,0,1.28120043821569,-6.52194123391389e-07
177,"289718",0,0,0,0,0,0,0,0,1.28866525727016,-6.77587906708322e-07
178,"291395",0,0,0,0,0,0,0,0,1.29612939873673,-7.02981690025256e-07
