"bin","percentile","lo_rank","hi_rank","n_bin","total_mean","total_variance","median_abs_loading","iod_agg","cv2_agg","ratio_iod_cv2","ratio_cv2_iod","gap"
38,0.380010706300973,11751,12068,318,14295,1682374.5,0.0043409713722032,117.689716684155,0.00823292876419414,14295,6.99545295557887e-05,117.681483755391
39,0.389992757502283,12069,12385,317,21422,3240521.2,0.00425818029292527,151.270712351788,0.00706146542581402,21422,4.66809821678648e-05,151.263650886362
40,0.400006297824102,12386,12703,318,16455.6,1793048.5,0.00414402238472871,108.962815090304,0.00662162516652712,16455.6,6.07695860375799e-05,108.956193465137
41,0.409988349025412,12704,13020,317,23860.4,4975550.9,0.00401357433014426,208.527556118087,0.0087394828300484,23860.4,4.19104457595011e-05,208.518816635257
42,0.420001889347231,13021,13338,318,18601.6,1778858.3,0.00391799117162004,95.6293168329606,0.00514091889046967,18601.6,5.37588164458971e-05,95.6241759140701
43,0.430015429669049,13339,13656,318,14484.4,677844.3,0.00380356350729303,46.798231200464,0.0032309402668018,14484.4,6.90397945375715e-05,46.7950002601971
44,0.439997480870359,13657,13973,317,4149,221477.4,0.00373910921855122,53.3809110629067,0.0128659703694641,4149,0.000241021932995903,53.3680450925373
45,0.450011021192178,13974,14291,318,25500.8,8428564.8,0.00369315158901034,330.521583636592,0.0129612241042082,25500.8,3.92144560170661e-05,330.508622412488
46,0.459993072393488,14292,14608,317,21112.6,3211407.1,0.00360583380386283,152.108556028154,0.00720463401135596,21112.6,4.7365080568002e-05,152.101351394142
47,0.470006612715307,14609,14926,318,24104,2730187.9,0.00350864255031723,113.267005476269,0.00469909581298828,24104,4.14868901427149e-05,113.262306380456
48,0.479988663916617,14927,15243,317,15958.4,802036.5,0.00342899554381002,50.257951925005,0.00314931020183759,15958.4,6.26629236013635e-05,50.2548026148032
49,0.490002204238436,15244,15561,318,15448.2,996297.1,0.00335984669222999,64.4927629108893,0.00417477524312796,15448.2,6.47324607397626e-05,64.4885881356462
50,0.499984255439746,15562,15878,317,20033,4003438.4,0.0032635023770361,199.842180402336,0.00997564919893856,20033,4.99176359007637e-05,199.832204753137
51,0.509997795761564,15879,16196,318,14129.2,600319.4,0.00319214013492574,42.4878549387085,0.00300709558493818,14129.2,7.07754154516887e-05,42.4848478431235
