"bin","percentile","lo_rank","hi_rank","n_bin","total_mean","total_variance","median_abs_loading","iod_agg","cv2_agg","ratio_iod_cv2","ratio_cv2_iod","gap"
23,0.229996536196744,6988,7304,317,40205.6,52814930.1,0.00682318252522723,1313.62123932984,0.0326725938508527,40205.6,2.4872157112442e-05,1313.58856673599
24,0.240010076518563,7305,7622,318,26439.6,11710232.7,0.00672272559606288,442.905062860255,0.016751579557189,26439.6,3.7822054796593e-05,442.888311280698
25,0.249992127719873,7623,7939,317,35497,31563775.5,0.00660879573328294,889.195579908161,0.0250498797055571,35497,2.81713947657549e-05,889.170530028456
26,0.260005668041692,7940,8257,318,31762,15830410.5,0.00651298038778679,498.407231912348,0.0156919347620537,31762,3.14841634657767e-05,498.391539977586
27,0.269987719243002,8258,8574,317,32516.4,12148606.6,0.00642781931509816,373.614748250114,0.011490040356562,32516.4,3.07537119730351e-05,373.603258209757
28,0.28000125956482,8575,8892,318,49045.6,90275435.8,0.00633568815892475,1840.64290782456,0.0375292158282202,49045.6,2.03891888365113e-05,1840.60537860873
29,0.290014799886639,8893,9210,318,39644.4,24997986.4,0.00624933087502175,630.555296586655,0.0159052803570405,39644.4,2.52242435249367e-05,630.539391306298
30,0.299996851087949,9211,9527,317,25567.6,9269011.3,0.00617281017723184,362.529580406452,0.0141792573572198,25567.6,3.91120011264256e-05,362.515401149095
31,0.310010391409768,9528,9845,318,25644.4,6617301.5,0.00609058107565384,258.040800330676,0.0100622670185567,25644.4,3.8994868275335e-05,258.030738063658
32,0.319992442611078,9846,10162,317,27986,12289985.8,0.00601608415231062,439.147638104767,0.0156916900630589,27986,3.57321517901808e-05,439.131946414704
33,0.330005982932897,10163,10480,318,23379.4,7176932.4,0.0059330032307117,306.97675731627,0.0131302239285982,23379.4,4.27726973318391e-05,306.963627092341
34,0.339988034134207,10481,10797,317,33978.6,16484739.3,0.00585825308944284,485.150633045505,0.0142781230846917,33978.6,2.94302884756876e-05,485.13635492242
35,0.350001574456025,10798,11115,318,28975.2,17200411.9,0.00577874252225976,593.625303707999,0.0204873582825312,28975.2,3.45122725641238e-05,593.604816349716
36,0.360015114777844,11116,11433,318,27585.8,8264281,0.00570548023979279,299.584605122926,0.0108601021222124,27585.8,3.62505346953868e-05,299.573745020803
37,0.369997165979154,11434,11750,317,29008.8,8069653.1,0.0056248695562025,278.179486914316,0.00958948618744366,29008.8,3.4472298061278e-05,278.169897428128
38,0.380010706300973,11751,12068,318,45458,28831601.9,0.00555226657884571,634.247039025034,0.0139523744780904,45458,2.19983281270623e-05,634.233086650556
39,0.389992757502283,12069,12385,317,44500.6,36228737.3,0.00547987875087633,814.117951218635,0.0182945387527052,44500.6,2.24716071243983e-05,814.099656679883
40,0.400006297824102,12386,12703,318,49166.2,37945806,0.00541522445332491,771.786430515273,0.0156975001223457,49166.2,2.03391761006545e-05,771.77073301515
41,0.409988349025412,12704,13020,317,35292.6,8079979.8,0.00534173275053713,228.942605532038,0.00648698609714325,35292.6,2.83345517190573e-05,228.936118545941
42,0.420001889347231,13021,13338,318,49862.4,51147046.4,0.00527170222462304,1025.76383006033,0.0205718904437076,49862.4,2.0055191888076e-05,1025.74325816988
43,0.430015429669049,13339,13656,318,56268.4,216041952.6,0.00520409207336858,3839.48988419788,0.0682352774238806,56268.4,1.77719643707658e-05,3839.42164892046
44,0.439997480870359,13657,13973,317,34839.4,10577714.5,0.00513712315406479,303.613566823768,0.00871466118313658,34839.4,2.87031349563999e-05,303.604852162585
45,0.450011021192178,13974,14291,318,51596,34691472.4,0.00507448244871033,672.367478099077,0.0130313876676308,51596,1.93813473912706e-05,672.35444671141
46,0.459993072393488,14292,14608,317,33837.4,12835631.3,0.00501328569637047,379.332670358834,0.0112104556011642,33837.4,2.95530980512687e-05,379.321459903233
47,0.470006612715307,14609,14926,318,59906,94054201,0.00494860680367613,1570.02972991019,0.0262082217125195,59906,1.6692818749374e-05,1570.00352168848
48,0.479988663916617,14927,15243,317,37346.8,9911402.7,0.00488205458078562,265.388271552047,0.0071060511624034,37346.8,2.67760557798794e-05,265.381165500885
49,0.490002204238436,15244,15561,318,64997.4,64871475.1,0.00481919111030862,998.062616350808,0.0153554236992681,64997.4,1.53852307938471e-05,998.047260927109
50,0.499984255439746,15562,15878,317,41177.2,18002647,0.00476089497886605,437.199396753543,0.01061751155381,41177.2,2.42852840892533e-05,437.188779241989
51,0.509997795761564,15879,16196,318,60195,43497601.4,0.00469428180639524,722.611535841847,0.0120045109368195,60195,1.66126754713847e-05,722.599531330911
52,0.520011336083383,16197,16514,318,60665,30390676.2,0.00463132102911002,500.958974697107,0.00825779237941329,60665,1.6483969339817e-05,500.950716904728
53,0.529993387284693,16515,16831,317,56409.4,29827940.4,0.00456769059282415,528.776062145671,0.0093738997781517,56409.4,1.77275418635901e-05,528.766688245893
54,0.540006927606512,16832,17149,318,57447.4,20464095.7,0.00450849224645132,356.223183294631,0.00620085823369955,57447.4,1.74072281774284e-05,356.216982436398
55,0.549988978807822,17150,17466,317,43929.8,12588030.5,0.0044517810409759,286.548777822799,0.00652287918048339,43929.8,2.27635910020077e-05,286.542254943619
56,0.560002519129641,17467,17784,318,52270.4,19095078.9,0.00439125329712587,365.313425954269,0.00698891582911683,52270.4,1.91312865407573e-05,365.306437038439
57,0.569984570330951,17785,18101,317,51062.6,15484647.7,0.00432687981322351,303.248320688723,0.00593875597186049,51062.6,1.95838049766365e-05,303.242381932751
58,0.57999811065277,18102,18419,318,47621,15154034.2,0.00426314697539483,318.221671111484,0.00668238111571543,47621,2.09991390352996e-05,318.214988730369
59,0.590011650974588,18420,18737,318,46157.2,10308722,0.00420288004515309,223.339414002582,0.00483866902677334,46157.2,2.16650923366235e-05,223.334575333556
60,0.599993702175898,18738,19054,317,45167.2,6422013.5,0.00413988848540147,142.183121822916,0.0031479286257044,45167.2,2.21399599709524e-05,142.17997389429
61,0.610007242497717,19055,19372,318,50597.6,94841508.3,0.00408423342567341,1874.42701432479,0.0370457692523912,50597.6,1.97637832624472e-05,1874.38996855554
62,0.619989293699027,19373,19689,317,36131.8,6098147.9,0.00402507769839065,168.775092854494,0.00467109562364714,36131.8,2.76764512147194e-05,168.77042175887
63,0.630002834020846,19690,20007,318,39164.8,8715703.9,0.00395130671049023,222.539216337119,0.00568212313958246,39164.8,2.55331317918131e-05,222.533534213979
64,0.639984885222156,20008,20324,317,39884.8,8429433,0.00389039886403522,211.344497151797,0.00529887318356359,39884.8,2.50722079589217e-05,211.339198278614
65,0.649998425543975,20325,20642,318,60727.8,39948818.2,0.00382004911881737,657.834108925402,0.0108325035473935,60727.8,1.64669228919869e-05,657.823276421854
66,0.660011965865793,20643,20960,318,44485.8,14346615.6,0.00374934303543084,322.498765898332,0.00724947659474105,44485.8,2.24790832130702e-05,322.491516421737
67,0.669994017067103,20961,21277,317,39225.6,11098314.2,0.00368546084896754,282.935486009137,0.00721303143888524,39225.6,2.54935552292381e-05,282.928272977698
68,0.680007557388922,21278,21595,318,40742.8,8653102.1,0.00360878177876695,212.383589247671,0.00521278825332748,40742.8,2.45442139470041e-05,212.378376459417
69,0.689989608590232,21596,21912,317,33408,6195029.3,0.00353493971475091,185.435503472222,0.0055506316891829,33408,2.99329501915709e-05,185.429952840533
70,0.700003148912051,21913,22230,318,35959.8,4935449.4,0.00344837333140864,137.249078137253,0.0038167364150316,35959.8,2.78088309723636e-05,137.245261400838
71,0.709985200113361,22231,22547,317,37247.6,11919983.2,0.00337660911122926,320.020167742351,0.008591699001878,37247.6,2.68473673471579e-05,320.011576043349
72,0.71999874043518,22548,22865,318,43372.4,11488783.1,0.00329433308763249,264.886958065498,0.00610727001654273,43372.4,2.30561370825686e-05,264.880850795481
73,0.730012280756998,22866,23183,318,30513.4,5166960.3,0.00320933302033136,169.334138444093,0.00554950082403447,30513.4,3.27724868418465e-05,169.328588943269
74,0.739994331958308,23184,23500,317,28791,6100788.2,0.00313918905218293,211.899142093015,0.00735990907203693,28791,3.47330763085687e-05,211.891782183943
75,0.750007872280127,23501,23818,318,30921.4,3565643.4,0.00305865710513566,115.313129418461,0.00372923378043882,30921.4,3.23400622222797e-05,115.309400184681
76,0.759989923481437,23819,24135,317,22085.4,2965804.3,0.00297450316253107,134.288004745216,0.00608039721921343,22085.4,4.52787814574334e-05,134.281924347997
77,0.770003463803256,24136,24453,318,26343.6,3127439.6,0.00288732208320136,118.717244416101,0.00450649282619312,26343.6,3.79598839945945e-05,118.712737923275
78,0.779985515004566,24454,24770,317,25958.2,7479764.3,0.0027904890435424,288.146493208312,0.0111004034643508,25958.2,3.85234723517039e-05,288.135392804847
79,0.789999055326385,24771,25088,318,37733,21264292.1,0.00270682056877149,563.546288394774,0.0149351042428318,37733,2.6502000901068e-05,563.531353290531
80,0.800012595648204,25089,25406,318,51204,105548508.6,0.00262111184864188,2061.33326693227,0.040257270270531,51204,1.95297242402937e-05,2061.293009662
81,0.809994646849513,25407,25723,317,48825.2,147727858.1,0.00252614280567364,3025.64778229275,0.0619689787710599,48825.2,2.04812269074167e-05,3025.58581331398
82,0.820008187171332,25724,26041,318,23307.2,3356386.9,0.0024486140136907,144.006440070021,0.00617862463401958,23307.2,4.29051966774216e-05,144.000261445387
83,0.829990238372642,26042,26358,317,20722.8,2036905.9,0.00233607918690378,98.29298646901,0.00474322902643513,20722.8,4.82560271777945e-05,98.2882432399835
84,0.840003778694461,26359,26676,318,16922,1666576.2,0.00225568161757848,98.4857700035457,0.00581998404464872,16922,5.90946696607966e-05,98.479950019501
85,0.849985829895771,26677,26993,317,18076.8,2369738.3,0.00213320330473268,131.09279850416,0.00725199142017171,18076.8,5.53195255797486e-05,131.08554651274
86,0.85999937021759,26994,27311,318,13422.6,832967.1,0.00205783778686055,62.0570604800858,0.00462332636598616,13422.6,7.45012143697942e-05,62.0524371537198
87,0.870012910539409,27312,27629,318,29970.4,11160532,0.00196760842096119,372.385153351307,0.0124250978749468,29970.4,3.33662547046419e-05,372.372728253432
88,0.879994961740719,27630,27946,317,19652.8,2268216.9,0.00184652801400579,115.414439672718,0.0058726715619514,19652.8,5.08833346902223e-05,115.408567001156
