"rank","feature_id","mu","empirical_variance","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","log_alpha_mu","nb_gap","combined_nb_support","abs_pc1_loading"
179,"56078",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
180,"56169",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
181,"56215",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
182,"56547",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
183,"56768",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
184,"57412",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
185,"58526",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
186,"59369",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
187,"59516",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
188,"59575",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
189,"59667",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
190,"59804",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
191,"59985",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
192,"60109",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
193,"60341",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
194,"60384",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
195,"60651",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
196,"60764",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
197,"61044",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
198,"61185",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
199,"61215",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
200,"61376",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
201,"61506",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
202,"61768",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
203,"61785",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
204,"61884",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
205,"61996",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
206,"62018",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
207,"62174",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
208,"62250",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
209,"62368",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
210,"62765",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
211,"62844",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
212,"63502",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
213,"63659",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
214,"63767",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
215,"63782",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
216,"63944",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
217,"64861",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
218,"65260",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
219,"65774",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
220,"65889",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
221,"65928",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
222,"66239",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
223,"66344",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
224,"66620",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
225,"66785",0,0,0,0,0,0,0,0,0,0,0.347823038801768,0
