"feature_id","rank_trt","iod_fitted_trt","cv2_fitted_trt","window_left_trt","window_right_trt","window_n_trt","rank_ctrl","iod_fitted_ctrl","cv2_fitted_ctrl","window_left_ctrl","window_right_ctrl","window_n_ctrl","combined_rank","composite_iod","composite_cv2","regime_difference","local_window_left_rank","local_window_right_rank","local_window_n"
"203694",679,1.17716374158044,0.0811040608961235,1,2563,2563,588,1.25157545881302,0.499147268810205,1,2382,2382,634,2.42873920039347,0.580251329706329,1.84848787068714,1,2563,2563
"35860",1277,1.04521558373682,0.0443900637004049,1,3161,3161,5,2.04702294195539,0.642210404824027,1,1799,1799,641,3.09223852569221,0.686600468524432,2.40563805716777,1,3161,3161
"212124",1274,1.04586419454063,0.0446286800025746,1,3158,3158,31,1.93581862698785,0.63968648349821,1,1825,1825,652,2.98168282152848,0.684315163500784,2.2973676580277,1,3158,3158
"460757",28,1.79358807405482,0.230323286093622,1,1912,1912,1286,1.1525584456877,0.472184572236261,1,3080,3080,657,2.94614651974252,0.702507858329882,2.24363866141264,1,3080,3080
"2569",574,1.21505871811121,0.0893591409934089,1,2458,2458,857,1.21128307286381,0.495694343050047,1,2651,2651,716,2.42634179097502,0.585053484043456,1.84128830693156,1,2651,2651
"118725",1239,1.05316970796184,0.0500543732538858,1,3123,3123,197,1.50437138673669,0.572142431330178,1,1991,1991,718,2.55754109469854,0.622196804584064,1.93534429011447,1,3123,3123
"391945",843,1.13212561244313,0.0735127242992064,1,2727,2727,592,1.25047912328228,0.499409844135513,1,2386,2386,718,2.38260473572541,0.57292256843472,1.80968216729069,1,2727,2727
"216038",1160,1.06933644547541,0.0576878432655121,1,3044,3044,284,1.3940260982763,0.540262913005819,1,2078,2078,722,2.46336254375171,0.597950756271331,1.86541178748038,1,3044,3044
"235190",59,1.72670159858683,0.22260371729152,1,1943,1943,1385,1.13693433861437,0.46878551388339,1,3179,3179,722,2.8636359372012,0.691389231174909,2.17224670602629,1,3179,3179
"308099",958,1.10566829472077,0.0640416779833295,1,2842,2842,494,1.27409769307781,0.505532930334084,1,2288,2288,726,2.37976598779858,0.569574608317414,1.81019137948116,1,2842,2842
