"percentile","rank_index","lo_rank","hi_rank","n_bin","mu","variance","alpha_gene_wise","iod_emp","cv2_emp","iod_nb","cv2_nb","diff_emp","diff_nb","log_ratio_emp","log_ratio_nb","iod_emp_scaled","cv2_emp_scaled","iod_nb_scaled","cv2_nb_scaled"
0.69,21758,21444,21758,315,18.2,63.5,0.179380114276215,4.10135135135135,0.227250001729428,5.19669900442624,0.237519649159935,3.72530864197531,4.26072783902884,2.90142159408275,2.90142159408275,0.0364685877930911,0.0157477123761725,0.0300576971463986,0.00763818915464452
0.7,22074,21759,22074,316,18.8,73.8,0.162567041982419,4.94368421052632,0.200248392624577,5.07212635599492,0.213178768692813,4.00301895775623,4.36521468624908,2.9338568698359,2.9338568698359,0.0643604043220634,0.0101793512550989,0.0268121180995658,0.00507964478719525
0.71,22389,22075,22389,315,21.4,93.7,0.13731957403772,5.075,0.18125,5.36980885869059,0.197002746082779,4.73099030569933,4.89309338199309,3.06339092202781,3.06339092202781,0.0687086092715232,0.0062614399023795,0.0345678502408024,0.00337933359292523
0.72,22704,22390,22704,315,9.4,28.7,0.233297229148757,3.03846153846154,0.335746875619917,5.15896001734361,0.364938200262468,2.5679012345679,3.25836430219997,2.24070968927596,2.24070968927596,0.00127356087620989,0.0381222964975789,0.0290744567058485,0.0210315426396294
0.73,23020,22705,23020,316,15.4,43.75,0.17552327850106,3.328125,0.213945729897191,5.51190031914228,0.240838462732883,2.89757601817206,4.06770837815901,2.73436750941958,2.73436750941958,0.0108650662251656,0.0130040614431058,0.0382698592498675,0.00798703979647518
0.74,23335,23021,23335,315,15.4,53.8,0.154710490052827,4.21231155778895,0.195117353190687,5.67165642500551,0.213678690382717,3.1449676823638,4.7028550648231,2.73436750941958,2.73436750941958,0.0401427668142035,0.00912121133523627,0.0424320977213337,0.00513219308451734
0.75,23650,23336,23650,315,18,64.2,0.127023333354223,4.47328244274809,0.184948979591837,5.11803264894595,0.194806021819555,3.83999633789062,4.42615837184193,2.89037175789616,2.89037175789616,0.0487841868459633,0.00702425570594315,0.028008147118743,0.00314842918919586
0.76,23966,23651,23966,316,19.6,63.25,0.12630495112268,4.37099251936949,0.169906625982782,5.05563708809256,0.180951986866937,3.69172180046402,4.49976691447504,2.97552956623647,2.97552956623647,0.0453971032903805,0.0039221718012083,0.0263825115761802,0.00169218921700807
0.77,24281,23967,24281,315,24,97.7,0.121363149376303,4.27794561933535,0.152785289345592,5.37130126376381,0.179924256003528,3.99411374826411,4.81693364190355,3.17805383034795,3.17805383034795,0.042316080110442,0.000391353141433911,0.0346067329224827,0.00158416128369726
0.78,24597,24282,24597,316,19.7,73.65,0.114290553678433,3.67225666791384,0.167526384333349,4.60507137208154,0.164853233222883,3.33821758165699,4.03329533372897,2.98060575196848,2.98060575196848,0.0222601545666834,0.00343131049705425,0.0146436052791634,0
0.79,24912,24598,24912,315,19,58.2,0.120308844292933,3.34375,0.150887573964497,4.04301675381905,0.185185195185185,3.02209878034054,3.66562723657321,2.94443897916644,2.94443897916644,0.0113824503311258,0,0,0.00213715468625328
0.8,25227,24913,25227,315,20.8,78.3,0.126850859077301,3.9481981981982,0.171769312922748,5.16778029464744,0.191124040695122,3.67192698635573,4.68979188591504,3.03495298670727,3.03495298670727,0.0313972913310662,0.0043063012616772,0.029304257609699,0.0027614048956541
0.81,25543,25228,25543,316,20.5,76.3,0.132130749714154,3.99715909090909,0.153347180292235,4.75723044123548,0.180678218272374,3.59779332238423,4.2787269487895,3.02041298832285,3.02041298832285,0.0330185129440096,0.000507228150564681,0.0186079127965061,0.00166341256299388
0.82,25858,25544,25858,315,21.6,64.3,0.113227588969695,3.41095890410959,0.155954631379962,4.79288420821135,0.178571438571429,3.18367346938776,4.2373147202342,3.07269331469012,3.07269331469012,0.0136079107321056,0.00104494533644126,0.0195368255273078,0.00144196250720849
0.83,26173,25859,26173,315,15.2,47.3,0.139503855448934,3.375,0.18100145329634,5.07362183539319,0.217391314347826,3.08449991566875,4.66000687168869,2.72129542785223,2.72129542785223,0.0124172185430464,0.0062101837792331,0.0268510808788044,0.00552243834073224
0.84,26489,26174,26489,316,13.4,45,0.174617820070617,4.36451048951049,0.204495701585414,5.80081059324176,0.237379144573384,4,5.45078820650742,2.59525470695687,2.59525470695687,0.0451824665400825,0.0110552453544051,0.0457970423341135,0.00762342028796328
0.85,26804,26490,26804,315,8.4,28.8,0.291789781257603,7.88970588235294,0.360331632653061,8.42940623879873,0.415063442412612,4.41044679752066,5.66298071029493,2.12823170584927,2.12823170584927,0.161910790806389,0.0431922463921505,0.114281698133325,0.0263003600985339
0.86,27119,26805,27119,315,1.8,13.3,2.80511971535908,7,5,10.1452050615443,3.43011971535908,2.55933742898666,4.28571428571429,0.587786664902119,0.587786664902119,0.132450331125828,1,0.158984614686898,0.343222143396778
0.87,27435,27120,27435,316,1.6,9.8,2.0891546236506,5.96845479082321,5,9.66802328439815,2.78847624580495,2,4.2011587931255,0.470003629245736,0.470003629245736,0.0982932049941461,1,0.146552261381914,0.275777036505277
0.88,27750,27436,27750,315,2.8,7.2,1.84957588256078,6,1.18941326530612,8.2063488205254,2.18290921589412,1,2.16666666666667,1.02961941718116,1.02961941718116,0.0993377483443709,0.214168202363313,0.108470225935336,0.21212403448737
0.89,28065,27751,28065,315,1,5,4.37239165423942,5,5,8.11483171000749,5.49416526844439,0,0,0,0,0.0662251655629139,1,0.106085866125507,0.560180282242176
0.9,28381,28066,28381,316,0.8,3.2,7.53114995627312,4,5,7.26470745664264,9.00400205010924,-0.999999999999999,-1.91708189659845,-0.22314355131421,-0.22314355131421,0.033112582781457,1,0.0839369795226313,0.92910995758915
