"index_left","index_right","rank","d2_left","d2_right","crossing_type","local_support"
11526,11527,11526.786827998,-2.62216487571679e-09,7.10412107365178e-10,"neg_to_pos",0.461098501052022
11825,11826,11825.1531556092,7.88872135416507e-10,-4.36191626631375e-09,"pos_to_neg",0.551916710044684
12110,12111,12110.17579433,-4.65518662910533e-10,2.18256823985649e-09,"neg_to_pos",0.46891991330472
12223,12224,12223.6668232462,2.72081558377168e-09,-1.35944946268841e-09,"pos_to_neg",0.41809744563047
12891,12892,12891.3416198632,-4.14905881782673e-09,7.99619169293932e-09,"neg_to_pos",0.490125438016091
13383,13384,13383.327592508,2.27903422250262e-09,-4.67788379891277e-09,"pos_to_neg",0.585721992274577
13908,13909,13908.6458868928,-7.40978256079076e-09,4.0624777421261e-09,"neg_to_pos",0.549785953785136
14225,14226,14225.4419007396,6.00029728258652e-09,-7.5780852465471e-09,"pos_to_neg",0.456654013592437
14582,14583,14582.8093776319,-1.41956941046037e-08,3.34333038195771e-09,"neg_to_pos",0.564568697251475
15211,15212,15211.4509360006,3.89828107758943e-09,-4.74658443050802e-09,"pos_to_neg",0.459330124275898
15422,15423,15422.1190945782,-3.66510841835086e-09,2.7109662986157e-08,"neg_to_pos",0.609569690596986
15887,15888,15887.3496688998,5.16351812473347e-09,-9.60336027976142e-09,"pos_to_neg",0.538792972950196
16922,16923,16922.5477817119,-1.01960534088579e-09,8.4172978356581e-10,"neg_to_pos",0.468984182390951
17701,17702,17701.6045049824,4.10819907112963e-09,-2.68777315511136e-09,"pos_to_neg",0.530416968887845
17890,17891,17890.7679099826,-1.34407044936099e-08,4.06226434122005e-09,"neg_to_pos",0.60950218003998
18336,18337,18336.9800931187,1.02456330420091e-08,-2.08101247898376e-10,"pos_to_neg",0.525192289112311
19243,19244,19243.8806553673,-7.63513203944892e-09,1.03469763840049e-09,"neg_to_pos",0.543297902187078
20070,20071,20070.8367571911,2.49866913525832e-09,-4.87464909306276e-10,"pos_to_neg",0.554204188423266
21229,21230,21229.5829509492,-1.3231702142877e-09,9.46609457822233e-10,"neg_to_pos",0.553928859881015
21663,21664,21663.5504800296,3.21263093390329e-09,-2.62342262117472e-09,"pos_to_neg",0.506321333761923
22490,22491,22490.6041498285,-1.05621089764994e-08,6.92048967451985e-09,"neg_to_pos",0.540421224605736
23380,23381,23380.7834513165,1.38601501620553e-08,-3.83099397078895e-09,"pos_to_neg",0.45962236171944
24575,24576,24575.1064745219,-1.8931909451205e-09,1.58875035440414e-08,"neg_to_pos",0.530290479832979
25470,25471,25470.6243522453,3.26611711539837e-09,-1.96509193358222e-09,"pos_to_neg",0.4017866717631
26148,26149,26148.0754631063,-8.42444274952938e-10,1.03212132559648e-08,"neg_to_pos",0.41621887610885
26590,26591,26590.1613758432,8.85664647378814e-10,-4.60254616411976e-09,"pos_to_neg",0.328981395820567
27008,27009,27008.5915182772,-2.04941244290652e-09,1.41525216991281e-09,"neg_to_pos",0.332143996255566
27618,27619,27618.6669111881,5.63547750804371e-09,-2.81463940162877e-09,"pos_to_neg",0.364367191777764
28049,28050,28049.0352754103,-3.05526139147897e-10,8.35563858784344e-09,"neg_to_pos",0.45157550526574
28435,28436,28435.8819778655,6.82042437869321e-09,-9.12677148267637e-10,"pos_to_neg",0.447876453099621
28758,28759,28758.6409199087,-4.27773940849637e-09,2.3966349562064e-09,"neg_to_pos",0.513234461995853
29266,29267,29266.2768037306,2.49520153335366e-10,-6.51913338019049e-10,"pos_to_neg",0.536187138245799
29331,29332,29331.4967672295,-2.56003301149959e-10,2.59335243681619e-10,"neg_to_pos",0.495416865225145
29612,29613,29612.8702372743,1.38327269499799e-09,-2.06262407506928e-10,"pos_to_neg",0.539037690472376
29846,29847,29846.2570583415,-6.0312591139945e-10,1.74313489439082e-09,"neg_to_pos",0.530717459719331
31746,31747,31746.743899571,4.51432301267315e-09,-1.55413459721451e-09,"pos_to_neg",0.997034380181267
