"feature_id","gene_symbol_trt","pc1_loading_trt","pc1_loading_abs_trt","rank_trt","gene_symbol_ctrl","pc1_loading_ctrl","pc1_loading_abs_ctrl","rank_ctrl","gene_symbol","combined_rank"
"446890","Rab15",0.000773541725119534,0.000773541725119534,26671,"Rab15",0.00013605100173568,0.00013605100173568,30402,"Rab15",28536
"566113","Mmgt1",0.000368270140218662,0.000368270140218662,28827,"Mmgt1",-0.000576316776175209,0.000576316776175209,28263,"Mmgt1",28545
"495656","-",0.000729270726868682,0.000729270726868682,26910,"-",0.000184476864610076,0.000184476864610076,30182,"-",28546
"565120","Thoc2",-0.000428645690381894,0.000428645690381894,28502,"Thoc2",-0.000506819022978399,0.000506819022978399,28591,"Thoc2",28546
"121294","Ran",0.000766612451712904,0.000766612451712904,26709,"Ran",0.000138157918449497,0.000138157918449497,30390,"Ran",28550
"301570","Ensa",0.000266393836704155,0.000266393836704155,29377,"Ensa",-0.00069333535102851,0.00069333535102851,27730,"Ensa",28554
"20864","Syt17",0.000158691794408913,0.000158691794408913,29988,"Syt17",0.000817191175115717,0.000817191175115717,27125,"Syt17",28556
"453258","Morn2",0.000418849296854669,0.000418849296854669,28550,"Morn2",-0.000512673993409465,0.000512673993409465,28570,"Morn2",28560
"204065","Parg",0.000663696956778318,0.000663696956778318,27253,"Parg",-0.000248142452136933,0.000248142452136933,29880,"Parg",28566
"9443","Actn4",0.000247019719071671,0.000247019719071671,29480,"Actn4",-0.00070830007551792,0.00070830007551792,27657,"Actn4",28568
"59914","Marchf5",0.000859560604873791,0.000859560604873791,26247,"Marchf5",2.63329002246057e-05,2.63329002246057e-05,30896,"Marchf5",28572
"194487","Cacna1d",-9.01727993638767e-05,9.01727993638767e-05,30411,"Cacna1d",0.000906229820933376,0.000906229820933376,26738,"Cacna1d",28574
"294649","Actl6a",0.000768448825500988,0.000768448825500988,26704,"Actl6a",-0.000124886582959451,0.000124886582959451,30449,"Actl6a",28576
"71242","Chd3",4.45531843588587e-05,4.45531843588587e-05,30649,"Chd3",0.000954972824060323,0.000954972824060323,26503,"Chd3",28576
"231975","Cables1",-0.000913927327099865,0.000913927327099865,25990,"Cables1",0,0,31165,"Cables1",28578
"495113","Sqle",4.6422510648642e-05,4.6422510648642e-05,30637,"Sqle",-0.000952427014615672,0.000952427014615672,26519,"Sqle",28578
"23572","Fuom",0.00045563080672349,0.00045563080672349,28352,"Fuom",-0.000463350378023279,0.000463350378023279,28812,"Fuom",28582
"95248","Hexim1",-0.000480280574029611,0.000480280574029611,28206,"Hexim1",0.000432725282744488,0.000432725282744488,28963,"Hexim1",28584
"502243","Fat3",0.000208431946009794,0.000208431946009794,29693,"Fat3",-0.000742210327587019,0.000742210327587019,27492,"Fat3",28592
"285771","-",7.30183922069367e-05,7.30183922069367e-05,30502,"-",-0.000919109820476667,0.000919109820476667,26683,"-",28592
"214365","Fam193b",0.000223103748178708,0.000223103748178708,29602,"Fam193b",-0.000721950705889861,0.000721950705889861,27587,"Fam193b",28594
