"rank","feature_id","mu","empirical_variance.x","log_nb1","log_nb2","log_alpha_mu","nb_gap","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1_spline","d2_spline"
74,"25473",0,0,0,0,0,0,0,0,0,-0.0779917432562657,-0.0002631516114535,2.88055867169032e-08
75,"25630",0,0,0,0,0,0,0,0,0,-0.0782548803630951,-0.000263122500374626,2.94165710314529e-08
76,"25853",0,0,0,0,0,0,0,0,0,-0.0785179880533535,-0.000263092778311437,3.00275553460026e-08
77,"26562",0,0,0,0,0,0,0,0,0,-0.0787810657160566,-0.000263062445263934,3.06385396605523e-08
78,"28553",0,0,0,0,0,0,0,0,0,-0.0790441127402199,-0.000263031501232116,3.1249523975102e-08
79,"28759",0,0,0,0,0,0,0,0,0,-0.0793071285148593,-0.000262999946215984,3.18605082896517e-08
80,"29511",0,0,0,0,0,0,0,0,0,-0.0795701124289905,-0.000262967780215537,3.24714926042014e-08
81,"30241",0,0,0,0,0,0,0,0,0,-0.079833063871629,-0.000262935003230775,3.30824769187512e-08
82,"30514",0,0,0,0,0,0,0,0,0,-0.0800959822317906,-0.000262901615261699,3.36934612333009e-08
83,"31054",0,0,0,0,0,0,0,0,0,-0.0803588668984909,-0.000262867616308309,3.43044455478506e-08
84,"31074",0,0,0,0,0,0,0,0,0,-0.0806217172607457,-0.000262833006370604,3.49154298624003e-08
85,"33486",0,0,0,0,0,0,0,0,0,-0.0808845327075707,-0.000262797785448584,3.552641417695e-08
86,"34554",0,0,0,0,0,0,0,0,0,-0.0811473126279815,-0.00026276195354225,3.61373984914997e-08
87,"34738",0,0,0,0,0,0,0,0,0,-0.0814100564109938,-0.000262725510651601,3.67483828060494e-08
88,"35099",0,0,0,0,0,0,0,0,0,-0.0816727634456233,-0.000262688456776638,3.73593671205991e-08
89,"35207",0,0,0,0,0,0,0,0,0,-0.0819354331208856,-0.00026265079191736,3.79703514351488e-08
90,"35342",0,0,0,0,0,0,0,0,0,-0.0821980648257965,-0.000262612516073767,3.85813357496985e-08
91,"35804",0,0,0,0,0,0,0,0,0,-0.0824606579493717,-0.00026257362924586,3.91923200642482e-08
92,"36502",0,0,0,0,0,0,0,0,0,-0.0827232118806268,-0.000262534131433639,3.98033043787979e-08
93,"36945",0,0,0,0,0,0,0,0,0,-0.0829857260085775,-0.000262494022637103,4.04142886933476e-08
94,"37691",0,0,0,0,0,0,0,0,0,-0.0832481997222396,-0.000262453302856252,4.10252730078973e-08
95,"37858",0,0,0,0,0,0,0,0,0,-0.0835106324106286,-0.000262411972091087,4.1636257322447e-08
96,"38593",0,0,0,0,0,0,0,0,0,-0.0837730234627603,-0.000262370030341607,4.22472416369967e-08
97,"38926",0,0,0,0,0,0,0,0,0,-0.0840353722676504,-0.000262327477607813,4.28582259515464e-08
98,"39525",0,0,0,0,0,0,0,0,0,-0.0842976782143145,-0.000262284313889704,4.34692102660961e-08
99,"39747",0,0,0,0,0,0,0,0,0,-0.0845599406917684,-0.000262240539187281,4.40801945806458e-08
100,"39984",0,0,0,0,0,0,0,0,0,-0.0848221590890276,-0.000262196153500543,4.46911788951955e-08
101,"40007",0,0,0,0,0,0,0,0,0,-0.085084332795108,-0.00026215115682949,4.53021632097452e-08
102,"40151",0,0,0,0,0,0,0,0,0,-0.0853464611990252,-0.000262105549174123,4.59131475242949e-08
103,"40563",0,0,0,0,0,0,0,0,0,-0.0856085436897948,-0.000262059330534442,4.65241318388446e-08
104,"40877",0,0,0,0,0,0,0,0,0,-0.0858705796564326,-0.000262012500910446,4.71351161533943e-08
105,"40922",0,0,0,0,0,0,0,0,0,-0.0861325684879543,-0.000261965060302135,4.77461004679441e-08
106,"41242",0,0,0,0,0,0,0,0,0,-0.0863945095733755,-0.00026191700870951,4.83570847824938e-08
107,"41341",0,0,0,0,0,0,0,0,0,-0.0866564023017118,-0.00026186834613257,4.89680690970435e-08
108,"41591",0,0,0,0,0,0,0,0,0,-0.0869182460619791,-0.000261819072571316,4.95790534115932e-08
109,"41750",0,0,0,0,0,0,0,0,0,-0.087180040243193,-0.000261769188025747,5.01900377261429e-08
110,"42016",0,0,0,0,0,0,0,0,0,-0.0874417842343692,-0.000261718692495863,5.08010220406926e-08
111,"42030",0,0,0,0,0,0,0,0,0,-0.0877034774245233,-0.000261667585981665,5.14120063552423e-08
112,"42356",0,0,0,0,0,0,0,0,0,-0.0879651192026711,-0.000261615868483153,5.2022990669792e-08
113,"43888",0,0,0,0,0,0,0,0,0,-0.0882267089578282,-0.000261563540000326,5.26339749843417e-08
114,"44030",0,0,0,0,0,0,0,0,0,-0.0884882460790103,-0.000261510600533184,5.32449592988914e-08
115,"44156",0,0,0,0,0,0,0,0,0,-0.0887497299552331,-0.000261457050081728,5.38559436134411e-08
