"feature_id","gene_symbol","rank","abs_loading","mu","variance","nb1","nb2","alpha_mu","log_variance","log_nb1","log_nb2","log_alpha_mu","nb_gap"
"61185","Arl3",135,0,0,0,0,0,NA,0,0,0,NA,0
"61343","Taf5",136,0,0,0,0,0,NA,0,0,0,NA,0
"61785","-",137,0,0,0,0,0,NA,0,0,0,NA,0
"61884","Add3",138,0,0,0,0,0,NA,0,0,0,NA,0
"61982","-",139,0,0,0,0,0,NA,0,0,0,NA,0
"62844","-",140,0,0,0,0,0,NA,0,0,0,NA,0
"63502","-",141,0,0,0,0,0,NA,0,0,0,NA,0
"63659","Abat",142,0,0,0,0,0,NA,0,0,0,NA,0
"64569","Rbfox1",143,0,0,0,0,0,NA,0,0,0,NA,0
"64861","-",144,0,0,0,0,0,NA,0,0,0,NA,0
"65344","Tbc1d24",145,0,0,0,0,0,NA,0,0,0,NA,0
"65774","Stub1",146,0,0,0,0,0,NA,0,0,0,NA,0
"66239","LOC100910596",147,0,0,0,0,0,NA,0,0,0,NA,0
"67948","Lsm11",148,0,0,0,0,0,NA,0,0,0,NA,0
"68944","Ube2b",149,0,0,0,0,0,NA,0,0,0,NA,0
"70033","Shmt1",150,0,0,0,0,0,NA,0,0,0,NA,0
"70034","Shmt1",151,0,0,0,0,0,NA,0,0,0,NA,0
"71548","Nlgn2",152,0,0,0,0,0,NA,0,0,0,NA,0
"71643","-",153,0,0,0,0,0,NA,0,0,0,NA,0
"71789","-",154,0,0,0,0,0,NA,0,0,0,NA,0
"72056","Mybbp1a",155,0,0,0,0,0,NA,0,0,0,NA,0
"72121","Zzef1",156,0,0,0,0,0,NA,0,0,0,NA,0
"72569","Doc2b",157,0,0,0,0,0,NA,0,0,0,NA,0
"72742","Abr",158,0,0,0,0,0,NA,0,0,0,NA,0
"73097","Pipox",159,0,0,0,0,0,NA,0,0,0,NA,0
"73206","Supt6h",160,0,0,0,0,0,NA,0,0,0,NA,0
"74404","Dusp14",161,0,0,0,0,0,NA,0,0,0,NA,0
"74809","Rps6kb1",162,0,0,0,0,0,NA,0,0,0,NA,0
"75099","Trim37",163,0,0,0,0,0,NA,0,0,0,NA,0
"75822","-",164,0,0,0,0,0,NA,0,0,0,NA,0
"76416","LOC108352124",165,0,0,0,0,0,NA,0,0,0,NA,0
"76972","Nr1d1",166,0,0,0,0,0,NA,0,0,0,NA,0
"77549","Becn1",167,0,0,0,0,0,NA,0,0,0,NA,0
"78431","Cdc27",168,0,0,0,0,0,NA,0,0,0,NA,0
"78496","LOC303590",169,0,0,0,0,0,NA,0,0,0,NA,0
"78634","Ddx42",170,0,0,0,0,0,NA,0,0,0,NA,0
"78860","Bptf",171,0,0,0,0,0,NA,0,0,0,NA,0
"79142","Pitpnc1",172,0,0,0,0,0,NA,0,0,0,NA,0
"79918","Sdk2",173,0,0,0,0,0,NA,0,0,0,NA,0
"79977","Sdk2",174,0,0,0,0,0,NA,0,0,0,NA,0
"80255","Tsen54",175,0,0,0,0,0,NA,0,0,0,NA,0
"80350","Fbf1",176,0,0,0,0,0,NA,0,0,0,NA,0
"80542","Prpsap1",177,0,0,0,0,0,NA,0,0,0,NA,0
"80584","Rhbdf2",178,0,0,0,0,0,NA,0,0,0,NA,0
"80595","Cygb",179,0,0,0,0,0,NA,0,0,0,NA,0
"80656","Mgat5b",180,0,0,0,0,0,NA,0,0,0,NA,0
"81499","Notum",181,0,0,0,0,0,NA,0,0,0,NA,0
"81934","Mrtfb",182,0,0,0,0,0,NA,0,0,0,NA,0
"82037","Bfar",183,0,0,0,0,0,NA,0,0,0,NA,0
"82098","Pdxdc1",184,0,0,0,0,0,NA,0,0,0,NA,0
"82423","Emp2",185,0,0,0,0,0,NA,0,0,0,NA,0
"82808","Ppl",186,0,0,0,0,0,NA,0,0,0,NA,0
"83121","Crebbp",187,0,0,0,0,0,NA,0,0,0,NA,0
"83889","-",188,0,0,0,0,0,NA,0,0,0,NA,0
"83973","Luc7l",189,0,0,0,0,0,NA,0,0,0,NA,0
"84330","-",190,0,0,0,0,0,NA,0,0,0,NA,0
"84604","-",191,0,0,0,0,0,NA,0,0,0,NA,0
"84954","Ccnjl",192,0,0,0,0,0,NA,0,0,0,NA,0
"85078","Ebf1",193,0,0,0,0,0,NA,0,0,0,NA,0
"85273","Sgcd",194,0,0,0,0,0,NA,0,0,0,NA,0
"85524","Rnf130",195,0,0,0,0,0,NA,0,0,0,NA,0
"85804","Col23a1",196,0,0,0,0,0,NA,0,0,0,NA,0
"86026","LOC108348219",197,0,0,0,0,0,NA,0,0,0,NA,0
"86227","Shroom1",198,0,0,0,0,0,NA,0,0,0,NA,0
"86259","Septin8",199,0,0,0,0,0,NA,0,0,0,NA,0
"86419","Acsl6",200,0,0,0,0,0,NA,0,0,0,NA,0
"88390","Gas7",201,0,0,0,0,0,NA,0,0,0,NA,0
"88968","Plscr3",202,0,0,0,0,0,NA,0,0,0,NA,0
"89164","Med11",203,0,0,0,0,0,NA,0,0,0,NA,0
"89450","Mis12",204,0,0,0,0,0,NA,0,0,0,NA,0
"89453","Mis12",205,0,0,0,0,0,NA,0,0,0,NA,0
"89508","Wscd1",206,0,0,0,0,0,NA,0,0,0,NA,0
"89541","Txndc17",207,0,0,0,0,0,NA,0,0,0,NA,0
"91818","-",208,0,0,0,0,0,NA,0,0,0,NA,0
"92320","Ppm1d",209,0,0,0,0,0,NA,0,0,0,NA,0
"95062","Nags",210,0,0,0,0,0,NA,0,0,0,NA,0
"95296","Prp2l1",211,0,0,0,0,0,NA,0,0,0,NA,0
"96153","Helz",212,0,0,0,0,0,NA,0,0,0,NA,0
