"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","alpha_mu","log_alpha_mu","log_mu","log_alpha"
"261901","Tcf25",16132,0.00417404392024846,1.6,5.3,1.4453125,2.3125,0.838329190404443,0.470003629245736,0.368325561158707
"324048","-",16133,0.00417404392024846,1.6,5.3,1.4453125,2.3125,0.838329190404443,0.470003629245736,0.368325561158707
"333232","Cep152",16134,0.00417404392024846,1.6,5.3,1.4453125,2.3125,0.838329190404443,0.470003629245736,0.368325561158707
"344832","Kcnh7",16135,0.00417404392024846,1.6,5.3,1.4453125,2.3125,0.838329190404443,0.470003629245736,0.368325561158707
"386647","Copg2",16136,0.00417404392024846,1.6,5.3,1.4453125,2.3125,0.838329190404443,0.470003629245736,0.368325561158707
"439443","Pkdcc",16137,0.00417404392024846,1.6,5.3,1.4453125,2.3125,0.838329190404443,0.470003629245736,0.368325561158707
"483724","LOC108351532",16138,0.00417404392024846,1.6,5.3,1.4453125,2.3125,0.838329190404443,0.470003629245736,0.368325561158707
"556783","Araf",16139,0.00417404392024846,1.6,5.3,1.4453125,2.3125,0.838329190404443,0.470003629245736,0.368325561158707
"256611","LOC103694288",16140,0.00417357071044777,4,13.5,0.59375,2.375,0.864997437486605,1.38629436111989,-0.521296923633286
"367307","Copg2",16141,0.00417341617517457,134.6,5092.3,0.273646642188952,36.832838038633,3.60638978528435,4.90230741721063,-1.29591763192628
"369514","Zfp746",16142,0.00417325454175913,22,164,0.293388429752066,6.45454545454545,1.86478460424294,3.09104245335832,-1.22625784911537
"373620","Nup210",16143,0.00417324643999727,22.4,97.3,0.149274553571429,3.34375,1.20709293166218,3.10906095886099,-1.90196802719881
"304466","Abca4",16144,0.00417310661692406,7,33.5,0.540816326530612,3.78571428571429,1.33123458393686,1.94591014905531,-0.61467556511845
"246307","Csnk1a1",16145,0.00417279645776363,39,1136.5,0.721564760026298,28.1410256410256,3.33722849881968,3.66356164612965,-0.326333147309966
"115419","Apod",16146,0.00417211405643992,845.6,145766.8,0.202675835914823,171.382686849574,5.14389899084929,6.74004643455603,-1.59614744370674
"177191","Atp8a2",16147,0.00417179113429246,9,29.5,0.253086419753086,2.27777777777778,0.823200308808143,2.19722457733622,-1.37402426852808
"312391","Rwdd1",16148,0.00417078452556341,62.2,1280.2,0.314823047735238,19.5819935691318,2.97461044852471,4.13035499974513,-1.15574455122043
"537941","Cct6a-ps1",16149,0.00417070128841464,140.4,4389.8,0.215572519703574,30.2663817663818,3.41003758388983,4.94449549159171,-1.53445790770188
"337891","Tomm34",16150,0.00417058399516912,44,593,0.283574380165289,12.4772727272727,2.52390880759127,3.78418963391826,-1.26028082632699
"84203","Fbxw11",16151,0.00417049357785653,26.6,233.3,0.292130702696591,7.77067669172932,2.05035725090007,3.28091121578765,-1.23055396488758
"514897","Klhdc8b",16152,0.00417047780446709,37.2,443.2,0.293386518672679,10.9139784946237,2.39004439832263,3.6163087612791,-1.22626436295647
