"comparison_name","feature_id","gene_symbol","pc1_loading_trt_normalized","pc1_loading_ctrl_normalized","pc1_loading_trt_raw","pc1_loading_ctrl_raw"
"RT0_ZT6","434090","Csmd2",-3.1457095249688e-05,0.000108895090604984,-2.91404489069456e-05,-0.000250297643054653
"RT0_ZT6","434149","Csmd2",0,9.14813800241628e-05,0,-2.2425634903585e-05
"RT0_ZT6","434150","Csmd2",0,-8.05432902734259e-06,0,-2.01224705013568e-05
"RT0_ZT6","434209","Csmd2",2.84825822040638e-05,-0.000394076313673501,5.1153492624102e-05,-0.000205689933500988
"RT0_ZT6","434254","Phc2",-0.00889309776307135,0.00662787219739875,-0.006969645990303,-0.00536343011682489
"RT0_ZT6","434259","A3galt2",7.8931824164619e-05,-0.000221103546070448,7.66560923315428e-05,-0.000114608995686323
"RT0_ZT6","434283","Trim62",0.000394659120823095,-0.000133225579768858,0.000383280461657714,-0.000130303137517454
"RT0_ZT6","434297","Ak2",-8.84489161685329e-05,0.000228771281732739,-5.35382135505243e-05,-5.13493639396067e-05
"RT0_ZT6","434302","Ak2",4.14784584038689e-05,-0.000105405131028419,4.40503836613581e-05,-0.00010696759043319
"RT0_ZT6","434308","LOC120103130",-6.10855375724459e-05,0.000285520013742343,-2.39588438868665e-05,-0.000139824390896087
"RT0_ZT6","434317","Rnf19b",-0.00136580306994592,0.000658041745661901,-0.00110455200012808,-0.000838323909159706
"RT0_ZT6","434331","Fndc5",0.000494460868239924,-8.69143223546991e-06,0.000486851486041014,-0.000266433005488095
"RT0_ZT6","434333","Fndc5",0.00461531560990466,-0.00702982002527132,0.00482030932983924,-0.00404067225074477
"RT0_ZT6","434339","Fndc5",0.000347845454678643,0.000572358671275485,0.000395654736524201,-0.000134845200617999
"RT0_ZT6","434342","Fndc5",0.00695552734764758,-0.00991167921276599,0.00704361688942807,-0.00495596438561636
"RT0_ZT6","434344","S100pbp",-7.49878706457304e-05,1.22306669924239e-05,-6.69542389055364e-05,-1.24683104840532e-05
"RT0_ZT6","434359","Yars1",0.00418843581705791,-0.000752057121728276,0.00440385263118857,-0.00460933909537623
"RT0_ZT6","434376","Sync",-3.77651598322678e-05,4.97831261050837e-06,-3.82176880560936e-05,-0.000120706757369072
"RT0_ZT6","434378","Sync",-0.000558361635829476,0.000201650757300574,-0.000439238003482436,-0.000390343872072568
"RT0_ZT6","434390","Zbtb8os",0.000184174256384111,-4.87692969712527e-05,0.000178864215440266,-0.000128697546075166
"RT0_ZT6","434391","Zbtb8os",0.000171783290854873,-0.000255126721345717,0.000217623636431485,-0.00037364762756997
"RT0_ZT6","434406","LOC100360940",0.000109626744647014,3.93730061100737e-05,0.000130102270495385,-0.00017585769178899
"RT0_ZT6","434432","Bsdc1",-0.0015020855597409,0.000988946582418047,-0.000481765509327465,-0.002268568412692
"RT0_ZT6","434438","Marcksl1",-0.000517811959078679,0.000174783370130989,-0.00041125168663881,-3.12705532337026e-05
"RT0_ZT6","434440","Lck",5.96075621587696e-05,0.00075959267825293,8.44175339837045e-05,-0.000976672178052399
"RT0_ZT6","434446","Tmem234",0.000276084584274218,-0.000301390974371628,0.0002870950427452,-0.000201289570000447
"RT0_ZT6","434448","Tmem234",0.00013705283152581,0.000473115165792221,0.000249741676767217,-0.00112733840646312
"RT0_ZT6","434466","-",0.000418233138390154,-0.000182236193160673,0.000436889475471591,1.54170830956601e-05
"RT0_ZT6","434500","Ptp4a2",-0.000697971826187717,0.00120926957987266,-0.000309611194085622,-0.000743075545310889
"RT0_ZT6","434502","Ptp4a2",0.00281896813821726,-0.000917521005952166,0.00303141027451447,-0.00234170288587012
"RT0_ZT6","434508","Ptp4a2",0.000231622871630738,-0.00148599272516436,0.000655254073919276,-0.00383513560709614
"RT0_ZT6","434512","-",-0.000180747996304998,0.000277880962915289,-0.000125593821886688,-0.000188940705451139
"RT0_ZT6","434568","Adgrb2",0.00817993717513885,-0.00603761310033477,0.0082297727876579,-0.00346392831004133
"RT0_ZT6","434606","Col16a1",0.000462179755560116,-0.00078397978235367,0.000490169756881683,-0.00055703242823876
