"Comparison","Analysis","PAS","Gene","Direction","Apeglm_LFC","Std_p","Std_BH","Strong_p","Strong_BH","Weak_p","Weak_BH","EmpP","HBFSS","HCp","Htau","Std","Strong","Weak","HBFSS_sig","Ovlp","Support"
"RT4_ZT10","NormEVS Rem","286162","-","downregulated",-1.39538134329705,0.00540634180730317,0.10386150669483,0.130576009596968,1,0.934711995201516,NA,0.0119326920618958,2.68368330851747,0.0339201556248525,1.46954216387819,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT4_ZT10","NormEVS Rem","259004","Tango6","upregulated",1.29624318646012,0.00542456418778473,0.103895670390634,0.171312678909113,1,0.914343660545444,0.944906889615688,0.0119661373452284,2.49143905322234,0.0339201556248525,1.46954216387819,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT4_ZT10","NormEVS Rem","100497","App","upregulated",1.58125898285613,0.00542736165673793,0.103895670390634,0.101717565415293,1,0.949141217292353,NA,0.011971270161993,3.03895802215058,0.0339201556248525,1.46954216387819,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT4_ZT10","NormEVS Rem","243331","Pcdha4","downregulated",-1.24736782484555,0.00543191546495142,0.103895670390634,0.196206705076956,1,0.901896647461522,0.935319813944205,0.0119796245874801,2.39688811529849,0.0339201556248525,1.46954216387819,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT4_ZT10","NormEVS Rem","9901","Lin37","upregulated",1.09491701867182,0.00543261344067203,0.103895670390634,0.316912988578303,1,0.841543505710848,0.883505784281257,0.0119809049927235,2.10389441193895,0.0339201556248525,1.46954216387819,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT4_ZT10","NormEVS Rem","294756","Ccdc39","upregulated",1.68028310271224,0.00545407222512875,0.104118287869267,0.0921758486745713,1,0.953912075662714,NA,0.0120202569189576,3.22628848111527,0.0339201556248525,1.46954216387819,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT4_ZT10","NormEVS Rem","143650","Cntnap5b","downregulated",-1.3973943849874,0.00548967126086247,0.1045156532959,0.140899388146337,1,0.929550305926831,0.956285016193522,0.0120854833831303,2.6798334825578,0.0339201556248525,1.46954216387819,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT4_ZT10","NormEVS Rem","112805","Cmss1","downregulated",-0.839513518385205,0.00555549383164489,0.104779249772425,0.721573975816155,1,0.639213012091923,0.706481773019482,0.0122059033395197,1.60635041328253,0.0339201556248525,1.46954216387819,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT4_ZT10","NormEVS Rem","553161","Dner","upregulated",1.93337088688316,0.00561358306920213,0.105721688781954,0.0631380619268149,1,0.968430969036593,NA,0.0123119796354094,3.69210446390427,0.0339201556248525,1.46954216387819,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT4_ZT10","NormEVS Rem","225430","Ssr1","upregulated",0.820281983339381,0.00564071973549349,0.106058532686242,0.801706249181571,1,0.599146875409214,0.672203679555437,0.0123614714404834,1.56504046517398,0.0339201556248525,1.46954216387819,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
