"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","combined_rank","mu_ctrl","mu_trt","var_ctrl","var_trt","alpha_gene_wise","alpha_fitted","alpha_final","iod_emp_ctrl","iod_emp_trt","cv2_emp_ctrl","cv2_emp_trt","iod_nb_gw_ctrl","iod_nb_gw_trt","cv2_nb_gw_ctrl","cv2_nb_gw_trt","iod_nb_fit_ctrl","iod_nb_fit_trt","cv2_nb_fit_ctrl","cv2_nb_fit_trt","iod_nb_final_ctrl","iod_nb_final_trt","cv2_nb_final_ctrl","cv2_nb_final_trt","gene_symbol"
"294176",0.00110080294874749,0.00378418303496545,25290,14008,14008,12.9132320794025,8.54922648084604,22.9591308370341,17.0621868261695,0.0910698459130299,0.884820934188943,0.369160755710766,1.77795386126882,1.99575796294509,0.137684651707358,0.233443103585623,2.17600605571038,1.77857673828624,0.168509792306859,0.208039492493388,12.4258980718956,8.56453456137504,0.962260880582772,1.0017905807693,5.76705851310074,4.15603890841162,0.446600702104595,0.486130402291124,"Rpl22l1"
"301668",0.00298281093939862,0.00378399270919125,18329,14009,14009,17.0627626621527,13.9584809626268,24.5268604444747,198.021826582522,0.309573404706597,0.653004063563751,0.431850338857925,1.43744954613231,14.1864882799723,0.0842448303709189,1.0163346798234,6.28217753102323,5.3211744761326,0.368180561109125,0.381214438045215,12.1420533540096,10.1149447897726,0.711611219966279,0.724645096902369,8.36855983750301,7.02797473365228,0.490457495260453,0.503491372196542,"Aph1a"
"399804",0.00420418607480662,0.00032828025170848,14010,28774,14010,62.1858486424287,45.3996654546449,472.879376821197,143.749419096428,0.0989136869140744,0.282584290391414,0.160132041172834,7.60429240968108,3.16631009627232,0.122283326121448,0.0697430270589883,7.15103156310321,5.49064829478447,0.114994515942396,0.120940280942592,18.5727439110086,13.8292322465085,0.298665119419736,0.304610884419932,10.957946875177,8.2699410978161,0.176212870201156,0.182158635201352,"Strap"
"371265",0.00184251969370891,0.00378391123485424,22298,14010,14010,19.7700152360345,11.3688518379107,21.0008723138933,28.6782496865839,0.0258926862780387,0.651037930462128,0.268991108233776,1.06225878246241,2.52252822848417,0.0537308024187175,0.221880649378551,1.51189880221869,1.29437011398053,0.07647433672499,0.113852316173591,13.8710298044727,8.40155377228396,0.701619580909079,0.738997560357681,6.31795830813957,4.05812005522521,0.319572758680728,0.356950738129329,"Kcmf1"
"328831",0.00420402542509932,0.0017374794675142,14011,22319,14011,7.05969571427597,10.4620011229239,14.424972478132,16.1498472829744,0.0979254544206709,1.05402296112406,0.415237595014503,2.04328530037946,1.54366713339262,0.289429655763715,0.147549891770724,1.69132391089214,2.0244962141119,0.239574618984212,0.193509462513428,8.44108138139597,12.0271894028675,1.1956721256876,1.14960696921681,3.93145106993014,5.34421618532196,0.556886759578043,0.51082160310726,"Rtn4rl2"
"308792",0.00376211682904582,0.00378366721321561,15498,14011,14011,34.0943615892671,30.1135007619126,409.305662032623,200.551333844768,0.190829393365588,0.383976606439331,0.257074036392083,12.0050836253662,6.6598478679179,0.352113459990563,0.221158208093203,7.50620633926684,6.74654108250996,0.22015975631671,0.224037090069679,14.0914372617622,12.5628798305674,0.413306969390453,0.417184303143421,9.76477515196406,8.74139919076093,0.286404399343205,0.290281733096173,"Lsm2"
"93988",0.000277326894401343,0.003783294732915,29465,14013,14013,4.23401739730649,5.09280322782966,30.5675776337578,24.8136981598006,2.69005204443644,1.86370336420366,2.24415253951783,7.21952102823284,4.87230647832729,1.7051231373838,0.956704247221362,12.3897271558038,14.6999057349357,2.92623435219837,2.88640755931977,8.89095246745692,10.4914745089334,2.09988567196559,2.06005887908699,10.501780894528,12.4290272969985,2.48033484727976,2.44050805440116,"-"
"78121",0.000961140633568973,0.00378275356785496,25898,14014,14014,9.45577227846355,6.35991783375799,8.97622312651278,29.4482471562931,0.272240342701975,1.1534254930421,0.6549810550984,0.949285035867141,4.63028736000078,0.100392121120475,0.728042009508918,3.57424268560075,2.73142621061868,0.37799585061301,0.429475078454703,11.9065288023806,8.33569136310954,1.25918100095313,1.31066022879482,7.19335170371826,5.16562569309394,0.760736563009435,0.812215790851128,"Arhgap27"
"423949",0.00207654867775146,0.00378250110564593,21464,14015,14015,7.36115837812734,8.20930118209875,8.87870695337025,13.2598517659188,0.0863759704641872,1.1695047514384,0.458811508728341,1.20615621853105,1.61522296134454,0.163854132267413,0.19675523232924,1.63582719865133,1.70908635643658,0.222224154762376,0.208189018593132,9.6089096993105,10.6008167384533,1.30535293573659,1.29131779956734,4.37738418145688,4.76652186096408,0.59465969302653,0.580624556857286,"Cnr1"
"161852",0.00359181358335497,0.00378125900716096,16102,14016,14016,11.9226151992427,20.3154067930272,59.0382363924901,144.138930679241,0.259722536227913,0.633358481309015,0.392363949062226,4.95178577903278,7.09505510510938,0.415327148975444,0.349245042316583,4.09657185801679,6.27636897678679,0.34359675201771,0.308946261363618,8.55128945582415,13.8669351936065,0.717232697098813,0.68258220644472,5.67800438272419,8.97103323611771,0.476238164852023,0.441587674197931,"Usp34"
"369489",0.00101851081820336,0.00378034958253474,25664,14017,14017,13.706308685055,14.1044330299834,59.9906520634151,116.773122091905,0.370797566969702,0.713091292096766,0.497059785975455,4.37686421938148,8.27917874073119,0.319332091517382,0.586991247583737,6.0822659125541,6.22988945100493,0.443756670910675,0.441697261971563,10.773849370103,11.0577483736431,0.78605039603774,0.783990987098627,7.81285486150698,8.01074646318867,0.570018889916429,0.567959480977317,"Zfp777"
