"percentile","rank_index","lo_rank","hi_rank","n_bin","mu","variance","iod_emp","cv2_emp","iod_nb","cv2_nb","diff_emp","diff_nb","alpha_gene_wise"
0.32,10097,9782,10097,316,9.5,58.5,9,0.59375,11.3508373637864,0.820926380687087,5.46814404432133,8.44444444444444,0.673050771227677
0.33,10412,10098,10412,315,14.6,138.8,9,0.519770408163265,10.4059254128336,0.459916385172373,8.20534139581759,8.44444444444444,0.416110799469021
0.34,10728,10413,10728,316,22.3,255.2,11.7914668864249,0.482556229727923,9.05867005850659,0.391475116282215,11.2392471545382,8.53992320662894,0.337914003490396
0.35,11044,10729,11044,316,13.5,86.75,8,0.555664721337915,11.8499049897578,0.650009760688364,5.95752869688309,6.375,0.547648117111312
0.36,11359,11045,11359,315,11.8,71.5,8,0.526655393378426,10.7752679127413,0.596067937797743,5.32474567314044,6.42921514910672,0.507932407653306
0.37,11675,11360,11675,316,21.6,197.7,9.203125,0.414232828105882,8.61783174450534,0.310610778530169,8.72079529190419,7.56933149226255,0.259069000869897
0.38,11990,11676,11990,315,19.4,207.3,9.42937853107345,0.494340525029227,9.93935709383674,0.394040575904668,8.77555630170019,7.48795684566999,0.32646651310767
0.39,12306,11991,12306,316,12,70.7,7,0.534518189360532,13.1178716967561,0.693658174163601,5.05082796893601,5.98008659316259,0.585814730210079
0.4,12621,12307,12621,315,14.8,138.2,7.38429752066116,0.447668209327163,9.4813177079866,0.426616158673503,6.63441672965483,6.5243473858216,0.36489856358517
0.41,12937,12622,12937,316,18.7,161.9,8.80384499092925,0.443586665343917,9.56785033300731,0.431219272055376,7.98692402743811,7.57394229522126,0.365349430000284
0.42,13252,12938,13252,315,22.4,173.5,8.58108108108108,0.39794921875,9.41046825224102,0.312632341389005,8.25246354750841,7.8666372886322,0.256837658817145
0.43,13568,13253,13568,316,5.2,16.3,6,0.62132567983641,10.9689385858386,1.31247953297878,2.7414700255102,3.17343261867391,1.06160513536447
0.44,13883,13569,13883,315,12.4,69.7,6,0.468288094598226,10.1895476029902,0.57909438284549,5.15342814198173,6.17494856461004,0.496485915939595
0.45,14199,13884,14199,316,18.4,148.45,8.55681818181818,0.435149275699655,8.85414668420798,0.39740974724162,7.85587458560431,7.49015100698832,0.320192651619239
0.46,14514,14200,14514,315,26.6,291,12.0833333333333,0.381445025638383,9.35847132835993,0.301678211342726,11.2323407202216,8.27331017151035,0.269045302761411
0.47,14830,14515,14830,316,23.7,242.7,10.313244047619,0.375153819779539,9.74913652965205,0.314285443220836,9.90142946827168,8.44444444444444,0.280232887816072
0.48,15145,14831,15145,315,1,5,5,5,9.16773595995577,4.71013125758675,0,0,3.81330785743286
0.49,15461,15146,15461,316,9.5,60.5,5.76785714285714,0.557760549682712,10.8538723999385,0.909994036498443,4.72539167153891,5.7528599997094,0.734674260654776
0.5,15776,15462,15776,315,26.8,251.5,10.3382352941176,0.343105263615875,8.82100575600195,0.263410050295649,9.83944318468128,8.14912966823386,0.212806998862017
0.51,16092,15777,16092,316,27.7,269.65,10.5085019371502,0.345593282386858,9.39590440225341,0.259353501696231,9.38517919271315,8.56517602809196,0.227515002750934
0.52,16408,16093,16408,316,19.7,149.75,8.01965725806452,0.410667938972711,9.52055016143467,0.343489617282179,7.433959746678,7.19651740526857,0.300420841290041
0.53,16723,16409,16723,315,16.6,113.8,7.02049180327869,0.408428720083247,8.19635049466293,0.372153076307489,6.73276672937383,5.59270016650267,0.325071856046629
0.54,17039,16724,17039,316,24.9,198,8.15384615384615,0.342169407765301,9.41505154178957,0.277655908276041,7.77490372447625,8.07499258665543,0.243839317025112
0.55,17354,17040,17354,315,0.8,3.2,4,5,9,4.96605516655481,-0.999999999999999,-0.935553070318413,3.78803549323226
0.56,17670,17355,17670,316,5.4,25.75,4,0.873438527284681,7.20390411125911,1.25000001,3.12971791534631,2.73814731312644,0.431102364159579
0.57,17985,17671,17985,315,27,237.2,10.4210526315789,0.344961911357341,9.0854773303396,0.262249533025903,9.44444444444444,7.50440979530472,0.23961266172991
0.58,18301,17986,18301,316,4.6,13.4,3,0.846313105656145,7,2.0461954795203,1.88063396493263,2.91201289629727,1.73700786827024
0.59,18616,18302,18616,315,24.2,179.3,8.48148148148148,0.368995351239669,8.91152061509814,0.315515423103877,7.82614018977655,6.84135763550603,0.27962158127263
0.6,18932,18617,18932,316,13.9,87.15,6.72696659482759,0.458102115737935,8.85640098205072,0.491609234226879,6.19549025679644,6.16142596898507,0.430877380072183
0.61,19247,18933,19247,315,18.6,133.3,7.76027397260274,0.377066115702479,9.17255560187188,0.356003864482225,7.12236953604971,7.44397994753167,0.323251039451942
0.62,19563,19248,19563,316,21.1,136.45,7.38419341731004,0.366685254098866,8.77463666929321,0.31220952851234,6.6006241363733,6.95634904990809,0.257377683223815
0.63,19878,19564,19878,315,26.4,200,9.30165289256198,0.326633042111911,9.86902301805021,0.345802040278747,8.24509220701963,8.41222573819622,0.305580857628634
