"percentile","rank_index","lo_rank","hi_rank","n_bin","mu","variance","iod_emp","cv2_emp","iod_nb_gw","cv2_nb_gw","iod_nb_fit","cv2_nb_fit","iod_nb_final","cv2_nb_final","alpha_gene_wise","alpha_fitted","alpha_final","diff_emp","diff_nb_gw","diff_nb_fit","diff_nb_final"
0.2,6311,5996,6311,316,7.43807238373683,35.1995419912055,9.97143317983055,2.47709911697304,19.943076733479,4.23774457988572,19.2377681642108,4.75364750834234,19.9774179167367,4.86939071702382,1.98005829696803,2.30332094748275,2.27100566799581,6.53861087560445,13.054943959533,14.4647372200604,13.5571932358106
0.21,6626,6312,6626,315,9.73134533292313,41.8522692618376,10.0439629319615,1.86475505603416,19.4719215001423,2.96677182964594,19.5602139730495,3.7139828096004,19.7551929827765,3.45363891995946,1.39041547830307,1.79173865736816,1.60044047198684,6.85917391814652,13.1870980193427,15.8523355883765,13.8240478253056
0.22,6942,6627,6942,316,8.12552079396002,40.9666809096723,10.6104455399747,2.4490831735289,21.632779328527,3.65041966713811,19.2814551595319,4.56844807246068,20.7109922567086,4.52587057044781,1.7371693759148,2.11972798832762,2.16411000184145,6.76671455216876,13.6577811656467,14.71105123462,13.7466662055942
0.23,7257,6943,7257,315,8.42561090395892,37.5934275189861,10.0970914143353,2.15235670656701,19.9219502316619,3.42656083513348,19.4063388173069,4.11392066849013,19.684318870062,3.8305972204052,1.59117541194709,2.04887389029274,1.80908218953718,6.29325911827651,13.1500440365172,15.286309469133,13.2980118837872
0.24,7573,7258,7573,316,8.42063157655292,36.640204674141,9.46987686430592,2.22146897164544,19.3839752386842,3.71286925918354,19.3279188669791,4.39783906236259,19.2026337094949,4.01871726352672,1.77749281295495,2.05017069265478,2.0683019382968,6.27862472447462,12.7012982101731,14.9183725583936,12.9248004663699
0.25,7888,7574,7888,315,9.86875721105503,46.2646642584684,9.58378434516954,1.86264633297786,18.0756464063099,2.71085689203705,19.5164130846459,3.8191194645972,19.1158720013605,3.30773396831387,1.23917336639475,1.76863557412232,1.53665998799771,6.98737864457135,12.8607314272067,15.6810816102168,14.0174858380853
0.26,8204,7889,8204,316,6.97698300890878,30.3222596245566,10.2012646150435,2.70384194797732,22.0497622754254,4.43104178519312,19.1904796991995,5.01825476762403,20.855600788691,5.00070708715994,2.09001795064681,2.44700365667113,2.40140890742753,5.71903819793635,11.6313552188801,14.1670347518831,12.7296417284825
0.27,8519,8205,8519,315,7.97705368752464,30.1087126960954,9.17603555498613,1.95320182853875,18.9400086845538,2.86149212421994,19.2675568733883,4.60238035238955,19.0772833005018,3.91922779695626,1.27776953954194,2.15663323710174,1.71425064430514,5.50168126774401,10.9497650559383,14.6578075301055,12.5532211670074
0.28,8835,8520,8835,316,7.60159757022561,31.5736583596115,10.7902651250364,2.5143755825589,22.4105649376104,3.71684921956793,19.2746617766214,4.60898422257313,21.1322170409115,4.05564842352781,1.83683318211691,2.25661228193624,2.08049449359316,6.29551814778807,13.1787844585533,14.664922649903,13.575120065268
0.29,9150,8836,9150,315,9.02747338663838,35.8981311968226,8.82229568320546,1.97214323017977,17.4499736681368,3.002901850221,19.3947603817778,4.19025259121623,18.5864031148059,3.72460210778007,1.26055510170733,1.92110925116684,1.63697046499676,5.71649354576398,11.7793956201748,15.1936157080716,13.1373204513679
0.3,9466,9151,9466,316,10.7371468029044,48.2411379299579,9.76237115794929,1.60953526487966,17.175402139498,2.27910529872805,19.6854766700298,3.47347540353723,18.686608476903,2.86946674094775,0.984209543331731,1.63652596619905,1.47009152994808,7.18463399230897,12.4351188617399,16.1754854760296,13.981271332318
0.31,9781,9467,9781,315,5.23734749425746,22.7675286373457,9.89099898307787,3.28577996337039,22.5474326845651,5.88285257643761,18.93952847244,6.4998559654477,20.8821613764078,6.46120212541692,3.12730730414606,3.21547509921753,3.27845670918504,4.55238849411403,11.1644166785671,12.4454397360044,11.5023513093313
0.32,10097,9782,10097,316,9.92963676152273,44.3522397430573,9.16959206007798,1.68891693035994,17.6682437968119,2.56242789879744,19.5203585812127,3.81017083125697,18.6418786470644,3.33191185479435,1.05864023355676,1.75863955231652,1.53184793639897,7.00554605114738,12.4384953415432,15.6990521016169,13.8667179811162
0.33,10412,10098,10412,315,11.5048551833817,54.6828038968855,11.266352129666,1.50630881438163,19.541617815535,2.14146315252784,19.9256075809544,2.97448516009237,19.6795208980732,2.65466532684484,0.922724545776002,1.53596219243923,1.28501031907152,8.20854515529341,14.989042178453,16.9511224208621,15.2808385270399
0.34,10728,10413,10728,316,7.86164117194507,31.826282581299,9.05743878973471,2.10488378005999,17.5885013117008,3.12568113262511,19.2572746381302,4.72754301391447,18.3492411879111,4.09224913741957,1.35760818202647,2.18635881767709,1.99322858344457,5.84729314672563,11.8177891166203,14.5050951344816,12.4737832816417
0.35,11044,10729,11044,316,9.41872565417897,41.8408432535264,10.1486672099056,1.59222746990928,19.0020565683198,2.31446519990129,19.6226426234434,3.55087621389343,19.2778916260737,3.07186025493698,1.05977040408932,1.84682684428712,1.51249125049639,6.57483471690981,12.7053013148646,16.0808949312996,13.4738244516608
0.36,11359,11045,11359,315,12.5969879673677,64.5224692129271,10.4796211733868,1.45566041465991,18.7275088728589,1.89895868701792,19.9830045554685,2.91420099185039,19.3188518483893,2.50346924682646,0.80143929192411,1.41428516544816,1.1402052821557,7.92447959534887,13.2890279255195,17.0668637514602,15.1351946628436
0.37,11675,11360,11675,316,6.18299253140735,20.7001330007748,8.62903349132432,3.49500883363653,19.3588451223197,4.87651967369981,18.9999545904952,6.02483389878549,18.9905982246805,5.2011991822655,2.06342898715055,2.74436230340484,2.4699522395333,3.94040425145517,9.03513276234281,13.041268029467,10.6022559636335
0.38,11990,11676,11990,315,8.69019981292861,32.3816852657794,9.7417034465539,1.61683852874449,18.3280697738324,2.61022823145843,19.4103926260825,4.15737739960489,19.0839701929312,3.56725189705964,1.17510726862791,1.99052649270781,1.66654956337142,5.88730240658605,10.6916255044407,15.2529261158008,12.8559211756947
0.39,12306,11991,12306,316,11.8383856811934,49.9045924872576,9.89189833984254,1.33392683017257,19.1365383987245,1.76980217216401,19.8672713165975,3.07547293549518,19.6958904815904,2.50831701030281,0.840865187115607,1.49642177346527,1.1329806514167,7.25966591310809,13.1930056056395,16.7933064387902,13.8990371370828
0.4,12621,12307,12621,315,14.0701755609864,70.4284505204786,10.3637580821571,1.31808179590254,18.0413807534782,1.53200759967301,20.1099551769261,2.75976495221478,18.8493507877291,2.19194585849296,0.651883590977792,1.28007888545424,1.00181798060732,8.35344008320456,13.6935873097813,17.3344358805605,15.0866903574691
0.41,12937,12622,12937,316,14.3055828533968,66.1683173686161,9.87886609917255,1.18415977541028,18.5662886645286,1.47929787864414,20.1882038390209,2.66138013186806,19.1122300035437,2.0230230487743,0.667329548799343,1.26122167666985,0.966757429190535,8.28092635959338,13.1420235074742,17.5268237071528,14.7436119048555
0.42,13252,12938,13252,315,9.48230690818066,36.2026335501126,9.73286153865401,1.39447455342059,19.3332781111503,1.82830925856424,19.6963861185023,3.39927316222791,19.650843116311,2.7378783772178,0.963839871612367,1.83531597408704,1.46958283066171,6.94013756324246,11.6383832624201,16.3062568485435,13.6495666393125
0.43,13568,13253,13568,316,6.69957011306726,25.770046418211,8.08901284790835,2.26357930866043,17.175882845996,4.02652777699074,19.1246787676462,5.34221242238027,18.270991704117,4.92683956370677,1.79805859389868,2.54263641450007,2.26171523980733,4.61175479808162,9.34723011484298,13.7859840344698,11.6291319902727
0.44,13883,13569,13883,315,6.71640964769346,22.1073411862483,8.39689355221006,2.52197853714436,17.2323184317994,3.51899226060377,19.179424322348,5.14280743222429,18.2400838995292,4.57600076027113,1.83622007392429,2.53655467452262,2.4047284993375,4.77590333219774,9.76970136534674,14.0460657695306,11.4756617872017
0.45,14199,13884,14199,316,9.69781310131305,38.4688826287861,9.334982320728,1.69734190294221,18.8342919016089,2.13794782477146,19.6117950021099,3.55284885468439,19.4268915540582,3.0495518486993,1.01517976272399,1.79754479967028,1.51362940051956,6.6819545162542,11.8613284539252,16.0589461474255,13.3130065871415
0.46,14514,14200,14514,315,14.6786497169337,71.5729749371772,10.3306654113188,1.14374667257886,18.1192289213829,1.48476324343112,20.3927829797665,2.42811251702425,18.6932603348217,1.97003113173524,0.63459946879346,1.23250840581465,0.965394580139305,7.61692162099052,12.8998410939215,17.9703362287987,14.7717061711986
0.47,14830,14515,14830,316,7.53648236667266,25.4698518741923,8.61281466240283,2.20716289697427,17.0733580108997,2.73401430152144,19.2564817498376,4.66374820222726,18.1953140114413,3.47112647500235,1.22028390316538,2.27496178244104,1.81021325441223,4.98865787741654,9.04885434980826,14.5908533693384,11.2262411504832
0.48,15145,14831,15145,315,10.625393817007,48.1343079030141,9.75980944824647,1.30882688370593,17.412527426527,1.7380862131258,19.9194161341293,3.03357144512096,18.7154272821285,2.43886271636183,0.810226321777196,1.65212620118067,1.19871500027756,7.46017886962853,12.9335393906084,16.8519735565686,14.3665393165273
0.49,15461,15146,15461,316,7.26757551718737,28.7696312265672,8.87879098871139,1.74410324210564,17.4772600836874,2.61094013296926,19.4245464784295,4.0516808242838,18.6214507513862,3.31576753312613,1.44501260456922,2.35425779484131,2.03217840960175,5.97582834877803,9.67690401278362,15.3728656541457,11.9301605638635
0.5,15776,15462,15776,315,12.1723777771415,40.5011105000609,9.08196283654269,1.35066199103719,15.9954691948916,1.50846352954185,19.9622491962951,2.92696231891913,18.055126050716,2.17968324320917,0.625561917240391,1.45899770035366,0.994549938124725,6.77778699932372,11.1645758123799,17.0375906960502,13.0991760433009
0.51,16092,15777,16092,316,16.6610943155442,70.5530238440313,10.6870658587825,1.11031168113549,17.1109009222059,1.28892767360814,20.5456970408514,2.30017658488984,19.0962947806179,1.72208500570338,0.537868032100367,1.1016984320457,0.771661348772193,8.74577690596837,13.4188727845792,18.2667700926058,14.9492325196851
0.52,16408,16093,16408,316,16.5181482503642,69.7967216358512,10.3951444503013,0.972094184418212,16.8074541485489,1.04860940811708,20.6333641598879,2.22579725643074,18.6786759449029,1.61382691764868,0.481285654719773,1.11000992303513,0.746782701236046,7.77973555041744,12.1344284176731,18.4118068326104,14.4109706219426
0.53,16723,16409,16723,315,8.71392723914252,37.1525353689255,8.23772274832093,1.45270725325542,13.921345516123,1.83102263747617,19.7538380463602,3.30460180408385,17.0789478393202,2.67893804703934,0.902095315680018,1.98546722154964,1.42448476145083,5.85181086236576,8.85417045289524,16.4492362422763,11.8769969422855
0.54,17039,16724,17039,316,4.93449170241715,15.9248751222405,7.42824714813701,2.94688606030942,14.9443495656662,3.78922484816979,18.9675067379054,6.38775320218089,16.9060842324795,5.40461917165934,2.16543604351712,3.40486391228001,3.07549116819655,3.83835620956109,7.29637533869992,12.6158979338405,9.83961541876307
0.55,17354,17040,17354,315,22.5440447483603,105.097906019013,10.9608213395967,0.922956192126146,17.3909085246645,0.973663047528009,21.5395370489929,1.71908467819919,18.7605640528938,1.36122081584336,0.430043676704198,0.848727280932868,0.65083020488584,8.9861444883487,12.7337664962815,19.8504409265084,14.7625435134948
0.56,17670,17355,17670,316,9.28370660465844,41.4902251395101,8.78702415693239,1.33853937725975,16.9514469105699,2.00743785300652,20.0287824581588,2.973638512527,18.4305624953741,2.37757996753574,1.38212251142203,1.87191167847456,1.85462934381587,6.5273908508831,9.545057864044,16.9947755529886,12.0307611236845
