"feature_id","pc1_loading","pc1_loading_abs","rank","comparison_name","group_label","baseMean","dispGeneEst","dispFit"
"23534",3.661444654753,3.661444654753,15888,"RT4_ZT10","control",43.4461423338592,0.0276247689934991,0.246532095444211
"253210",-3.6613602832764,3.6613602832764,15889,"RT4_ZT10","control",4.5309070907961,0.89979374337212,1.54093682124618
"410350",3.66126909708438,3.66126909708438,15890,"RT4_ZT10","control",41.724670308703,0.165216856114856,0.252749979826715
"278096",-3.66126213111841,3.66126213111841,15891,"RT4_ZT10","control",2.67260086447543,1.61719559834214,2.54574885566274
"71594",-3.66099595842487,3.66099595842487,15892,"RT4_ZT10","control",3.44078467366435,3.53875596705609,1.99878282288135
"500578",-3.66096831002235,3.66096831002235,15893,"RT4_ZT10","control",5.99857341118202,1.13654475507561,1.18736226863877
"358481",-3.66092761533916,3.66092761533916,15894,"RT4_ZT10","control",4.87462361121636,1.23691874903915,1.43903992181968
"565552",-3.66090266503227,3.66090266503227,15895,"RT4_ZT10","control",4.02640158074587,3.53483503854782,1.72200847844312
"18916",3.66086564280506,3.66086564280506,15896,"RT4_ZT10","control",38.6570104200571,0.213669280077013,0.265202946814091
"525218",3.66039903493173,3.66039903493173,15897,"RT4_ZT10","control",35.8000287587279,0.0963142384016674,0.278720018592403
"167471",3.66022871040869,3.66022871040869,15898,"RT4_ZT10","control",34.0326430763203,0.127833016762989,0.288218169930733
"61295",-3.66011790816616,3.66011790816616,15899,"RT4_ZT10","control",5.31393734481974,0.62276319128086,1.32799362758025
"492904",-3.65982552368801,3.65982552368801,15900,"RT4_ZT10","control",4.18023920717695,0.473202223549935,1.66216302587767
"558689",-3.65982552368801,3.65982552368801,15901,"RT4_ZT10","control",15.5168814583593,1.45112707510085,0.517795111890003
"84024",-3.65982552368801,3.65982552368801,15902,"RT4_ZT10","control",5.32810086509913,0.498988751923764,1.32471819134897
"419658",3.65949397853363,3.65949397853363,15903,"RT4_ZT10","control",53.2453015802211,0.138635144153444,0.218796141291137
"155365",3.65940735523942,3.65940735523942,15904,"RT4_ZT10","control",48.9914905164477,0.185715020005,0.229473480985834
"372632",-3.65940262693501,3.65940262693501,15905,"RT4_ZT10","control",4.30308786679907,0.605357130118338,1.61744569418894
"267739",-3.65933269199742,3.65933269199742,15906,"RT4_ZT10","control",4.00933573067033,1.5541817717491,1.72893037685124
"282866",-3.65895248196157,3.65895248196157,15907,"RT4_ZT10","control",3.39577392730966,1.3498427757848,2.02400640466041
"342673",-3.65895248196157,3.65895248196157,15908,"RT4_ZT10","control",4.06531899655344,0.973771291332308,1.70644097091332
