"feature_id","pc1_loading","pc1_loading_abs","baseMean","dispGeneEst","dispFit","rank","split_class"
"382233",0.000192605961682514,0.000192605961682514,17.937088785725,0.115138816516969,0.434800909679836,11931,"background_loading"
"399276",-0.000192605406206351,0.000192605406206351,4.87120720900098,1.00982307158832,1.48002890497715,11932,"background_loading"
"132971",-0.000192595171904235,0.000192595171904235,3.69662182282383,9.00653287239876,1.9359648618483,11933,"background_loading"
"419873",-0.000192595171904235,0.000192595171904235,3.69662182282383,9.00653287239876,1.9359648618483,11934,"background_loading"
"521106",-0.000192595171904235,0.000192595171904235,3.69662182282383,9.00653287239876,1.9359648618483,11935,"background_loading"
"263782",-0.000192592329463507,0.000192592329463507,3.73056995766762,2.90916484773293,1.91875820156794,11936,"background_loading"
"85982",0.000192578742245207,0.000192578742245207,14.098963470861,1e-08,0.540882710717908,11937,"background_loading"
"295238",0.00019256144465495,0.00019256144465495,4.48160611763478,1.95140795217318,1.6047703452065,11938,"background_loading"
"565134",0.000192515275037321,0.000192515275037321,5.41594540542739,0.524911470447844,1.33570514849077,11939,"background_loading"
"568427",0.000192465840267145,0.000192465840267145,67.3810715775012,0.037943983970748,0.148854628570625,11940,"background_loading"
"513296",-0.000192462636942986,0.000192462636942986,15.2416071383608,0.0558687400493224,0.50371603265138,11941,"background_loading"
"556264",-0.000192461899978046,0.000192461899978046,61.9308890532874,0.0361469715850153,0.157983701912444,11942,"background_loading"
"516585",0.000192434733157522,0.000192434733157522,177.216672821165,0.00136689159177717,0.084561950404349,11943,"background_loading"
"521023",0.000192415148180165,0.000192415148180165,26.4995651889007,0.174883109692852,0.308888203203903,11944,"background_loading"
"94430",0.000192403258738274,0.000192403258738274,4.8433947214147,2.11148435497898,1.48826865893875,11945,"background_loading"
"512096",-0.000192394718033254,0.000192394718033254,6.02582307301428,1.23007749506817,1.20508416356948,11946,"background_loading"
"376398",0.000192373656061553,0.000192373656061553,7.05389237861602,0.172871360638608,1.03602525345528,11947,"background_loading"
"489876",-0.000192372034633772,0.000192372034633772,21.8738034336406,0.535871351419193,0.364668533993907,11948,"background_loading"
"230749",-0.000192359612377285,0.000192359612377285,8.57164160227149,0.208083824789293,0.86056931844505,11949,"background_loading"
"193446",0.000192254344175966,0.000192254344175966,24.4156001034411,0.0261190821509473,0.331401814558606,11950,"background_loading"
"360573",-0.000192200285789965,0.000192200285789965,10.5783316327055,0.160246866464642,0.705880120310713,11951,"background_loading"
"37391",0.000192185315985668,0.000192185315985668,23.9690560415159,1e-08,0.336735247781596,11952,"background_loading"
"252844",0.00019215530978888,0.00019215530978888,5.90728286737678,0.557633795167826,1.22836091721981,11953,"background_loading"
"82355",0.000192147092261624,0.000192147092261624,46.5725622159149,1e-08,0.195202927844196,11954,"background_loading"
"309669",0.000192114785489642,0.000192114785489642,4.49409523667886,0.603548670194059,1.60043606757353,11955,"background_loading"
"334513",0.000192102073581748,0.000192102073581748,24.7578940785405,0.444011585183873,0.32744378504242,11956,"background_loading"
"139315",0.000192098638186982,0.000192098638186982,6.88508478600111,2.64877846267317,1.0603201319638,11957,"background_loading"
"114640",-0.000192094045209581,0.000192094045209581,31.4390301429568,0.0263785887264456,0.267446948338404,11958,"background_loading"
"469198",0.000192083170031736,0.000192083170031736,4.36507232816372,1.9312893450179,1.64640813016344,11959,"background_loading"
"165762",0.000192068247735699,0.000192068247735699,15.0134875967177,0.189495036006357,0.510684078744603,11960,"background_loading"
"409349",-0.000192068029005772,0.000192068029005772,10.0860119771965,0.967690993865863,0.738133215227179,11961,"background_loading"
"58987",0.000192026399419643,0.000192026399419643,15.9896456614783,1e-08,0.482261688717733,11962,"background_loading"
"554759",0.000191983915285121,0.000191983915285121,25.4197340431396,0.244599737158925,0.320093077189961,11963,"background_loading"
"108578",-0.000191981056911848,0.000191981056911848,22.6021652911478,0.0610174327000484,0.354370988474004,11964,"background_loading"
"147982",-0.000191972847329786,0.000191972847329786,8.2512815364551,0.464162865574354,0.892229532139319,11965,"background_loading"
"120226",-0.000191962386352548,0.000191962386352548,5.86180013034672,1.31477610042142,1.23754188990335,11966,"background_loading"
"500995",0.00019195288269978,0.00019195288269978,3.65398423964796,1.99078724266502,1.95802873561255,11967,"background_loading"
"423103",0.000191920899105561,0.000191920899105561,13.110014403379,0.0929987507491815,0.578280372398756,11968,"background_loading"
"1579",-0.00019187633874905,0.00019187633874905,3.88839657445231,3.37887024449076,1.84270887303374,11969,"background_loading"
