"feature_id","pc1_loading","pc1_loading_abs","rank","comparison_name","group_label","baseMean","dispGeneEst","dispFit"
"154179",-2.02572940563361,2.02572940563361,23743,"RT4_ZT10","treatment",12.6691698374157,0.534436813727089,0.612643556672697
"207249",-2.02537814790239,2.02537814790239,23744,"RT4_ZT10","treatment",16.1410634843402,1.38683509561744,0.501477316704988
"34711",-2.02536175562047,2.02536175562047,23745,"RT4_ZT10","treatment",3.45851726086061,0.665689558740411,1.98902593153465
"191855",-2.02446161865439,2.02446161865439,23746,"RT4_ZT10","treatment",2.65454008317591,2.32454748444981,2.56241748728851
"434880",-2.02440502181675,2.02440502181675,23747,"RT4_ZT10","treatment",6.88326147654391,0.142346851439621,1.0470696795843
"88969",-2.02395850541696,2.02395850541696,23748,"RT4_ZT10","treatment",11.6317980990228,0.499246549667436,0.65873562594613
"248971",-2.02365034488701,2.02365034488701,23749,"RT4_ZT10","treatment",6.81824554027177,0.18612680622839,1.05614035702894
"530221",2.02352389625697,2.02352389625697,23750,"RT4_ZT10","treatment",19.3592181861141,0.0891372368197697,0.434044117454812
"533096",-2.02347517333656,2.02347517333656,23751,"RT4_ZT10","treatment",6.91880520329219,0.229939492388757,1.04218288146822
"367522",-2.02339564122228,2.02339564122228,23752,"RT4_ZT10","treatment",9.99249518860597,0.344156274194162,0.751083141084347
"256639",-2.02312896323531,2.02312896323531,23753,"RT4_ZT10","treatment",9.76058726642964,0.778452090550196,0.766651846293799
"57629",2.02309480697092,2.02309480697092,23754,"RT4_ZT10","treatment",18.3598948948228,0.117386398444298,0.452453313032635
"289278",-2.02297344573504,2.02297344573504,23755,"RT4_ZT10","treatment",6.36937220339004,2.13609079441603,1.1238173962863
"243820",2.02197227456626,2.02197227456626,23756,"RT4_ZT10","treatment",24.0655502488817,0.154394104684373,0.367900832070739
"438715",-2.02195958335589,2.02195958335589,23757,"RT4_ZT10","treatment",9.85085770844864,0.425253197825266,0.760504574977225
"394041",2.02178580423885,2.02178580423885,23758,"RT4_ZT10","treatment",24.3926733915346,0.117445331118273,0.364252092386838
"319548",-2.02106739053167,2.02106739053167,23759,"RT4_ZT10","treatment",4.77412611455782,0.787966674860001,1.46731521234942
"562089",-2.02077533201086,2.02077533201086,23760,"RT4_ZT10","treatment",6.10087206839865,0.320349137833943,1.169059497722
"100725",2.02070099673579,2.02070099673579,23761,"RT4_ZT10","treatment",17.8053620183706,0.0441289692207879,0.463560219317866
"433374",-2.02046656664116,2.02046656664116,23762,"RT4_ZT10","treatment",7.93876623126071,0.272663177945369,0.920596126388582
"554449",2.02041664248855,2.02041664248855,23763,"RT4_ZT10","treatment",19.8819846409384,0.226619579295203,0.425151144522627
"289887",2.02038233771234,2.02038233771234,23764,"RT4_ZT10","treatment",16.113100943943,0.268387594806836,0.502181283473405
"11946",-2.02029068618907,2.02029068618907,23765,"RT4_ZT10","treatment",12.5653217674014,0.991687525991955,0.616914890001258
"544675",-2.02013533536377,2.02013533536377,23766,"RT4_ZT10","treatment",7.87580956079817,0.231649303357618,0.927189084843082
"149232",-2.02002227285237,2.02002227285237,23767,"RT4_ZT10","treatment",16.6341810291089,0.553991901619963,0.489451801475479
"423786",2.01986600901396,2.01986600901396,23768,"RT4_ZT10","treatment",18.1785959559925,0.0548515550857609,0.456010048303375
"322410",-2.01980506841027,2.01980506841027,23769,"RT4_ZT10","treatment",5.18598731005302,2.32958473900908,1.35839403025822
"288856",-2.01934654626764,2.01934654626764,23770,"RT4_ZT10","treatment",9.49087856651183,1.15089583718508,0.78571520401131
"153075",-2.01798242355315,2.01798242355315,23771,"RT4_ZT10","treatment",5.17704850836827,1.21908241765975,1.36057400983711
"108031",2.01712725959611,2.01712725959611,23772,"RT4_ZT10","treatment",14.8394448991069,0.232758545446895,0.537058529502943
"523934",-2.01682234667256,2.01682234667256,23773,"RT4_ZT10","treatment",2.9890743439517,1.1626052970146,2.28635880876642
"398350",2.01652345499198,2.01652345499198,23774,"RT4_ZT10","treatment",28.8800737224606,0.444549357662179,0.322543654494279
"526075",2.0160078868369,2.0160078868369,23775,"RT4_ZT10","treatment",18.6531144247424,0.0430397762418427,0.446847247691573
"73522",-2.01567558490248,2.01567558490248,23776,"RT4_ZT10","treatment",10.8952110660155,0.334567151074351,0.696792084656109
"170747",-2.01562373735354,2.01562373735354,23777,"RT4_ZT10","treatment",5.76442968833789,2.01821944955623,1.23169913573895
"276727",2.01535179838624,2.01535179838624,23778,"RT4_ZT10","treatment",14.9499571321123,0.490476798709654,0.533796862961321
"145570",2.01518582761879,2.01518582761879,23779,"RT4_ZT10","treatment",14.4248446113587,0.174310620575259,0.549740525369859
"305307",-2.01473993664231,2.01473993664231,23780,"RT4_ZT10","treatment",6.1960531893277,0.250969955316327,1.15257291800613
"336373",2.01449402052341,2.01449402052341,23781,"RT4_ZT10","treatment",27.421003184036,0.318873915408651,0.334607380330374
"574133",-2.0141287335269,2.0141287335269,23782,"RT4_ZT10","treatment",8.89277987957082,1.02999452722602,0.83211496002981
"184766",-2.01368495348715,2.01368495348715,23783,"RT4_ZT10","treatment",7.56791716805427,0.20018348098484,0.961012245591554
"221596",2.0134599215076,2.0134599215076,23784,"RT4_ZT10","treatment",17.3683110333664,0.0887043643387511,0.472813814883939
"89546",2.01281422627658,2.01281422627658,23785,"RT4_ZT10","treatment",19.0296211200967,1e-08,0.43990215550368
"414094",2.01161816597133,2.01161816597133,23786,"RT4_ZT10","treatment",20.27322699675,0.204496665551664,0.418795639659624
"412862",-2.0115915475414,2.0115915475414,23787,"RT4_ZT10","treatment",6.78089075303127,0.148455169887335,1.06143057650142
"160312",2.01149925670974,2.01149925670974,23788,"RT4_ZT10","treatment",23.7362972248126,0.585875543254149,0.371674883482578
"490957",-2.01114791463213,2.01114791463213,23789,"RT4_ZT10","treatment",5.38995765529191,2.44757828714803,1.31061503253645
"412522",-2.01108184730029,2.01108184730029,23790,"RT4_ZT10","treatment",8.29981094071775,0.543185325491168,0.884718262398097
"345802",-2.01066937446194,2.01066937446194,23791,"RT4_ZT10","treatment",6.78780476294817,1.69963226016427,1.06044701682467
"38083",-2.01048339126109,2.01048339126109,23792,"RT4_ZT10","treatment",7.24575774640838,0.941381111552705,0.999480055768723
"351649",-2.01035716292995,2.01035716292995,23793,"RT4_ZT10","treatment",14.7517698505338,1.52533773655166,0.539680942198206
"200801",2.01035510374583,2.01035510374583,23794,"RT4_ZT10","treatment",20.9540365458202,0.171448358661237,0.408302103447319
"166597",2.01028396331619,2.01028396331619,23795,"RT4_ZT10","treatment",16.4528018192339,0.0449087023482588,0.49379123482998
"72450",-2.00988146534126,2.00988146534126,23796,"RT4_ZT10","treatment",5.88421200249131,1.18406644592496,1.20857663251646
"472507",-2.00983738405036,2.00983738405036,23797,"RT4_ZT10","treatment",6.75300167986955,1.12487437912173,1.06541841244527
"532251",2.00887860918758,2.00887860918758,23798,"RT4_ZT10","treatment",17.971742117926,0.210968808357122,0.460155767432754
"347926",2.00881920745554,2.00881920745554,23799,"RT4_ZT10","treatment",21.0444821472651,0.230404217556647,0.40695912724208
"407895",-2.00872900748287,2.00872900748287,23800,"RT4_ZT10","treatment",7.16279488349498,0.32148448927058,1.00994662169018
"241120",2.00870051504913,2.00870051504913,23801,"RT4_ZT10","treatment",27.8647209440693,0.226524175407744,0.330804999762556
"249058",-2.00868892425516,2.00868892425516,23802,"RT4_ZT10","treatment",4.47000486553089,0.143224660142752,1.56062596436622
"378119",2.00854190979339,2.00854190979339,23803,"RT4_ZT10","treatment",26.8915041195075,0.0988930286104718,0.339309065781706
"260048",-2.00846277784195,2.00846277784195,23804,"RT4_ZT10","treatment",2.98101890350706,1.13503828058607,2.29227816737624
"306109",2.00811747849259,2.00811747849259,23805,"RT4_ZT10","treatment",26.4362207233835,0.193308741159207,0.343502348611848
"222018",-2.00807896833647,2.00807896833647,23806,"RT4_ZT10","treatment",6.020288890966,1.27119585281352,1.18342503736343
"56183",-2.00796870411428,2.00796870411428,23807,"RT4_ZT10","treatment",8.38490461534222,1.57879595133094,0.876712222332545
"342464",2.00782607484671,2.00782607484671,23808,"RT4_ZT10","treatment",22.4044424175919,0.0415654708621613,0.388073098556554
"394975",-2.00773706031762,2.00773706031762,23809,"RT4_ZT10","treatment",7.99997545258533,0.577590691377896,0.914285652213851
"547665",-2.00771452365579,2.00771452365579,23810,"RT4_ZT10","treatment",6.68321093826642,1.10610063044662,1.07554358874546
"376389",2.00767762363845,2.00767762363845,23811,"RT4_ZT10","treatment",23.6407921304849,0.0480314765166091,0.372789276415172
"567130",2.00765472504923,2.00765472504923,23812,"RT4_ZT10","treatment",21.6342067198822,0.734384904004292,0.39847793684332
"55730",-2.00696810729545,2.00696810729545,23813,"RT4_ZT10","treatment",12.0632610392739,0.948986287064987,0.638602151633922
"496446",-2.00682331345539,2.00682331345539,23814,"RT4_ZT10","treatment",9.11146569041234,1.41433302131301,0.81444312592847
"339805",2.0066052262169,2.0066052262169,23815,"RT4_ZT10","treatment",13.0494680524933,1.73711766601298,0.597581990728488
"462029",2.00620825907996,2.00620825907996,23816,"RT4_ZT10","treatment",33.9405636625377,0.381500828011043,0.288740126807028
"449739",-2.00608581835921,2.00608581835921,23817,"RT4_ZT10","treatment",7.03648521789964,0.582302116108476,1.02635573440353
"37730",-2.00597305323398,2.00597305323398,23818,"RT4_ZT10","treatment",11.0862418197302,0.412462123144607,0.686436607833799
"521683",2.00577086025472,2.00577086025472,23819,"RT4_ZT10","treatment",32.8026643733862,0.286678589580117,0.295432227429226
"376252",-2.0056294620758,2.0056294620758,23820,"RT4_ZT10","treatment",6.12577401151758,0.186353046812053,1.16469667913466
"506888",2.00559076099865,2.00559076099865,23821,"RT4_ZT10","treatment",15.160003581602,0.0843219261699165,0.52772862083873
"485900",2.00553003537041,2.00553003537041,23822,"RT4_ZT10","treatment",22.713392352634,1.15856900828498,0.384097900491097
"7638",-2.00538918634471,2.00538918634471,23823,"RT4_ZT10","treatment",3.40119992504184,1.60131768495751,2.02093033982683
"26310",2.00531755974337,2.00531755974337,23824,"RT4_ZT10","treatment",20.2734183857392,0.0409003479751794,0.41879259068444
"18017",-2.00530959775777,2.00530959775777,23825,"RT4_ZT10","treatment",10.2721710229295,0.32607764706661,0.733242701122371
"46066",-2.00489080350459,2.00489080350459,23826,"RT4_ZT10","treatment",7.63964997292867,0.482269899564261,0.952888528529584
"65183",-2.00480938255496,2.00480938255496,23827,"RT4_ZT10","treatment",7.00870997850279,2.73274353819079,1.03004339335623
"365809",2.00475623983764,2.00475623983764,23828,"RT4_ZT10","treatment",18.6243431532943,0.0726004862444187,0.447389515149093
"148892",2.004733210738,2.004733210738,23829,"RT4_ZT10","treatment",18.5442771493539,0.0629710491623408,0.448907418384098
"9570",2.00439605196524,2.00439605196524,23830,"RT4_ZT10","treatment",12.8409077201578,1.69724046526605,0.60573147233576
"212965",-2.0042239243892,2.0042239243892,23831,"RT4_ZT10","treatment",4.08305428943327,0.332488348482121,1.69944504199642
"163464",-2.003986346025,2.003986346025,23832,"RT4_ZT10","treatment",6.41323542437422,1.17423656404715,1.11678645427612
"255762",2.00387772632481,2.00387772632481,23833,"RT4_ZT10","treatment",24.9015012470975,0.216532845122681,0.35876714135608
"409708",-2.00370021229569,2.00370021229569,23834,"RT4_ZT10","treatment",3.65003265289584,1.62563043782525,1.88969058895761
"415648",-2.0027090833287,2.0027090833287,23835,"RT4_ZT10","treatment",4.36381838333471,3.39852558987871,1.59626954926879
"389460",2.0023476605172,2.0023476605172,23836,"RT4_ZT10","treatment",16.4296542163372,0.438694716637826,0.494351927063911
"472435",-2.00212508200198,2.00212508200198,23837,"RT4_ZT10","treatment",6.756909308084,1.13151386045413,1.0648576807615
"115373",-2.00197922816111,2.00197922816111,23838,"RT4_ZT10","treatment",3.52837106333198,1.37344075995186,1.95154480291445
"532128",-2.00136386456313,2.00136386456313,23839,"RT4_ZT10","treatment",3.67287486673089,0.716548845831702,1.87853423928159
"252640",-2.00126527064735,2.00126527064735,23840,"RT4_ZT10","treatment",7.66443030091066,2.68958258508515,0.95011750306146
"207182",-2.00044892648215,2.00044892648215,23841,"RT4_ZT10","treatment",5.59932588067611,2.08490023751164,1.26519196271989
"210972",-2.0002322395385,2.0002322395385,23842,"RT4_ZT10","treatment",5.19030616370902,0.378252112314321,1.35734344604837
"255215",2.0001295317632,2.0001295317632,23843,"RT4_ZT10","treatment",19.1216478126679,0.150974073627734,0.438246213339491
"508984",-1.99978183080517,1.99978183080517,23844,"RT4_ZT10","treatment",7.78305012569671,0.344530062984528,0.937097401294791
"214075",1.99967552400979,1.99967552400979,23845,"RT4_ZT10","treatment",26.2266442674076,0.188310086126647,0.345481537319015
"367031",1.99957391368696,1.99957391368696,23846,"RT4_ZT10","treatment",17.1564036288571,0.189367069622417,0.477470202187407
"382520",1.99943013272782,1.99943013272782,23847,"RT4_ZT10","treatment",15.3672630517105,0.991337967473521,0.521903494335189
"318898",1.99933168658003,1.99933168658003,23848,"RT4_ZT10","treatment",18.9805884624873,0.157133125496197,0.44079101358587
"205087",-1.9993032464512,1.9993032464512,23849,"RT4_ZT10","treatment",5.25450051666283,2.31883821005459,1.34193143835026
"536588",1.99924929578246,1.99924929578246,23850,"RT4_ZT10","treatment",13.9794012659364,0.234072482976257,0.564204230785633
"85340",1.99886218789753,1.99886218789753,23851,"RT4_ZT10","treatment",21.8361257432805,0.281145505608196,0.395679293972583
"252956",1.99853735849404,1.99853735849404,23852,"RT4_ZT10","treatment",15.2071333061071,0.16603745264377,0.526390069442498
"339394",1.99787926238898,1.99787926238898,23853,"RT4_ZT10","treatment",32.6251177235576,0.330454717583449,0.296518498168686
"410720",1.99681570389265,1.99681570389265,23854,"RT4_ZT10","treatment",20.4280541662004,0.310093511449806,0.416347793628118
"545498",1.99652599325726,1.99652599325726,23855,"RT4_ZT10","treatment",19.19059501249,0.551824841114642,0.437015973790116
"299526",-1.99583816354409,1.99583816354409,23856,"RT4_ZT10","treatment",9.20215515716123,2.11710267557866,0.807360963880615
"485222",-1.99569038981351,1.99569038981351,23857,"RT4_ZT10","treatment",12.2980021111195,3.81607604143505,0.628241749766555
"430114",-1.99566786588224,1.99566786588224,23858,"RT4_ZT10","treatment",11.4772734505963,1.15296125027441,0.666314400479496
"276719",-1.9949125282777,1.9949125282777,23859,"RT4_ZT10","treatment",4.70630871646227,1.98851561168984,1.48707824697376
"248096",-1.99424581320861,1.99424581320861,23860,"RT4_ZT10","treatment",5.29412539819777,0.22231429432983,1.3326047144386
"33575",-1.9940248011213,1.9940248011213,23861,"RT4_ZT10","treatment",6.99728871981589,0.443358929586979,1.03156826360891
"238479",1.99324452802455,1.99324452802455,23862,"RT4_ZT10","treatment",20.1372515532018,0.114020611214858,0.420976481711989
"261293",-1.99262482135574,1.99262482135574,23863,"RT4_ZT10","treatment",7.19122148905576,0.599347675368044,1.0063331335748
"384469",-1.99241393470208,1.99241393470208,23864,"RT4_ZT10","treatment",10.5140511176503,1.00534038414629,0.718578628201085
"496514",1.99237897795039,1.99237897795039,23865,"RT4_ZT10","treatment",24.0149869014233,0.366933999530549,0.368473686763235
"575610",-1.99226497336576,1.99226497336576,23866,"RT4_ZT10","treatment",3.16611940059064,1.43240246879479,2.16386712443994
"48125",1.9921106779904,1.9921106779904,23867,"RT4_ZT10","treatment",13.9800225926207,0.461023521056635,0.56418341415824
"459880",1.99183380417216,1.99183380417216,23868,"RT4_ZT10","treatment",23.0926130947432,0.336163860742403,0.379363948941822
"500995",-1.99102945987717,1.99102945987717,23869,"RT4_ZT10","treatment",4.14763144694263,0.249844399116601,1.67447723382887
"368821",-1.9908475156302,1.9908475156302,23870,"RT4_ZT10","treatment",10.0802396947475,0.746886025145735,0.745379372010037
