"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","nb1_ctrl","nb1_trt","nb2_ctrl","nb2_trt","alpha_mu_ctrl","alpha_mu_trt","gene_symbol"
"2081",0.000553796328792854,0.00246621727938508,2713,11058,2.6,3.8,6.3,6.2,2.6,3.8,3.7,2.4,1.42307692307692,0.631578947368421,"Pde7b"
"2104",0.0112958786627319,0.00137153408851572,30360,7126,7.2,5,84.2,17.5,7.2,5,77,12.5,10.6944444444444,2.5,"LOC120098802"
"2155",0.00186125495112944,0.000198564134787051,7413,2129,5.4,5.4,15.3,2.3,5.4,5.4,9.9,0,1.83333333333333,-0.574074074074074,"Ptprk"
"2159",0.00622955778960951,0.00194734461228928,23598,9042,15,9.4,67.5,44.3,15,9.4,52.5,34.9,3.5,3.71276595744681,"Ptprk"
"2181",0.00340570944968713,0.00280832181855921,14089,12329,1.6,0.8,5.3,3.2,1.6,0.8,3.7,2.4,2.3125,3,"Ptprk"
"2244",0.00439059745680674,0.00310771657757503,18432,13677,2.6,1.2,6.8,2.7,2.6,1.2,4.2,1.5,1.61538461538461,1.25,"-"
"2383",0.00311547328949842,0.00565721107902481,12793,21423,294.4,247.2,12733.3,22144.7,294.4,247.2,12438.9,21897.5,42.2516983695652,88.5821197411003,"Epb41l2"
"2456",0.00148833448554878,0.000618980578740949,5883,4578,29.2,38,87.7,91.5,29.2,38,58.5,53.5,2.00342465753425,1.40789473684211,"Med23"
"2485",0.00318329263789213,0.00552153219878997,13104,21067,25,26.2,93.5,138.7,25,26.2,68.5,112.5,2.74,4.29389312977099,"Ccn2"
"2500",0.00592605014051493,0.00970585470773813,22588,29083,8.8,12,40.2,108.5,8.8,12,31.4,96.5,3.56818181818182,8.04166666666667,"Moxd1"
"2513",0.0015706894065073,0.00330423190067421,6234,14426,79.8,74.6,579.2,1189.3,79.8,74.6,499.4,1114.7,6.25814536340852,14.9423592493298,"Stx7"
"2515",0.00255006652452281,0.000251831705271691,10360,2292,1.2,3.6,2.7,36.8,1.2,3.6,1.5,33.2,1.25,9.22222222222222,"Stx7"
"2554",0.00268637193646338,0.00649044921061037,11032,23656,5,1.4,15.5,3.8,5,1.4,10.5,2.4,2.1,1.71428571428571,"-"
"2555",0.000657245923675425,0.00178382490384695,2994,8421,16.4,15.6,59.8,32.3,16.4,15.6,43.4,16.7,2.64634146341463,1.07051282051282,"Slc18b1"
"2563",0.00149243515298463,0.000399276141119725,5894,2784,1,0.6,5,1.8,1,0.6,4,1.2,4,2,"LOC100910237"
"2569",0.00227726706321317,0.000354940782767903,9190,2634,8.8,9,25.7,10,8.8,9,16.9,1,1.92045454545455,0.111111111111111,"-"
"2587",0.00174431451455848,0.000293969155711608,6937,2439,7.2,5.6,9.2,6.3,7.2,5.6,2,0.7,0.277777777777778,0.125,"-"
"2591",0.00336211432651072,0.00456147613601194,13836,18763,8.4,12.4,47.3,312.8,8.4,12.4,38.9,300.4,4.63095238095238,24.2258064516129,"LOC120098884"
"2598",0.00339829478183398,0.00681554517588827,14028,24328,1.4,2.2,3.8,4.2,1.4,2.2,2.4,2,1.71428571428571,0.909090909090909,"Tbpl1"
"2605",0.00205820342063771,0.00703947562112911,8205,24973,9.6,12.6,6.3,104.8,9.6,12.6,0,92.2,-0.34375,7.31746031746032,"Slc2a12"
"2625",0.00114808468275481,0.00381059242282382,4367,16403,35.6,34.4,24.3,277.3,35.6,34.4,0,242.9,-0.317415730337079,7.06104651162791,"Sgk1"
"2665",0.0029752837573483,0.00655341596755931,12229,23815,2.6,2,5.8,9.5,2.6,2,3.2,7.5,1.23076923076923,3.75,"Sgk1"
"2674",0.00389245075285658,0.00648949294561443,16454,23610,2.8,1.4,2.7,3.8,2.8,1.4,0,2.4,-0.0357142857142856,1.71428571428571,"-"
"2704",0.00677352711350069,0.00876395163709834,24501,27897,7.8,5.6,22.7,17.3,7.8,5.6,14.9,11.7,1.91025641025641,2.08928571428571,"Trdn"
"2816",0.00414537957532728,0.00404249908273721,17479,17148,42.6,31,429.3,304,42.6,31,386.7,273,9.07746478873239,8.80645161290323,"Hddc2"
"2817",0.00441441334764899,0.00637653096153988,18515,23260,3.2,2.4,11.7,6.3,3.2,2.4,8.5,3.9,2.65625,1.625,"Hddc2"
"2845",0.013103043119336,0.000638544786212057,31158,4692,4,1.2,80,7.2,4,1.2,76,6,19,5,"-"
"2900",0.00281056486085489,0.00385503370297763,11572,16560,70,54.4,402.5,538.3,70,54.4,332.5,483.9,4.75,8.89522058823529,"Echdc1"
"2935",0.00434904214683734,8.63676056387e-06,18281,1261,3.8,1.4,7.7,3.8,3.8,1.4,3.9,2.4,1.02631578947368,1.71428571428571,"Kiaa0408L"
"2937",0.0076984043569751,0.00989152813965437,26243,29231,2,2.6,9.5,18.8,2,2.6,7.5,16.2,3.75,6.23076923076923,"Kiaa0408L"
"2944",0.00316897698495079,0.000816035060278765,13039,5482,23.2,34.4,71.7,175.3,23.2,34.4,48.5,140.9,2.09051724137931,4.09593023255814,"Kiaa0408L"
"2954",0.00801073677062037,0.0140328085871866,26846,31368,9.2,6.8,53.2,100.7,9.2,6.8,44,93.9,4.78260869565217,13.8088235294118,"Kiaa0408L"
"3037",0.00319890576194574,0.0026343616781188,13166,11668,898.6,957.4,82806.8,232448.3,898.6,957.4,81908.2,231490.9,91.1509014021812,241.791205347817,"Rpl26-ps2"
"3038",0.0142620283873162,0.00406657910992003,31435,17201,22.2,15.4,573.2,203.8,22.2,15.4,551,188.4,24.8198198198198,12.2337662337662,"Rpl26-ps2"
"3039",0.00339597895148506,0.00916152918187486,13998,28475,48.6,61,399.3,2706.5,48.6,61,350.7,2645.5,7.21604938271605,43.3688524590164,"Lrrc14b"
"3046",0.00314755732098132,0.00183046560303394,12951,8585,16,11.4,91.5,13.3,16,11.4,75.5,1.9,4.71875,0.166666666666667,"Ccdc127"
"3048",0.00275558064985011,0.000396335964064797,11322,2766,19,17.8,26,27.2,19,17.8,7,9.4,0.368421052631579,0.528089887640449,"Ccdc127"
"3082",0.00112831247868425,0.00265189849955633,4295,11736,1375.6,1395.4,34410.8,209274.3,1375.6,1395.4,33035.2,207878.9,24.0151206746147,148.974415938082,"Tppp"
"3091",0.00158448174426212,0.0108961054551973,6286,30103,29.8,12.4,749.7,284.3,29.8,12.4,719.9,271.9,24.1577181208054,21.9274193548387,"Tppp"
"3130",0.000751781016469434,0.0037498499895136,3236,16205,31.6,37.8,70.8,274.7,31.6,37.8,39.2,236.9,1.24050632911392,6.26719576719577,"Brd9"
"3136",0.012439608033549,0.000376532449770973,30921,2699,3.4,3.2,57.8,10.7,3.4,3.2,54.4,7.5,16,2.34375,"Brd9"
"3144",0.00359216219764333,0.00599987595415103,15054,22533,17.6,25.4,224.8,308.3,17.6,25.4,207.2,282.9,11.7727272727273,11.1377952755906,"Brd9"
"3158",0.0120035722947057,0.00552667332713402,30753,21088,5.8,1.2,36.2,2.7,5.8,1.2,30.4,1.5,5.24137931034483,1.25,"Tert"
"3165",0.00508262511318283,0.00106349525145856,20649,6236,166.2,124.8,7102.2,6802.7,166.2,124.8,6936,6677.9,41.7328519855596,53.5088141025641,"Clptm1l"
"3174",0.00113558837354509,0.00584735753567424,4321,21794,7.4,6.4,38.3,30.3,7.4,6.4,30.9,23.9,4.17567567567568,3.734375,"Slc6a3"
"3179",0.00198383910100415,0.00102307465873206,7904,6110,19,24.2,41,22.7,19,24.2,22,0,1.15789473684211,-0.0619834710743802,"Lpcat1"
"3192",0.0050385352148249,0.0113197383333755,20520,30395,214.4,180,15508.3,42248,214.4,180,15293.9,42068,71.3334888059701,233.711111111111,"LOC120098984"
"3195",0.00404812493728363,0.00632835793300805,17071,23163,988.2,1083.4,152175.2,950774.8,988.2,1083.4,151187,949691.4,152.99230924914,876.584271737124,"Mrpl36"
"3197",0.00745989347240109,0.00681233143120956,25909,24327,20.6,13.4,269.3,134.8,20.6,13.4,248.7,121.4,12.0728155339806,9.05970149253731,"Mrpl36"
"3258",0.00894951925699837,0.000463545244842051,28109,3451,1.4,0.8,9.8,3.2,1.4,0.8,8.4,2.4,6,3,"-"
"3279",0.0104774902423436,0,29773,5,3.2,0,21.2,0,3.2,0,18,0,5.625,NA,"-"
"3295",0.000925836977228455,0.00204004097916799,3758,9399,154.6,153.4,1549.3,1743.8,154.6,153.4,1394.7,1590.4,9.02134540750323,10.367666232073,"Med10"
"3299",0.00669814558626492,0.00294539253963111,24379,13030,5.4,3.2,17.3,9.2,5.4,3.2,11.9,6,2.2037037037037,1.875,"-"
"3305",0.00365240112264664,0.00187853932380191,15345,8742,152.8,124.6,3298.7,2145.3,152.8,124.6,3145.9,2020.7,20.5883507853403,16.2174959871589,"Nsun2"
"3317",0.00692671339952,0.00829000999070102,24709,27151,0.8,2.8,3.2,14.7,0.8,2.8,2.4,11.9,3,4.25,"-"
"3330",0.00029229247337686,0.000677206608801512,2061,4881,5.4,6.2,1.3,14.2,5.4,6.2,0,8,-0.759259259259259,1.29032258064516,"LOC680107"
"3331",0.00492361065429228,0.0101712171196626,20189,29534,10.8,3.6,55.7,24.8,10.8,3.6,44.9,21.2,4.15740740740741,5.88888888888889,"LOC680107"
"3339",0.00259132188325336,0.000400933717527075,10599,3044,48.4,29.8,205.3,53.2,48.4,29.8,156.9,23.4,3.24173553719008,0.785234899328859,"LOC680123"
"3346",0,0.0145292053803206,4,31464,0,5.6,0,156.8,0,5.6,0,151.2,NA,27,"Adcy2"
"3354",0.00603015719341413,0.00155788461172916,23088,7725,342.2,278.8,66509.7,105466.2,342.2,278.8,66167.5,105187.4,193.359146697838,377.286226685796,"Adcy2"
"3357",0.00483136992891529,0.00423606496239628,19903,17829,11.6,7.2,30.8,36.2,11.6,7.2,19.2,29,1.6551724137931,4.02777777777778,"RGD1308544"
"3369",0.00147822647238222,0.00229705912979906,5850,10238,32.8,32.4,37.7,129.8,32.8,32.4,4.90000000000001,97.4,0.149390243902439,3.00617283950617,"Fastkd3"
"3407",0.00231938017154083,0.00653134623979747,9348,23756,166.6,146.2,1915.3,17960.7,166.6,146.2,1748.7,17814.5,10.4963985594238,121.850205198358,"RGD1566325"
"3426",0.00316751429885098,0.00638085795253192,13024,23273,2.2,1.2,9.2,2.7,2.2,1.2,7,1.5,3.18181818181818,1.25,"LOC682870"
"3428",0.0075194200695872,0.00996335165688226,25983,29382,7.2,7,52.7,31.5,7.2,7,45.5,24.5,6.31944444444444,3.5,"LOC102547287"
"3429",0.00971539716646915,0.00531212558918914,29065,20550,2,1.6,8,5.3,2,1.6,6,3.7,3,2.3125,"LOC102547287"
"3447",0.00906165822787495,0.00772537526364348,28345,26194,2,3.8,9.5,13.2,2,3.8,7.5,9.4,3.75,2.47368421052632,"Zfp748"
"3452",0.00024175893026313,0.00142135371080497,1952,7282,3.6,3.8,6.3,5.7,3.6,3.8,2.7,1.9,0.75,0.5,"LOC102551340"
"3458",0,0.000399276141119725,5,2785,0,0.6,0,1.8,0,0.6,0,1.2,NA,2,"LOC501406"
"3460",0.00162390273380805,0.00654203673142851,6465,23774,10,1.8,7.5,7.2,10,1.8,0,5.4,-0.25,3,"LOC120093155"
"3524",0.000223673799562771,0.00189550629534547,1903,8812,13.4,13.8,3.3,15.2,13.4,13.8,0,1.4,-0.753731343283582,0.101449275362319,"-"
"3646",0.0019826866927449,0.00408811448300246,7899,17332,12,20.8,14.5,107.2,12,20.8,2.5,86.4,0.208333333333333,4.15384615384615,"Zbtb2"
"3656",0.00040295629201219,0.00328230918514304,2331,14354,20,14.8,467.5,723.2,20,14.8,447.5,708.4,22.375,47.8648648648649,"Zbtb2"
"3661",0.0043358822020813,0.000326946199363713,18239,2548,26.6,19,121.3,81.5,26.6,19,94.7,62.5,3.56015037593985,3.28947368421053,"Rmnd1"
"3697",0.00578060015263825,0.00667221606499073,22307,24084,5.8,2.6,17.2,18.8,5.8,2.6,11.4,16.2,1.96551724137931,6.23076923076923,"LOC120099108"
"3721",0.0013062108906408,0.00162299879755393,5163,7903,12,9.8,3.5,35.7,12,9.8,0,25.9,-0.708333333333333,2.64285714285714,"Syne1"
"3723",5.0505408119423e-05,0.000709234717571356,1107,5038,112.8,116.8,85.7,1814.7,112.8,116.8,0,1697.9,-0.240248226950355,14.5368150684932,"Syne1"
"3759",0.00352841861768602,0.0100410377861004,14681,29439,0.6,2.8,1.8,15.2,0.6,2.8,1.2,12.4,2,4.42857142857143,"Syne1"
"3799",0.00255006652452281,0.0114665175972497,10361,30493,1.2,3,2.7,27,1.2,3,1.5,24,1.25,8,"Syne1"
"3969",0.00758023102222758,0.0115438108787199,26055,30549,19.8,48.2,289.7,2748.2,19.8,48.2,269.9,2700,13.6313131313131,56.0165975103734,"Syne1"
"4060",0.00378031178198,0.00773108233874813,16005,26205,2.2,1,4.2,5,2.2,1,2,4,0.909090909090909,4,"Syne1"
"4087",0.00246149513548982,0.00792535238757438,10035,26624,5.4,4.8,9.3,22.7,5.4,4.8,3.9,17.9,0.722222222222222,3.72916666666667,"-"
"4090",0.00962464340419772,0.00299064601883101,28970,13199,3,2.2,17,4.7,3,2.2,14,2.5,4.66666666666667,1.13636363636364,"-"
"4092",0.00478834832310252,0.00839621156997913,19708,27342,1,1.2,5,7.2,1,1.2,4,6,4,5,"Mtrf1l"
"4096",0.00404838734836037,0.00380932575299829,17072,16398,7.6,6.6,13.3,11.3,7.6,6.6,5.7,4.7,0.75,0.712121212121212,"Mtrf1l"
"4097",0.011034363277611,0.0111039158903877,30171,30274,3.8,4.6,14.2,30.3,3.8,4.6,10.4,25.7,2.73684210526316,5.58695652173913,"Mtrf1l"
"4110",0.000878395366803025,0.00166050924265948,3616,8022,27.8,26.2,47.7,177.7,27.8,26.2,19.9,151.5,0.715827338129497,5.7824427480916,"Rgs17"
"4111",0.00282101686145657,0.00403736004883492,11629,17134,8.6,6.2,11.8,13.7,8.6,6.2,3.2,7.5,0.372093023255814,1.20967741935484,"Rgs17"
"4117",0.00283669812398267,0.00301851689403177,11706,13317,15.6,14.8,23.3,33.2,15.6,14.8,7.7,18.4,0.493589743589744,1.24324324324324,"Rgs17"
"4121",0.0007442364280574,0.00947487579097941,3214,28781,3,4.4,3,16.8,3,4.4,0,12.4,0,2.81818181818182,"Rgs17"
"4123",0.000509137967961167,0.00950170828613316,2601,28912,43.8,56.4,341.2,3044.3,43.8,56.4,297.4,2987.9,6.78995433789954,52.9769503546099,"Rgs17"
"4124",0,0.00773108233874813,6,26206,0,1,0,5,0,1,0,4,NA,4,"Rgs17"
"4126",0.00638838259005541,0.00405832284245821,23877,17182,4,4,11,7.5,4,4,7,3.5,1.75,0.875,"Rgs17"
"4127",0.00115470545709523,0.000454908484278181,4384,3203,0.6,0.6,1.8,1.8,0.6,0.6,1.2,1.2,2,2,"Rgs17"
"4175",0.00970725947157061,0.00694440142989261,29058,24603,4.2,0.8,18.2,3.2,4.2,0.8,14,2.4,3.33333333333333,3,"-"
"4189",0.00998350065379351,0.00518459887344208,29314,20246,20.2,16.2,459.7,194.2,20.2,16.2,439.5,178,21.7574257425743,10.9876543209877,"-"
"4211",0.00290852258380502,0.000594513260987955,11961,4411,103.2,102.8,1069.2,695.7,103.2,102.8,966,592.9,9.36046511627907,5.76750972762646,"Ipcef1"
"4233",0,0.00558788975141993,7,21275,0,2,0,8,0,2,0,6,NA,3,"Cnksr3"
"4236",0.00454878498528651,0.00980578994346414,18934,29151,13.8,3.8,38.2,48.2,13.8,3.8,24.4,44.4,1.76811594202899,11.6842105263158,"Cnksr3"
"4256",0.00339829478183398,0.00280832181855921,14029,12330,1.4,0.8,3.8,3.2,1.4,0.8,2.4,2.4,1.71428571428571,3,"Cnksr3"
"4263",0.00858015070668156,0.0115677671910657,27731,30562,9.2,7,71.2,153.5,9.2,7,62,146.5,6.73913043478261,20.9285714285714,"RGD1560234"
"4276",0.00316751429885098,0.00280832181855921,13025,12331,2.2,0.8,9.2,3.2,2.2,0.8,7,2.4,3.18181818181818,3,"Scaf8"
"4279",0.00661531131480314,0.00747049963878728,24240,25781,2.6,3.2,18.8,4.7,2.6,3.2,16.2,1.5,6.23076923076923,0.46875,"Scaf8"
"4283",0.00334215981874269,0.00682962986407423,13748,24363,2.4,4.2,15.3,61.2,2.4,4.2,12.9,57,5.375,13.5714285714286,"-"
"4291",0.00651165718100514,0.00702155164035398,24060,24941,3.2,4.2,13.7,21.2,3.2,4.2,10.5,17,3.28125,4.04761904761905,"Tiam2"
"4294",0.0045789411884999,0.00275715749699529,19051,12146,18,21.2,89,92.7,18,21.2,71,71.5,3.94444444444444,3.37264150943396,"Tfb1m"
"4303",0.00248082163672,0.000786862397049153,10120,5377,5,2,5.5,20,5,2,0.5,18,0.1,9,"Tfb1m"
"4318",0.00255006652452281,0.000463545244842051,10362,3452,1.2,0.8,2.7,3.2,1.2,0.8,1.5,2.4,1.25,3,"-"
"4319",0.00607848514220882,0.00354896636133317,23171,15427,1.2,2,2.7,8,1.2,2,1.5,6,1.25,3,"-"
"4363",0.00505536741155554,0.00280832181855921,20576,12332,2.2,0.8,9.2,3.2,2.2,0.8,7,2.4,3.18181818181818,3,"-"
"4371",0.0062867565029365,0.000473772672532261,23680,3655,11.8,9.4,120.7,8.8,11.8,9.4,108.9,0,9.22881355932203,-0.0638297872340425,"-"
"4378",0.00392199788715479,0.00272152703653517,16562,11990,35.8,26,275.7,110,35.8,26,239.9,84,6.70111731843575,3.23076923076923,"Tmem242"
"4387",0.00266686908006394,0.00079832657141602,10947,5412,7.8,7.4,10.2,24.3,7.8,7.4,2.4,16.9,0.307692307692308,2.28378378378378,"LOC120099115"
"4389",0.00881249509449393,0.00704871961233086,27968,24985,3.2,2.4,9.2,11.3,3.2,2.4,6,8.9,1.875,3.70833333333333,"LOC120099115"
"4420",0.00407774769360026,0.0059735901473893,17189,22087,2.6,2.2,6.3,12.2,2.6,2.2,3.7,10,1.42307692307692,4.54545454545454,"-"
"4428",0.00550459704498652,0.00671152922523823,21699,24159,3.6,4.6,5.3,16.3,3.6,4.6,1.7,11.7,0.472222222222222,2.54347826086957,"Synj2"
