"percentile","rank_index","lo_rank","hi_rank","n_bin","iod_emp","cv2_emp","iod_nb","cv2_nb","iod_emp_scaled","cv2_emp_scaled","iod_nb_scaled","cv2_nb_scaled"
0.52,16514,16197,16514,318,24.6784904759054,0.623026270541465,20.9063988354575,1.17760151412248,0.929842024169708,0.143691614151307,0.617967667272972,0.140144728690984
0.53,16831,16515,16831,317,14.7930520252111,0.735839624225446,14.6769547733611,1.88022382577229,0.490373635577722,0.184606569942076,0.357600658937168,0.288754320727604
0.54,17149,16832,17149,318,13.1406553372657,0.815547282843211,15.4385121546069,1.60108917173798,0.416914464961465,0.21351480839111,0.389430853582868,0.229715365699376
0.55,17466,17150,17466,317,9.49438356273854,0.890305368747145,10.5924830030619,1.61148164574313,0.254815313860347,0.24062794420241,0.186885313416116,0.231913447508834
0.56,17784,17467,17784,318,10.2158037247155,0.56964481833786,10.8645406220357,1.21049726131164,0.286886866140309,0.124331319597208,0.198256284507772,0.147102412055809
0.57,18101,17785,18101,317,10.2556914220063,1.04262799860732,11.6710237655086,1.90007065533425,0.288660119005163,0.295872057271872,0.231964204708377,0.292952065654742
0.58,18419,18102,18419,318,10.2743355709624,0.456050474613835,11.876049783333,0.996616169840804,0.28948896581244,0.0831331156632181,0.240533510469828,0.101865047370941
0.59,18737,18420,18737,318,21.3164494097997,1.23725646879566,26.5421622095359,2.50434728788318,0.780378671879272,0.366459580763887,0.853521086610282,0.420760850476133
0.6,19054,18738,19054,317,8.67729453304647,0.996301839581756,10.5392816039146,1.99609866876654,0.218490693459747,0.279070564482313,0.184661697793729,0.313262670176752
0.61,19372,19055,19372,318,7.86717956720061,0.449045522673329,9.12851581227186,1.02951016194407,0.182476112984612,0.0805925715733304,0.125697067086556,0.108822359522676
0.62,19689,19373,19689,317,10.333212117098,1.81045170268833,16.9599528562857,3.53366251004302,0.29210638950944,0.574345056094176,0.453021273515643,0.638468305400357
0.63,20007,19690,20007,318,10.6012767442657,0.369728615553176,11.9591919834715,0.82029524100044,0.304023506825731,0.0518260502147648,0.244008537406539,0.0645719229312152
0.64,20324,20008,20324,317,8.52524815267687,0.874616997301486,11.1368044074819,1.92313603874254,0.211731299012495,0.234938112252848,0.209635872571839,0.297830557501131
0.65,20642,20325,20642,318,6.65877664494332,1.4778800460067,8.32235829959043,2.62711429138864,0.12875518925796,0.4537285316665,0.0920027570113712,0.446726940655743
0.66,20960,20643,20960,318,8.46301475876178,1.02311646355079,10.2717440059604,1.94813170486621,0.208964642836658,0.288795646827729,0.173479646345428,0.303117317804259
0.67,21277,20961,21277,317,6.83620170037993,0.468668947135441,9.69673517272531,1.27712335978336,0.136642821516001,0.087709561877332,0.149446469679307,0.161194303458497
0.68,21595,21278,21595,318,6.50198742206103,1.51768679068678,8.62798887386608,3.29159743669494,0.12178494636258,0.468165574317694,0.104776949617786,0.587269829063754
0.69,21912,21596,21912,317,4.48697028930977,2.138086490915,6.12113460376103,4.15774235419731,0.0322050722141311,0.69317108544318,0,0.770465609642339
0.7,22230,21913,22230,318,7.82108858849658,0.472922745277311,10.0227983265121,1.17967862397039,0.180427086202368,0.0892523221732897,0.163074666197928,0.140584052125488
0.71,22547,22231,22547,317,5.89670630296272,0.346114281538269,7.77761728633088,0.69066599352024,0.0948764870785508,0.0432616436024507,0.0692346598061651,0.037154419580357
0.72,22865,22548,22865,318,5.22921190806721,1.65743213748123,7.95987642692524,3.34129262146496,0.0652022659924531,0.518848179695046,0.0768523969116557,0.597780712382441
0.73,23183,22866,23183,318,5.31954812291054,0.670576469751027,8.00368712912109,1.94649839232506,0.0692182649758781,0.160937039758912,0.0786835172090879,0.302771860641308
