"percentile","center_rank_trt","local_fourier_score_trt","iod_amp_scaled_trt","cv2_amp_scaled_trt","center_agreement_trt","center_rank_ctrl","local_fourier_score_ctrl","iod_amp_scaled_ctrl","cv2_amp_scaled_ctrl","center_agreement_ctrl","combined_center_rank","combined_fourier_score"
0.29,9108,0.429718008775678,0.0209566907048772,0.402878965129624,0.00588235294117647,8674,0.199192285526482,0.0622776424947749,0.134699803607565,0.00221483942414175,8891,0.62891029430216
0.3,9422,1.13773996058606,0.00568015648096354,0.132059804105101,1,8973,0.145854729776301,0.0214089079685166,0.12238820863906,0.00205761316872428,9198,1.28359469036236
0.31,9736,0.165015251827487,0.0033898475091011,0.0505142932072745,0.111111111111111,9272,0.22638417472144,0.093724111057194,0.130376958641415,0.00228310502283105,9504,0.391399426548926
0.32,10050,0.361403493348501,0.085796619589086,0.267701735419494,0.00790513833992095,9572,1.26012107468233,0.11661194153477,0.143509133147555,1,9811,1.62152456803083
0.33,10364,0.445573620812647,0.0736030549563643,0.366907274717042,0.00506329113924051,9871,0.128858870434698,0.0590291522054346,0.068189029139846,0.00164068908941756,10118,0.574432491247345
0.34,10678,0.60595687421732,0.0414359131128563,0.515740473299586,0.0487804878048781,10170,0.360643256816185,0.127190892633918,0.226153094109274,0.0072992700729927,10424,0.966600131033506
0.35,10992,1.06195056634314,0.0107695647691303,0.0511810015740117,1,10469,0.216991904596019,0.112836029689155,0.10287873569869,0.00127713920817369,10730,1.27894247093916
0.36,11306,0.37907086675299,0.0623535932712804,0.311508940148376,0.00520833333333333,10768,1.66584364109818,0.206631989104323,0.459211651993852,1,11037,2.04491450785117
0.37,11620,0.262372102428339,0.00254281396268742,0.255220993534776,0.00460829493087558,11067,0.459169100473758,0.126542778521284,0.31834060766676,0.0142857142857143,11344,0.721541202902097
0.38,11934,1.09285181694551,0.13900812119964,0.952782687788308,0.00106100795755968,11366,0.383091112634538,0.0785040336652258,0.303414746026756,0.00117233294255569,11650,1.47594292958005
0.39,12248,0.562792402455097,0.0913504516839275,0.469608770202883,0.00183318056828598,11665,0.400369564717841,0.112245521248507,0.285717304600501,0.00240673886883273,11956,0.963161967172937
0.4,12562,0.443558200683068,0.0995148465929582,0.342233399338978,0.00180995475113122,11964,0.529958844774609,0.135025930058329,0.390641069222718,0.00429184549356223,12263,0.973517045457677
0.41,12876,0.678286265725937,0.090413660443062,0.586739460806954,0.00113314447592068,12264,0.443009857512172,0.113909430780485,0.327623321857242,0.00147710487444609,12570,1.12129612323811
0.42,13191,0.830540965725377,0.0909983870646894,0.737919202037311,0.00162337662337662,12563,0.517274119527274,0.147790549184436,0.367760917457394,0.00172265288544358,12877,1.34781508525265
0.43,13505,0.573214668495473,0.0505863200704074,0.521342174791625,0.00128617363344051,12862,0.765347054844263,0.214298175647395,0.513313030140265,0.0377358490566038,13184,1.33856172333974
0.44,13819,1.09747058189252,0.0962808138972787,1,0.00118976799524093,13161,0.640077513203815,0.215569452456256,0.422932016618324,0.00157604412923562,13490,1.73754809509633
0.45,14133,0.82753718951084,0.12492961142941,0.701609075834799,0.000998502246630055,13460,0.541724154807539,0.150971799010083,0.38917755264785,0.0015748031496063,13796,1.36926134431838
0.46,14447,0.805956357367252,0.116306230205244,0.683477287655835,0.00617283950617284,13759,1.05078101310619,0.276025954297381,0.773403707457461,0.00135135135135135,14103,1.85673737047345
0.47,14761,0.77798231666119,0.0881919465870085,0.686293866577678,0.0034965034965035,14058,0.789281103176006,0.228739022435422,0.541674156212282,0.0188679245283019,14410,1.5672634198372
0.48,15075,0.673983159666247,0.0849101397092169,0.588119276514016,0.000953743443013829,14357,2.49850127430923,0.498501274309234,1,1,14716,3.17248443397548
0.49,15389,0.488286594970963,0.0702854515197395,0.417098616375412,0.000902527075812274,14656,1.00241889050616,0.308220898551832,0.692784564392489,0.00141342756183746,15022,1.49070548547712
