"rank","feature_id","mu","empirical_variance.x","NB2","NB2_NB1","alpha_mu","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d2_spline"
132,"75967",0,0,0,0,0,0,0,0,-0.414306612160493,5.50770668173725e-07
133,"76394",0,0,0,0,0,0,0,0,-0.412648874954548,5.55988922794795e-07
134,"76580",0,0,0,0,0,0,0,0,-0.410990581759681,5.61207177415866e-07
135,"76752",0,0,0,0,0,0,0,0,-0.409331727357635,5.66425432036936e-07
136,"76753",0,0,0,0,0,0,0,0,-0.407672306530158,5.71643686658007e-07
137,"77109",0,0,0,0,0,0,0,0,-0.406012314058995,5.76861941279077e-07
138,"77485",0,0,0,0,0,0,0,0,-0.40435174472589,5.82080195900148e-07
139,"78062",0,0,0,0,0,0,0,0,-0.402690593312589,5.87298450521218e-07
140,"78513",0,0,0,0,0,0,0,0,-0.401028854600838,5.92516705142289e-07
141,"78544",0,0,0,0,0,0,0,0,-0.399366523372381,5.97734959763359e-07
142,"79480",0,0,0,0,0,0,0,0,-0.397703594408965,6.0295321438443e-07
143,"79685",0,0,0,0,0,0,0,0,-0.396040062492334,6.081714690055e-07
144,"79780",0,0,0,0,0,0,0,0,-0.394375922404235,6.13389723626571e-07
145,"79891",0,0,0,0,0,0,0,0,-0.392711168926411,6.18607978247641e-07
146,"80060",0,0,0,0,0,0,0,0,-0.39104579684061,6.23826232868712e-07
147,"80430",0,0,0,0,0,0,0,0,-0.389379800928576,6.29044487489782e-07
148,"80578",0,0,0,0,0,0,0,0,-0.387713175972054,6.34262742110853e-07
149,"81203",0,0,0,0,0,0,0,0,-0.38604591675279,6.39480996731923e-07
150,"81251",0,0,0,0,0,0,0,0,-0.384378018052529,6.44699251352994e-07
151,"81389",0,0,0,0,0,0,0,0,-0.382709474653017,6.49917505974064e-07
152,"81685",0,0,0,0,0,0,0,0,-0.381040281335999,6.55135760595135e-07
153,"82659",0,0,0,0,0,0,0,0,-0.37937043288322,6.60354015216205e-07
154,"82808",0,0,0,0,0,0,0,0,-0.377699924076426,6.65572269837276e-07
155,"82815",0,0,0,0,0,0,0,0,-0.376028749697363,6.70790524458346e-07
156,"84604",0,0,0,0,0,0,0,0,-0.374356903378857,6.82902283883374e-07
157,"85215",0,0,0,0,0,0,0,0,-0.372684374158067,6.95014043308401e-07
158,"85273",0,0,0,0,0,0,0,0,-0.371011149923235,7.07125802733428e-07
159,"85524",0,0,0,0,0,0,0,0,-0.369337218562599,7.19237562158455e-07
160,"86690",0,0,0,0,0,0,0,0,-0.367662567964401,7.31349321583482e-07
161,"88330",0,0,0,0,0,0,0,0,-0.365987186016882,7.43461081008509e-07
162,"88417",0,0,0,0,0,0,0,0,-0.364311060608282,7.55572840433536e-07
163,"88684",0,0,0,0,0,0,0,0,-0.362634179626841,7.67684599858563e-07
164,"88968",0,0,0,0,0,0,0,0,-0.3609565309608,7.7979635928359e-07
165,"89120",0,0,0,0,0,0,0,0,-0.359278102498401,7.91908118708617e-07
166,"89164",0,0,0,0,0,0,0,0,-0.357598882127882,8.04019878133644e-07
167,"89450",0,0,0,0,0,0,0,0,-0.355918857737485,8.16131637558671e-07
168,"90119",0,0,0,0,0,0,0,0,-0.354238017215451,8.28243396983699e-07
