"rank","feature_id","mu","empirical_variance.x","NB2","NB2_NB1","alpha_mu","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d2_spline"
87,"44156",0,0,0,0,0,0,0,0,-0.581096243306782,3.76985589510452e-07
88,"44165",0,0,0,0,0,0,0,0,-0.579111310629597,3.8321181869218e-07
89,"44395",0,0,0,0,0,0,0,0,-0.577125994740594,3.89438047873908e-07
90,"44798",0,0,0,0,0,0,0,0,-0.575140289413543,3.95664277055636e-07
91,"44928",0,0,0,0,0,0,0,0,-0.573154188422214,4.01890506237364e-07
92,"47036",0,0,0,0,0,0,0,0,-0.57116768554038,4.08116735419092e-07
93,"47161",0,0,0,0,0,0,0,0,-0.56918077454181,4.1434296460082e-07
94,"48022",0,0,0,0,0,0,0,0,-0.567193449200276,4.20569193782548e-07
95,"49195",0,0,0,0,0,0,0,0,-0.565205703289547,4.26795422964276e-07
96,"49200",0,0,0,0,0,0,0,0,-0.563217530583396,4.33021652146004e-07
97,"49746",0,0,0,0,0,0,0,0,-0.561228924855593,4.39247881327732e-07
98,"49842",0,0,0,0,0,0,0,0,-0.559239879879908,4.4547411050946e-07
99,"51143",0,0,0,0,0,0,0,0,-0.557250389430113,4.51700339691188e-07
100,"52046",0,0,0,0,0,0,0,0,-0.555260447279978,4.57926568872916e-07
101,"52285",0,0,0,0,0,0,0,0,-0.553270047203274,4.64152798054644e-07
102,"54643",0,0,0,0,0,0,0,0,-0.551279182973772,4.70379027236372e-07
103,"54850",0,0,0,0,0,0,0,0,-0.549287848365243,4.766052564181e-07
104,"54923",0,0,0,0,0,0,0,0,-0.547296037151457,4.82831485599828e-07
105,"55622",0,0,0,0,0,0,0,0,-0.545303743106186,4.89057714781555e-07
106,"55738",0,0,0,0,0,0,0,0,-0.5433109600032,4.95283943963283e-07
107,"56356",0,0,0,0,0,0,0,0,-0.54131768161627,5.01510173145011e-07
108,"57516",0,0,0,0,0,0,0,0,-0.539323901719168,5.07736402326739e-07
109,"57823",0,0,0,0,0,0,0,0,-0.537329614085662,5.13962631508467e-07
110,"59516",0,0,0,0,0,0,0,0,-0.535334812489525,5.20188860690195e-07
111,"59804",0,0,0,0,0,0,0,0,-0.533339490704528,5.26415089871923e-07
112,"60726",0,0,0,0,0,0,0,0,-0.53134364250444,5.32641319053651e-07
113,"61340",0,0,0,0,0,0,0,0,-0.529347261663034,5.38867548235379e-07
114,"61343",0,0,0,0,0,0,0,0,-0.527350341954079,5.45093777417107e-07
115,"61785",0,0,0,0,0,0,0,0,-0.525352877151347,5.51320006598835e-07
116,"61962",0,0,0,0,0,0,0,0,-0.523354861028608,5.57546235780563e-07
117,"62250",0,0,0,0,0,0,0,0,-0.521356287359634,5.63772464962291e-07
118,"62368",0,0,0,0,0,0,0,0,-0.519357149918194,5.69998694144019e-07
119,"63160",0,0,0,0,0,0,0,0,-0.517357442478061,5.76224923325747e-07
120,"65364",0,0,0,0,0,0,0,0,-0.515357158813004,5.82451152507475e-07
121,"68608",0,0,0,0,0,0,0,0,-0.513356292696795,5.88677381689203e-07
122,"68806",0,0,0,0,0,0,0,0,-0.511354837903203,5.94903610870931e-07
123,"68944",0,0,0,0,0,0,0,0,-0.509352788206001,6.01129840052659e-07
124,"69098",0,0,0,0,0,0,0,0,-0.507350137378959,6.07356069234387e-07
125,"71643",0,0,0,0,0,0,0,0,-0.505346879195848,6.13582298416114e-07
126,"71882",0,0,0,0,0,0,0,0,-0.503343007430438,6.19808527597843e-07
127,"73234",0,0,0,0,0,0,0,0,-0.501338515856501,6.2603475677957e-07
128,"73566",0,0,0,0,0,0,0,0,-0.499333398247807,6.32260985961298e-07
129,"74366",0,0,0,0,0,0,0,0,-0.497327648378127,6.38487215143026e-07
130,"75162",0,0,0,0,0,0,0,0,-0.495321260021232,6.44713444324754e-07
131,"75200",0,0,0,0,0,0,0,0,-0.493314226950892,6.50939673506482e-07
132,"75967",0,0,0,0,0,0,0,0,-0.491306542940879,6.5716590268821e-07
133,"76394",0,0,0,0,0,0,0,0,-0.489298201764964,6.63392131869938e-07
134,"76580",0,0,0,0,0,0,0,0,-0.487289197196916,6.69618361051666e-07
135,"76752",0,0,0,0,0,0,0,0,-0.485279523010507,6.75844590233394e-07
136,"76753",0,0,0,0,0,0,0,0,-0.483269172979509,6.82070819415122e-07
137,"77109",0,0,0,0,0,0,0,0,-0.48125814087769,6.8829704859685e-07
138,"77485",0,0,0,0,0,0,0,0,-0.479246420478823,6.94523277778578e-07
139,"78062",0,0,0,0,0,0,0,0,-0.477234005556679,7.00749506960306e-07
140,"78513",0,0,0,0,0,0,0,0,-0.475220889885027,7.06975736142034e-07
141,"78544",0,0,0,0,0,0,0,0,-0.473207067237639,7.13201965323762e-07
142,"79480",0,0,0,0,0,0,0,0,-0.471192531388286,7.1942819450549e-07
143,"79685",0,0,0,0,0,0,0,0,-0.469177276110739,7.25654423687218e-07
144,"79780",0,0,0,0,0,0,0,0,-0.467161295178767,7.31880652868946e-07
145,"79891",0,0,0,0,0,0,0,0,-0.465144582366144,7.38106882050674e-07
146,"80060",0,0,0,0,0,0,0,0,-0.463127131446637,7.44333111232402e-07
147,"80430",0,0,0,0,0,0,0,0,-0.46110893619402,7.5055934041413e-07
148,"80578",0,0,0,0,0,0,0,0,-0.459089990382062,7.56785569595858e-07
149,"81203",0,0,0,0,0,0,0,0,-0.457070287784535,7.63011798777586e-07
150,"81251",0,0,0,0,0,0,0,0,-0.455049822175208,7.69238027959313e-07
151,"81389",0,0,0,0,0,0,0,0,-0.453028587327854,7.75464257141041e-07
152,"81685",0,0,0,0,0,0,0,0,-0.451006577016243,7.81690486322769e-07
153,"82659",0,0,0,0,0,0,0,0,-0.448983785014145,7.87916715504497e-07
154,"82808",0,0,0,0,0,0,0,0,-0.446960205095332,7.94142944686225e-07
155,"82815",0,0,0,0,0,0,0,0,-0.444935831033574,8.00369173867953e-07
156,"84604",0,0,0,0,0,0,0,0,-0.442910655242828,8.14754291510981e-07
157,"85215",0,0,0,0,0,0,0,0,-0.44088466469779,8.29139409154009e-07
158,"85273",0,0,0,0,0,0,0,0,-0.438857845013343,8.43524526797036e-07
159,"85524",0,0,0,0,0,0,0,0,-0.436830181804369,8.57909644440064e-07
160,"86690",0,0,0,0,0,0,0,0,-0.434801660685751,8.72294762083092e-07
161,"88330",0,0,0,0,0,0,0,0,-0.43277226727237,8.86679879726119e-07
162,"88417",0,0,0,0,0,0,0,0,-0.43074198717911,9.01064997369147e-07
163,"88684",0,0,0,0,0,0,0,0,-0.428710806020853,9.15450115012174e-07
164,"88968",0,0,0,0,0,0,0,0,-0.42667870941248,9.29835232655202e-07
165,"89120",0,0,0,0,0,0,0,0,-0.424645682968875,9.4422035029823e-07
166,"89164",0,0,0,0,0,0,0,0,-0.42261171230492,9.58605467941257e-07
167,"89450",0,0,0,0,0,0,0,0,-0.420576783035496,9.72990585584285e-07
168,"90119",0,0,0,0,0,0,0,0,-0.418540880775487,9.87375703227313e-07
169,"90491",0,0,0,0,0,0,0,0,-0.416503991139775,1.00176082087034e-06
170,"90682",0,0,0,0,0,0,0,0,-0.414466099743242,1.01614593851337e-06
171,"91289",0,0,0,0,0,0,0,0,-0.41242719220077,1.0305310561564e-06
172,"91651",0,0,0,0,0,0,0,0,-0.410387254127242,1.04491617379942e-06
173,"92046",0,0,0,0,0,0,0,0,-0.408346271137541,1.05930129144245e-06
174,"92320",0,0,0,0,0,0,0,0,-0.406304228846548,1.07368640908548e-06
175,"92585",0,0,0,0,0,0,0,0,-0.404261112869146,1.08807152672851e-06
176,"92712",0,0,0,0,0,0,0,0,-0.402216908820217,1.10245664437153e-06
177,"94556",0,0,0,0,0,0,0,0,-0.400171602314644,1.11684176201456e-06
178,"94816",0,0,0,0,0,0,0,0,-0.398125178967309,1.13122687965759e-06
179,"94987",0,0,0,0,0,0,0,0,-0.396077624393094,1.14561199730062e-06
