"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","nb1","nb2","alpha_mu","log_variance","log_nb1","log_nb2","nb_gap","log_alpha_mu","var_smooth","d1_sm","d2_sm","nb2_smooth","nb_gap_smooth","alpha_mu_smooth","combined_nb_support"
"529294","Cacna2d2",22605,0.005464520391291,7.2,12.7,0.106095679012346,7.2,5.5,0.763888888888889,2.61739583283408,2.10413415427021,1.87180217690159,-0.232331977368616,-0.269332933783585,4.06385407002775,-0.000423856432271435,-1.96943356495522e-06,3.58073729549423,1.2653561515202,1.31177713993242,0.52374896335557
"365425","Asns",22606,0.00546528626774056,39.4,356.3,0.20414079208431,39.4,316.9,8.04314720812183,5.87857576502936,3.6988297849671,5.76173686791676,2.06290708294965,2.08482045039299,4.06342922901823,-0.000425825447229759,-1.96859635169312e-06,3.58073729549423,1.23893148934691,1.30833281965018,0.520605795233663
"216091","Smim13",22607,0.00546615304326328,328,22164.5,0.202971631469363,328,21836.5,66.5746951219512,10.0062923050118,5.79605775076537,9.99138395444231,4.19532620367694,4.19832455222201,4.06300241941237,-0.00042779362497482,-1.96775913843103e-06,3.54095932403731,1.23034608958083,1.29507245159392,0.516356483537602
"93955","Mrpl10",22608,0.0054669291562265,3.8,4.7,0.0623268698060942,3.8,0.9,0.236842105263158,1.7404661748405,1.56861591791385,0.641853886172395,-0.92676203174145,-1.44036158239017,4.06257364204736,-0.00042976096550662,-1.96692192516894e-06,3.38439026334577,1.2284239001901,1.29498559891771,0.507329962731542
"41740","LOC102555672",22609,0.00546707697816196,10,22,0.12,10,12,1.2,3.13549421592915,2.39789527279837,2.56494935746154,0.167054084663166,0.182321556793955,4.06214289776042,-0.000431727468825157,-1.96608471190685e-06,3.54095932403731,1.23034608958083,1.29507245159392,0.516356483537602
"395255","Arl6ip5",22610,0.0054675742495828,108.2,4919.7,0.410984997317899,108.2,4811.5,44.4685767097967,8.50120607578879,4.6931810633108,8.47897197859604,3.78579091528523,3.79478279838407,4.06171018738878,-0.00043369313493044,-1.96524749864475e-06,3.58073729549423,1.23893148934691,1.30833281965018,0.520605795233663
"415663","Trnau1ap",22611,0.00546855300195266,208.4,14526.3,0.329673391271031,208.4,14317.9,68.7039347408829,9.58378491686086,5.34424629843644,9.56933562192171,4.22508932348527,4.22980647183686,4.06127551176963,-0.000435657963822453,-1.96441028538266e-06,3.58073729549423,1.23893148934691,1.30833281965018,0.520605795233663
"149052","Ccdc181",22612,0.00546941909446404,134.4,6509.8,0.352946517148526,134.4,6375.4,47.4360119047619,8.78121761551734,4.90823336047817,8.76035895375949,3.85212559328132,3.85938168506723,4.0608388717402,-0.000437621955501204,-1.96357307212057e-06,3.58073729549423,1.23893148934691,1.30833281965018,0.520605795233663
"453398","Cdc42ep3",22613,0.00546976988269551,4,9.5,0.34375,4,5.5,1.375,2.35137525716348,1.6094379124341,1.87180217690159,0.262364264467491,0.318453731118535,4.0604002681377,-0.000439585109966694,-1.96273585885848e-06,3.58073729549423,1.23893148934691,1.30833281965018,0.520605795233663
"505103","RGD1311744",22614,0.00547076772713214,22.8,269.7,0.474953831948292,22.8,246.9,10.8289473684211,5.60101119662026,3.16968558067743,5.51302543904114,2.34333985836372,2.38222286039074,4.05995970179934,-0.000441547427218921,-1.96189864559638e-06,3.54095932403731,1.23034608958083,1.29507245159392,0.516356483537602
"98311","MGC95208",22615,0.00547238429998191,4.4,9.3,0.253099173553719,4.4,4.9,1.11363636363636,2.33214389523559,1.68639895357023,1.77495235091167,0.0885533973414452,0.107630664192365,4.05951717356233,-0.000443508907257886,-1.96106143233429e-06,3.54095932403731,1.23034608958083,1.29507245159392,0.516356483537602
"306109","Tspan5",22616,0.00547611400310164,25.6,316.3,0.443572998046875,25.6,290.7,11.35546875,5.75984769858915,3.28091121578765,5.67572587687368,2.39481466108602,2.42969945607931,4.0590726842639,-0.000445469550083588,-1.9602242190722e-06,3.54095932403731,1.23034608958083,1.29507245159392,0.516356483537602
"349512","-",22617,0.0054763599998149,6.4,29.3,0.55908203125,6.4,22.9,3.578125,3.41114771251532,2.00148000021012,3.17387845893747,1.17239845872734,1.27483892019457,4.05862623474124,-0.000447429355696029,-1.95938700581011e-06,3.58073729549423,1.23034608958083,1.29507245159392,0.518595064305952
"339111","-",22618,0.0054770675635859,5.4,23.3,0.613854595336077,5.4,17.9,3.31481481481481,3.1904763503465,1.85629799036563,2.9391619220656,1.08286393169997,1.19840175927648,4.05817782583157,-0.000449388324095208,-1.95854979254802e-06,3.58905911883173,1.23893148934691,1.30833281965018,0.521074121621325
"118166","Mtus2",22619,0.0054789129959395,12.6,105.3,0.58390022675737,12.6,92.7,7.35714285714286,4.6662652853479,2.61006979274201,4.54009818924438,1.93002839650237,1.99567165861438,4.05772745837212,-0.000451346455281124,-1.95771257928592e-06,3.58905911883173,1.23893148934691,1.30833281965018,0.521074121621325
"512241","Tmed3",22620,0.00547899893464884,28,260.5,0.29655612244898,28,232.5,8.30357142857143,5.56643428350498,3.36729582998647,5.45318207710895,2.08588624712248,2.11668571485221,4.05727513320009,-0.000453303749253779,-1.95687536602383e-06,3.58905911883173,1.23893148934691,1.30833281965018,0.521074121621325
"494353","-",22621,0.00547941868312148,3.8,5.2,0.0969529085872576,3.8,1.4,0.368421052631579,1.82454929205105,1.56861591791385,0.8754687373539,-0.693147180559945,-0.998528830111127,4.05682085115268,-0.000455260206013171,-1.95603815276174e-06,3.68135118769314,1.2653561515202,1.31177713993242,0.529411200917112
"552157","Pnkd",22622,0.00547941868312148,3.8,5.2,0.0969529085872576,3.8,1.4,0.368421052631579,1.82454929205105,1.56861591791385,0.8754687373539,-0.693147180559945,-0.998528830111127,4.05636461306713,-0.000457215825559302,-1.95520093949965e-06,3.68637632389582,1.30893998421042,1.35146873730083,0.53765008016641
"51089","Ampd3",22623,0.00547951936530887,60.4,1387.3,0.363717600105258,60.4,1326.9,21.9685430463576,7.23583525604076,4.1174098351531,7.19135402599628,3.07394419084319,3.08961156860162,4.05590641978064,-0.00045917060789217,-1.95436372623756e-06,3.71843825635548,1.31381478860951,1.37528507561152,0.541923514241505
"414647","Thrap3",22624,0.00548064549324538,5.6,31.3,0.819515306122449,5.6,25.7,4.58928571428572,3.47506723022861,1.88706964903238,3.2846635654062,1.39759391637382,1.52372439416007,4.05544627213042,-0.000461124553011776,-1.95352651297546e-06,3.68637632389582,1.31381478860951,1.37528507561152,0.540119168198418
"339146","Cbln4",22625,0.00548191401235775,5.8,32.7,0.799643281807372,5.8,26.9,4.63793103448276,3.51749783735832,1.91692261218206,3.32862668882732,1.41170407664526,1.53426836905542,4.05498417095368,-0.00046307766091812,-1.95268929971337e-06,3.71843825635548,1.32175583998232,1.3793256918038,0.543113039220605
"383692","Vps50",22626,0.0054830457072654,97.6,2576.3,0.260210208949207,97.6,2478.7,25.3965163934426,7.85449761831212,4.59107126160859,7.81589286409991,3.22482160249132,3.23461201475412,4.05452011708765,-0.000465029931611202,-1.95185208645128e-06,3.71843825635548,1.31381478860951,1.37528507561152,0.541923514241505
"124828","-",22627,0.00548336541958148,2.6,6.3,0.547337278106509,2.6,3.7,1.42307692307692,1.98787434815435,1.28093384546206,1.54756250871601,0.266628663253948,0.352821374622742,4.05405411136953,-0.000466981365091022,-1.95101487318919e-06,3.78191432008113,1.32175583998232,1.3793256918038,0.546685275066283
"176264","Haus4",22628,0.00548336541958148,2.6,6.3,0.547337278106509,2.6,3.7,1.42307692307692,1.98787434815435,1.28093384546206,1.54756250871601,0.266628663253948,0.352821374622742,4.05358615463654,-0.000468931961357586,-1.95017765992709e-06,3.79548918917219,1.34862174482072,1.43813649135598,0.555152542407386
"257154","-",22629,0.00548336541958148,2.6,6.3,0.547337278106509,2.6,3.7,1.42307692307692,1.98787434815435,1.28093384546206,1.54756250871601,0.266628663253948,0.352821374622742,4.05311624772589,-0.000470881720410882,-1.949340446665e-06,3.78191432008113,1.32175583998232,1.3793256918038,0.546685275066283
"280717","Trnar-ucu",22630,0.00548336541958148,2.6,6.3,0.547337278106509,2.6,3.7,1.42307692307692,1.98787434815435,1.28093384546206,1.54756250871601,0.266628663253948,0.352821374622742,4.05264439147479,-0.000472830642250916,-1.94850323340291e-06,3.78191432008113,1.34010497865052,1.43813649135598,0.553466010405426
