"percentile","center_rank_trt","iod_local_amplitude_trt","cv2_local_amplitude_trt","iod_local_amplitude_scaled_trt","cv2_local_amplitude_scaled_trt","iod_center_trt","cv2_center_trt","center_rank_ctrl","iod_local_amplitude_ctrl","cv2_local_amplitude_ctrl","iod_local_amplitude_scaled_ctrl","cv2_local_amplitude_scaled_ctrl","iod_center_ctrl","cv2_center_ctrl","combined_rank","composite_iod_amplitude","composite_cv2_amplitude","composite_iod_amplitude_scaled","composite_cv2_amplitude_scaled","combined_center_distance","combined_center_agreement","regime_difference","regime_difference_scaled"
0.14,4326,0.487061181376072,0.336697426471614,0.962652942706446,0.0806318889288138,9889.5,9889.5,4342,0.362932446992309,0.451361990541179,0.656385174937003,0.363077201602498,9925.5,9925.5,4334,0.849993628368381,0.788059417012792,1.61903811764345,0.443709090531311,0,1,0.0619342113555883,1.17532902711214
0.145,4481,0.470787980666134,0.388950989667958,0.917459252877463,0.204807114231861,9967,9967,4497,0.361237251022884,0.47381737915856,0.651092474361807,0.407952056464522,10003,10003,4489,0.832025231689018,0.862768368826518,1.56855172723927,0.612759170696384,0,1,-0.0307431371374995,0.955792556542886
0.15,4635,0.460113072050687,0.430243952581347,0.887813056193817,0.302935598866173,10044,10044,4652,0.363057707958617,0.468198633256933,0.65677626174961,0.396723553091085,10080.5,10080.5,4644,0.823170780009304,0.89844258583828,1.54458931794343,0.699659151957258,0,1,-0.0752718058289759,0.844930165986168
0.155,4790,0.454101711609441,0.472689266005562,0.87111839580866,0.403802526116776,10121.5,10121.5,4807,0.362424601466423,0.473111719322224,0.654799591703295,0.406541865651211,10158,10158,4798,0.816526313075864,0.945800985327786,1.52591798751195,0.810344391767987,0,1,-0.129274672251922,0.715573595743967
0.16,4944,0.442694114801186,0.500751805486102,0.839437388425056,0.47049026852925,10198.5,10198.5,4963,0.369866133303264,0.495005592046841,0.678033365581689,0.450294586996873,10236,10236,4954,0.81256024810445,0.995757397532943,1.51747075400674,0.920784855526123,0,1,-0.183197149428494,0.596685898480621
0.165,5099,0.437394462661866,0.533018126941156,0.824719273700417,0.547167866979841,10276,10276,5118,0.369967717730096,0.436059708886517,0.678350530065338,0.332497117685392,10313.5,10313.5,5108,0.807362180391962,0.969077835827673,1.50306980376575,0.879664984665233,0,1,-0.161715655435711,0.623404819100522
0.17,5254,0.432569753951883,0.566282299427866,0.811320164770296,0.6262167559051,10353.5,10353.5,5273,0.373836952038227,0.448014458281269,0.690430961483044,0.356387492202718,10391,10391,5264,0.80640670599011,1.01429675770914,1.50175112625334,0.982604248107817,0,1,-0.207890051719025,0.519146878145523
0.175,5408,0.419058454389711,0.590806807595216,0.773796785535724,0.684496730338309,10430.5,10430.5,5428,0.371772101085403,0.443015027028648,0.68398413290227,0.346396627396202,10468.5,10468.5,5418,0.790830555475114,1.03382183462386,1.45778091843799,1.03089335773451,0,1,-0.242991279148749,0.426887560703483
0.18,5563,0.412312931734788,0.608638617257795,0.755063220821879,0.726872194267759,10508,10508,5583,0.373099765795056,0.44639958471484,0.688129336111329,0.353160328418167,10546,10546,5573,0.785412697529843,1.05503820197263,1.44319255693321,1.08003252268593,0,1,-0.269625504442792,0.363160034247282
0.185,5717,0.404574599961489,0.62434084131824,0.733572441460776,0.764186916770761,10585,10585,5738,0.380611325976319,0.471414223026144,0.711581750822695,0.403149588580733,10623.5,10623.5,5728,0.785185925937809,1.09575506434438,1.44515419228347,1.16733650535149,0,1,-0.310569138406575,0.277817686931978
0.19,5872,0.394787807934179,0.633130412643256,0.706392708893909,0.785074430135159,10662.5,10662.5,5893,0.387485286749813,0.483491405358266,0.733043467813495,0.427284633114173,10701,10701,5882,0.782273094683992,1.11662181800152,1.4394361767074,1.21235906324933,0,1,-0.33434872331753,0.227077113458073
0.195,6026,0.386058338519208,0.654911802226564,0.682149356885668,0.836835665034256,10739.5,10739.5,6048,0.387319879778666,0.458369383545761,0.73252703809851,0.377080777732924,10778.5,10778.5,6037,0.773378218297874,1.11328118577233,1.41467639498418,1.21391644276718,0,1,-0.339902967474452,0.200759952216998
0.2,6181,0.385102732814734,0.665044843307024,0.679495463003534,0.860915796267473,10817,10817,6203,0.383471929607697,0.445160785533367,0.720513059508108,0.350684711789171,10856,10856,6192,0.768574662422431,1.11020562884039,1.40000852251164,1.21160050805664,0,1,-0.34163096641796,0.188408014454998
0.205,6335,0.377252216800484,0.669680503528364,0.657693127244914,0.871931966595422,10894,10894,6358,0.383606436741695,0.396244339603665,0.720933014485773,0.252930072630428,10933.5,9081.5,6346,0.760858653542179,1.06592484313203,1.37862614173069,1.12486203922585,926,0.00107874865156419,-0.305066189589849,0.253764102504835
0.21,6490,0.374108086035379,0.685760733046243,0.648961294269171,0.910144980238232,10971.5,10971.5,6513,0.385488472085199,0.400718706018895,0.726809060515118,0.261871647719783,11011,9074,6502,0.759596558120578,1.08647943906514,1.37577035478429,1.17201662795802,968.5,0.00103145951521403,-0.326882880944559,0.203753726826273
0.215,6644,0.369888814406927,0.699249437107607,0.637243596154377,0.942199499842423,11048.5,11048.5,6668,0.387504737599695,0.406910154840316,0.733104196794813,0.274244640767513,11088.5,9192,6656,0.757393552006622,1.10615959194792,1.37034779294919,1.21644414060994,948.25,0.00105346326046879,-0.348766039941301,0.153903652339253
0.22,6799,0.370206662025523,0.702685533002739,0.638126317810905,0.950365028771764,11126,11126,6824,0.390395593463674,0.424261369887707,0.742129958282012,0.308919313746842,11166.5,11166.5,6812,0.760602255489197,1.12694690289045,1.38025627609292,1.25928434251861,0,1,-0.366344647401249,0.120971933574311
0.225,6953,0.366523342975602,0.705094895634576,0.627897059188067,0.956090631569815,11203,11203,6979,0.402163335677635,0.459912940585507,0.778870923402234,0.380165422550705,11244,11244,6966,0.768686678653236,1.16500783622008,1.4067679825903,1.33625605412052,0,1,-0.396321157566847,0.070511928469781
0.23,7108,0.368009751786357,0.708756444371987,0.632025091524773,0.964791926019683,11280.5,11280.5,7134,0.391563009696258,0.409339348798109,0.745774837503726,0.27909914264878,11321.5,9230.5,7121,0.759572761482615,1.1180957931701,1.3777999290285,1.24389106866846,1045.5,0.000955566172957477,-0.358523031687481,0.133908860360036
0.235,7262,0.369916516612323,0.713230437390921,0.637320530305228,0.975423910848024,11357.5,11357.5,7289,0.397722675192426,0.423389343154872,0.765006398752448,0.30717665528127,11399,11399,7276,0.76763919180475,1.13661978054579,1.40232692905768,1.28260056612929,0,1,-0.368980588741043,0.119726362928382
