"dataset_name","feature_id","gene_symbol","stat","lfc_shrunk","pvalue","padj","empirical_p","empirical_q","lfdr","resGA_padj","resLA_padj","deseq2_strong_call","deseq2_weak_call","standard_significant","HBFSS_significant","HBFSS_only_call","overlap_call","hc_p_threshold_dataset","hbfss_threshold_dataset","HBFSS","regulation_direction"
"RT8_ZT14_raw","420076","Eloc",-1.12051158480831,-0.288473409283449,0.262495818661776,0.999580341370701,0.202293766283971,0.904866333958524,1,1,0.471846810142308,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.200205594292656,"downregulated"
"RT8_ZT14_raw","420077","Eloc",-0.43436072072551,-0.0758248588554199,0.664026516526077,0.999580341370701,0.621119510889062,0.966891841423184,1,1,0.578064057897531,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.0156824634124341,"downregulated"
"RT8_ZT14_raw","420078","Eloc",1.38832516345589,0.357347281624485,0.16503805312003,0.999580341370701,0.114154498217223,0.842949040534208,1,1,0.52813845291421,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.336802303862345,"upregulated"
"RT8_ZT14_raw","420089","-",0.797128698650209,0.172178690641496,0.425376290493529,0.999580341370701,0.364373791916849,0.944849697506566,1,1,0.584650727809912,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.075492240685826,"upregulated"
"RT8_ZT14_raw","420103","Ube2w",0.500783202435627,0.0713850104912825,0.616523708630902,0.999580341370701,0.56878128432418,0.963955101157481,1,1,0.616265192475162,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.0174932325051796,"upregulated"
"RT8_ZT14_raw","420104","Ube2w",0.301760895690574,0.0591450615694886,0.762834342709027,0.999580341370701,0.731314571652145,0.971739620712756,1,1,0.518557109719664,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.00803756386393896,"upregulated"
"RT8_ZT14_raw","420108","Ube2w",0.20570943950067,0.0253000766669035,0.837017884601962,0.999580341370701,0.814923441778148,0.974565310478883,1,1,0.580147819243853,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.00224875150283365,"upregulated"
"RT8_ZT14_raw","420113","Ube2w",0.0459156326783572,0.0110612116911158,0.96337749424277,0.999580341370701,0.958331122215772,0.978288801765995,1,1,0.0280706335959755,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.000204459946803051,"upregulated"
"RT8_ZT14_raw","420116","Ube2w",-0.293926896842342,-0.0511146278406084,0.768813764734348,0.999580341370701,0.738030220676168,0.971989570882847,1,1,0.547459727848797,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.00674334095181803,"downregulated"
"RT8_ZT14_raw","420117","Ube2w",-0.212312532595576,-0.018495460246596,0.83186321870525,0.999580341370701,0.809095541819251,0.974386797370892,1,1,0.612018597943236,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.00170158589044847,"downregulated"
"RT8_ZT14_raw","420120","Ube2w",0.879801179102332,0.224570611631045,0.378967025811625,0.999580341370701,0.316760852956636,0.937081526791194,1,1,0.437644814127454,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.112121031573231,"upregulated"
"RT8_ZT14_raw","420196","Stau2",0.448521333718336,0.081417133880741,0.653776993115874,0.999580341370701,0.609786760354124,0.966297271251381,1,1,0.000474738959077999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.017490192286704,"upregulated"
"RT8_ZT14_raw","420197","Stau2",-0.702315245353539,-0.111348275327867,0.482482587822595,0.999580341370701,0.424190084120057,0.952255297892354,1,1,0.637884075287913,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.0414704946284582,"downregulated"
"RT8_ZT14_raw","420198","Stau2",-0.0348053157481159,-0.00891229320420838,0.972234981847316,0.999580341370701,0.968407729431177,0.978509859178134,1,1,0.185294095403931,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.000124252989242162,"downregulated"
"RT8_ZT14_raw","420232","Stau2",-1.31991383260896,-0.23385280368252,0.18686378868179,0.999580341370701,0.133111065488606,0.862233661359495,1,1,0.00400814418305547,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.204804974164677,"downregulated"
"RT8_ZT14_raw","420234","-",-0.51770761465811,-0.10111620117018,0.604662284624,0.999580341370701,0.555790319943999,0.963143644574665,1,1,0.563029350532069,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.0257936328130089,"downregulated"
"RT8_ZT14_raw","420240","Rpl7",0.559256588742459,0.137497473368086,0.575986617773372,0.999580341370701,0.524525608962693,0.961032401978547,1,1,0.434453604724975,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.0385313711646061,"upregulated"
"RT8_ZT14_raw","420241","Rpl7",-1.04228984990856,-0.179478190293635,0.2972773167851,0.999580341370701,0.235608768775552,0.917204448151779,1,1,0.706101458377207,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.112677942443969,"downregulated"
"RT8_ZT14_raw","420248","-",-0.249362814083642,-0.0429455274156176,0.803080146806935,0.999580341370701,0.776599697422243,0.973343613944439,1,1,0.540257181284989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.00471553842760262,"downregulated"
"RT8_ZT14_raw","420278","-",0.240158284411682,0.0271937289214642,0.810207551599843,0.999580341370701,0.784638737536826,0.973609515286671,1,1,0.61969109501715,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.00286432239086469,"upregulated"
"RT8_ZT14_raw","420280","-",-0.482400222978813,-0.0708308455867852,0.629521662762044,0.999580341370701,0.583054130762997,0.964806407181706,1,1,0.609083179888937,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.0165950383879008,"downregulated"
"RT8_ZT14_raw","420286","-",0.0997287659689316,0.0147527999157578,0.920559662442815,0.999580341370701,0.909647978939857,0.977153394184628,1,1,0.539447922962482,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.000606733106841422,"upregulated"
"RT8_ZT14_raw","420322","Eya1",-0.307393249531946,-0.0751058025465662,0.758544065727056,0.999580341370701,0.726498925744371,0.971557622920643,1,1,0.367461426018628,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.0104220584587987,"downregulated"
"RT8_ZT14_raw","420330","-",-0.600260746205902,-0.102042192389365,0.548332474992854,0.999580341370701,0.49457904958405,0.95877021037952,1,1,0.610798648332016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.0312008579285179,"downregulated"
"RT8_ZT14_raw","420332","Rbpjl2",0.643204407549796,0.0781794371518044,0.520091473740083,0.999580341370701,0.464223442643498,0.956192297640764,1,1,0.66930870717454,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.0260550902459186,"upregulated"
"RT8_ZT14_raw","420341","Lactb2",-0.244003063238157,-0.0471045562198427,0.807228447492701,0.999580341370701,0.781277940357263,0.973499000696106,1,1,0.509108765015526,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.00504934642965144,"downregulated"
"RT8_ZT14_raw","420342","Lactb2",-0.131338853666081,-0.0271910898028313,0.895507257202866,0.999580341370701,0.881196923383353,0.976433133667944,1,1,0.449232328585356,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.00149352574597984,"downregulated"
"RT8_ZT14_raw","420345","LOC120102808",0.944629526738374,0.22005341753634,0.344848047230818,0.999580341370701,0.282417085470328,0.929966078753974,1,1,0.577680673533578,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.120833319352029,"upregulated"
"RT8_ZT14_raw","420365","Tram1",1.13196067523135,0.24878572814551,0.257650967665108,0.999580341370701,0.197720976573931,0.902879815247819,1,1,0.64596797122601,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0186581006283235,1.72913256898303,0.175132029953333,"upregulated"
