"percentile","center_rank","lo_rank","hi_rank","iod_local_amplitude","cv2_local_amplitude","iod_local_midpoint","cv2_local_midpoint","iod_peak_rank","iod_trough_rank","cv2_peak_rank","cv2_trough_rank","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","local_window_n","iod_local_amplitude_scaled","cv2_local_amplitude_scaled","center_distance","center_agreement"
0.34,10170,8375,11965,0.0660749801190478,0.149584190528219,0.84548256881061,0.197407292514187,8375,11965,10592,8375,10170,9483.5,0.351909204126787,0.6410044589975,3591,0.108288918243293,0.0679220552242623,686.5,0.00145454545454545
0.35,10469,8674,12264,0.0341237259911074,0.192438631658102,0.853526294635932,0.207798663223686,8674,12264,8674,12264,10469,10469,0.350065259786348,0.653451022914816,3591,0.0388893985224115,0.110748598348435,0,1
0.36,10768,8973,12563,0.0298512012651224,0.46941881703196,0.851217777825884,0.0356346314781986,9049,12360,8973,12563,10704.5,10768,0.35976029844086,0.639606434231553,3591,0.0296092881770821,0.38754847114349,63.5,0.0155038759689922
0.37,11067,9272,12862,0.0286753513746973,0.379320556519492,0.850065680751372,-0.0624560749518855,11089,12082,10545,12862,11585.5,11703.5,0.372678360553889,0.640089107990434,3591,0.0270552908493844,0.297508864103569,118,0.00840336134453781
0.38,11366,9571,13161,0.0644880090778864,0.332152525420283,0.879875028665457,0.0383550057140359,13161,12190,10301,9571,12675.5,9936,0.374513068101746,0.64902939465416,3591,0.104841947816826,0.250371539133439,2739.5,0.000364896916621055
0.39,11665,9870,13460,0.0707893403795752,0.775870545214805,0.838951478323286,0.501699278561514,9870,13460,13460,12538,11665,12999,0.355149678856348,0.640567767276203,3591,0.118528714670742,0.693800700935096,1334,0.000749063670411985
0.4,11964,10169,13759,0.0689653273481401,0.476877859141798,0.816425527125,0.231160346942283,11118,13759,10169,12337,12438.5,11253,0.363719544401228,0.678975718442414,3591,0.114566878686485,0.395002657457899,1185.5,0.000842815002107038
0.41,12264,10469,14059,0.0581833995112625,0.896928613018498,0.838326953188705,0.0464590237203807,11123,13671,10469,14059,12397,12264,0.369122888730123,0.651009862418046,3591,0.0911480604282626,0.814779960601807,133,0.00746268656716418
0.42,12563,10768,14358,0.0592207763234478,0.456199790936765,0.822591558913744,0.00492849156897512,11228,13810,13236,14181,12519,13708.5,0.388147507144825,0.635986496222377,3591,0.0934012881809811,0.374338050561651,1189.5,0.000839983200335993
0.43,12862,11067,14657,0.0800482452148051,0.52128082886603,0.85389513225375,0.0459350036705781,11067,13782,14657,14075,12424.5,14366,0.380535749655865,0.645755386271677,3591,0.13863946043782,0.439376721092813,1941.5,0.000514800514800515
0.44,13161,11366,14956,0.0532116960216976,0.503959984015419,0.824188110697052,0.14127294717755,12796,13808,11366,14074,13302,12720,0.375388000520443,0.667717923294294,3591,0.080349303265591,0.42206715201703,582,0.00171526586620926
0.45,13460,11665,15255,0.0644972950679953,0.612653509014011,0.815485002461863,0.0129137173740022,12788,15255,11665,15255,14021.5,13460,0.388364008516053,0.664931177407867,3591,0.10486211739299,0.530689918128068,561.5,0.00177777777777778
0.46,13759,11964,15554,0.0519432393304439,0.663116281146539,0.824442212730368,-0.214914684733016,12725,15478,13179,15554,14101.5,14366.5,0.394671102462142,0.669042142871732,3591,0.0775941599210686,0.581119839273207,265,0.0037593984962406
0.47,14058,12263,15853,0.0586838973632973,0.543286617012297,0.820085452806829,-0.0705709861536721,12815,15427,13115,12263,14121,12689,0.400152208567001,0.662867803230905,3591,0.0922351636265741,0.461368183591909,1432,0.000697836706210747
0.48,14357,12562,16152,0.0805949809817085,0.589004132182194,0.825414261746416,-0.109793940134554,12562,16152,13175,15711,14357,14443,0.3996611752933,0.658895105947598,3591,0.139826994407078,0.507055936910627,86,0.0114942528735632
0.49,14656,12861,16451,0.0723742757901473,0.594585151479887,0.830712989771288,-0.0419864779348477,12861,15546,13060,15705,14203.5,14382.5,0.39120998799761,0.668923000142951,3591,0.121971263618645,0.512633322995421,179,0.00555555555555556
0.5,14956,13161,16751,0.0291825657018946,1.08226930819089,0.78890590882543,0.223986642072392,14580,15749,13161,16751,15164.5,14956,0.398235243075822,0.626727307968671,3591,0.0281569825251506,1,208.5,0.00477326968973747
0.51,15255,13460,17050,0.0396484519445299,0.397408206878899,0.780318127687884,-0.280500652423991,14647,17050,14658,17050,15848.5,15854,0.417880181033633,0.642181790137177,3591,0.0508893446347529,0.315584739501975,5.5,0.153846153846154
0.52,15554,13759,17349,0.0293296220863851,0.333721055767714,0.787664456137967,-0.214399865925514,14617,15758,14628,17216,15187.5,15922,0.421133726099073,0.652884306034094,3591,0.0284763954162584,0.251939048376232,734.5,0.00135961930659415
0.53,15853,14058,17648,0.0370702306612667,0.387861601108615,0.783270209172784,-0.242632854405201,14720,17336,14686,17206,16028,15946,0.420457891422184,0.647555352733236,3591,0.0452893353807765,0.306044348519592,82,0.0120481927710843
0.54,16152,14357,17947,0.0480640077583468,0.408873826844454,0.768440924675262,-0.20624775095058,14635,17763,14441,17389,16199,15915,0.421071179753048,0.645218345804739,3591,0.0691682994865577,0.32704289541193,284,0.00350877192982456
