"index","rank","d1","d2","left_d1","right_d1","left_d2","right_d2","before_terminal_start","inside_terminal_block"
16212,16212,9.80223583423575e-05,-4.20505942031042e-09,9.80231038040491e-05,9.80146936852085e-05,2.71413603707495e-09,-1.11242548776958e-08,TRUE,FALSE
16622,16622,-0.000117441465815984,4.33365271455203e-09,-0.000117443300460298,-0.000117434633154869,-6.64364086529661e-10,9.33166951563372e-09,TRUE,FALSE
17156,17156,4.45402911683476e-05,-6.89263213473802e-09,4.45427877556361e-05,4.45290024913667e-05,1.89945755770857e-09,-1.56847218271846e-08,TRUE,FALSE
17949,17949,-0.000814562898477323,8.37086433524452e-09,-0.000814566893969905,-0.000814550152241235,-3.79879169602467e-10,1.71216078400915e-08,TRUE,FALSE
18754,18754,0.000700676132264308,-6.01814644740549e-09,0.00070067883808869,0.000700666801795796,6.06497682708904e-10,-1.26427905775198e-08,TRUE,FALSE
20052,20052,-0.000718017156668869,1.75852294772419e-09,-0.000718016935300958,-0.000718013418255062,-2.2012587708754e-09,5.71830466630982e-09,TRUE,FALSE
20247,20247,-0.000662743093284475,-8.93783096778738e-09,-0.000662739703002927,-0.000662757578664863,2.15726787208277e-09,-2.00329298076576e-08,TRUE,FALSE
20693,20693,-0.00111670597422854,7.53791549415818e-09,-0.00111670241127058,-0.00111668733543959,-1.4663831415215e-08,2.97396624035314e-08,TRUE,FALSE
21412,21412,0.00158100692811658,-1.07724122469044e-08,0.001581003480109,0.00158098193528451,1.76684274156907e-08,-3.92132519094995e-08,TRUE,FALSE
22719,22719,-0.00121209705130391,1.23108892665838e-08,-0.00121209912063947,-0.00121207449886093,-8.17221815549989e-09,3.27939966886675e-08,TRUE,FALSE
23406,23406,0.00072659076239821,-1.07027574911046e-08,0.000726594619059036,0.000726573213544054,2.98943583824814e-09,-2.43949508204573e-08,TRUE,FALSE
24322,24322,-0.000918153365765449,1.5455430420575e-08,-0.000918158274788136,-0.000918127363927295,-5.6373850471379e-09,3.65482458882879e-08,TRUE,FALSE
24891,24891,0.000511313347666409,-1.64674198198113e-08,0.00051131955155598,0.00051128661671634,4.05964067654426e-09,-3.69944803161668e-08,TRUE,FALSE
25516,25516,-0.000532972276688459,6.77462198380252e-09,-0.000532973728916902,-0.000532960179672935,-3.87016509737779e-09,1.7419409064983e-08,TRUE,FALSE
26162,26162,7.88644702274893e-05,-1.43909971369499e-09,7.88644508908386e-05,7.88615726914113e-05,1.47777301489993e-09,-4.3559724422899e-09,TRUE,FALSE
26520,26520,5.46865258347454e-05,4.59830244049927e-09,5.46844286489685e-05,5.46936252538495e-05,-4.03930886639752e-10,9.60053576763829e-09,TRUE,FALSE
26937,26937,0.000293505957559695,-7.71555563720401e-10,0.000293502613598248,0.00029350107048712,7.45947845846755e-09,-9.00258958590835e-09,FALSE,TRUE
27890,27890,-0.000321698461634913,3.40767626728455e-09,-0.000321699592849598,-0.000321692777497063,-1.14524689740133e-09,7.96059943197043e-09,FALSE,FALSE
28954,28954,7.38485104311359e-05,-1.2786083660646e-09,7.38483720514957e-05,7.38458148347636e-05,1.55536764624905e-09,-4.11258437837824e-09,FALSE,FALSE
