"feature_id","pc1_loading","pc1_loading_abs","baseMean","dispGeneEst","gene_symbol","rank"
"25112",0.0115692522569277,0.0115692522569277,4.00749460226757,8.57019393309838,"Banf1",1874
"56022",0.0115680054348858,0.0115680054348858,3.87547144679382,2.85323599402215,"Actn3",1875
"570784",-0.0115665520426187,0.0115665520426187,10.6654618703082,1.46041780885286,"-",1876
"253601",0.0115601581209136,0.0115601581209136,8.6012160218338,1.04493804632961,"Cog4",1877
"260936",-0.0115599684846632,0.0115599684846632,4.95359961747753,0.715228025757648,"Plcg2",1878
"169261",-0.0115586647540469,0.0115586647540469,5.11578424566973,0.660890610874139,"-",1879
"205599",0.0115532554636412,0.0115532554636412,11.1464509816123,1.11676883494525,"Zfp869",1880
"489282",0.0115505583868275,0.0115505583868275,5.98261142820745,1.44065398500717,"Tmcc3",1881
"136325",-0.0115466496403505,0.0115466496403505,3.66149580542793,2.24285553705493,"-",1882
"269318",-0.0115466496403505,0.0115466496403505,3.66149580542793,2.24285553705493,"Ctnnd2",1883
"89986",0.0115465580892798,0.0115465580892798,3.38539072602074,2.32837108493682,"Mnt",1884
"440706",-0.0115461801751694,0.0115461801751694,27.0962957690057,1.6184493095488,"Agbl5",1885
"446309",-0.0115444547493179,0.0115444547493179,2.58861632772303,1.88710978700925,"Gpr135",1886
"26948",-0.0115404320706751,0.0115404320706751,7.8323531680869,0.981672058965938,"Ostf1",1887
"504992",-0.0115394185289774,0.0115394185289774,6.24841655188084,0.987148818471877,"Nrgn",1888
"510514",0.0115320994604906,0.0115320994604906,381.670531736902,0.871701070670465,"Prtg",1889
"56594",-0.0115316251171309,0.0115316251171309,25.5008670422958,2.03399280027607,"Otub1",1890
"120269",-0.0115306246827732,0.0115306246827732,14.1849303642219,4.44655030984776,"Lrwd1",1891
"78758",0.0115294611901845,0.0115294611901845,6.60313040432838,1.24316699628628,"Pecam1",1892
"169263",-0.0115275963415604,0.0115275963415604,6.10681893054826,0.834380447791008,"-",1893
"263481",0.0115236011709034,0.0115236011709034,56.4701284539945,1.20759628552675,"LOC102552429",1894
"237338",0.0115232829356531,0.0115232829356531,2.22773883416066,6.76736259405105,"Nars1",1895
"26329",0.0115232829356531,0.0115232829356531,2.22773883416066,6.76736259405105,"Tmem132a",1896
"335152",0.0115232829356531,0.0115232829356531,2.22773883416066,6.76736259405105,"Kif16b",1897
"348534",0.0115232829356531,0.0115232829356531,2.22773883416066,6.76736259405105,"Lrrc4c",1898
"92483",0.0115232829356531,0.0115232829356531,2.22773883416066,6.76736259405105,"Tubd1",1899
"232872",0.0115190063158269,0.0115190063158269,11.9119489483312,0.990370511025315,"Garem1",1900
"172907",-0.0115173525349109,0.0115173525349109,3.46714026071071,2.10083532884516,"LOC102557119",1901
"203810",-0.0115161375107391,0.0115161375107391,6.47331617498856,3.80728461336572,"Spcs1",1902
"179169",-0.0115137118235941,0.0115137118235941,2.72188899836686,1.49061725655116,"-",1903
"269615",-0.0115137118235941,0.0115137118235941,2.72188899836686,1.49061725655116,"-",1904
"516277",-0.0115137118235941,0.0115137118235941,2.72188899836686,1.49061725655116,"Entpd3",1905
"542670",-0.0115137118235941,0.0115137118235941,2.72188899836686,1.49061725655116,"-",1906
"323047",-0.0115119453372295,0.0115119453372295,9.09632923153238,0.827586941472867,"Gapvd1",1907
"175681",-0.0115118752443975,0.0115118752443975,7.48281832950767,0.861199330998491,"Exoc5",1908
"22322",0.0115040393624086,0.0115040393624086,9.58777350065924,1.40966806800706,"Bcl7c",1909
"26015",0.0115031896163108,0.0115031896163108,11.2178051367783,1.79843787342097,"Taf6l",1910
"315445",0.0115026014175237,0.0115026014175237,8.77715042925239,1.67233462908425,"Prrc2a",1911
"339182",0.0115021292101533,0.0115021292101533,3.26144206101036,2.69989212531078,"Pmepa1",1912
"94227",-0.0115014425033752,0.0115014425033752,4.92142870095252,0.700914409955681,"-",1913
"337422",-0.0114997080905923,0.0114997080905923,4.79141498928532,0.828438532690892,"Chd6",1914
"413348",-0.011499689334445,0.011499689334445,8.36479184528157,1.50481789063759,"Ipo13",1915
