"percentile","center_rank","lo_rank","hi_rank","iod_amplitude","cv2_amplitude","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","center_distance","center_agreement","local_fourier_score"
0.45,13741,11909,15573,0.0903165783816132,0.116062941903883,13741,15186.5,0.399968705186705,0.71916824909128,1445.5,0.000691323885240235,0.165924355008065
0.46,14046,12214,15878,0.0444817398992934,0.0662714129826739,14046,13973.5,0.401749392803861,0.716401711959292,72.5,0.0136054421768707,0.0562047929171423
0.47,14351,12519,16183,0.056239399542425,0.0680225053627473,14351,13986,0.40225121104456,0.708897436045603,365,0.00273224043715847,0.0641209316187427
0.48,14657,12825,16489,0.117883816081853,0.503315412695536,14657,14657,0.399165934923597,0.703991305413975,0,1,1.64970266232692
0.49,14962,13130,16794,0.0425150154161835,0.134870675986806,15680.5,14959,0.399340017736236,0.709654215032764,721.5,0.0013840830449827,0.120029991140922
0.5,15268,13436,17100,0.0486988617852389,0.136914697801101,15866.5,16748.5,0.398596538153062,0.706433119320217,882,0.00113250283125708,0.1309514241542
0.51,15573,13741,17405,0.033732933820934,0.125122250274063,15120,16935.5,0.400916289183393,0.701696359066104,1815.5,0.000550509221029452,0.0954601099484457
0.52,15878,14046,17710,0.0473666404824913,0.128100762514126,16159.5,16957.5,0.399300078305723,0.695294399511809,798,0.00125156445556946,0.119038240867141
0.53,16184,14352,18016,0.081494249648441,0.412549911068555,17613,16184,0.394937573009244,0.692320206230744,1429,0.000699300699300699,0.494146993885838
0.54,16489,14657,18321,0.0581422829238535,0.153578324365469,16489,16698,0.395077286262899,0.709425361002433,209,0.00476190476190476,0.167209587016288
0.55,16794,14962,18626,0.100088643469072,0.228813138092904,16794,18289.5,0.396900414736985,0.695651889829559,1495.5,0.000668225860340795,0.309447574463512
0.56,17100,15268,18932,0.0498042093577607,0.185755287298069,17100,15733,0.395271577619317,0.701491606787203,1367,0.000730994152046784,0.188267881586659
0.57,17405,15573,19237,0.0265195799523814,0.112772957481627,17552.5,16836,0.399278136038815,0.701401812458502,716.5,0.00139372822299652,0.071815754842018
0.58,17710,15878,19542,0.039534767473731,0.142906981638514,17844,18584,0.396206292350885,0.697593206212208,740,0.00134952766531714,0.124980536922603
0.59,18016,16184,19848,0.0618492681662133,0.222386979033936,19343,16657.5,0.393579199431624,0.695886689654505,2685.5,0.000372231528010422,0.247202739444915
0.6,18321,16489,20153,0.0340149491172763,0.401961093728915,18321,18321,0.386661573124713,0.687446445113206,0,1,1.41352993925589
0.61,18626,16794,20458,0.122997993116927,0.270866742245961,18626,20132,0.387589362047693,0.697174720271703,1506,0.0006635700066357,0.390470666461599
0.62,18932,17100,20764,0.0556481377653587,0.201455759942951,19670.5,18475,0.389637904988857,0.702656835357323,1195.5,0.000835770998746344,0.214758337356292
0.63,19237,17405,21069,0.070063862078613,0.377608636545391,19867,19237,0.381822410892621,0.689310924171925,630,0.00158478605388273,0.438558991271914
0.64,19542,17710,21374,0.174129962380694,0.306065317030388,19542,19542,0.382093293032891,0.695074674063085,0,1,1.50322486813008
0.65,19848,18016,21680,0.0576816694085899,0.173973218203848,20459.5,20887,0.388202986813649,0.689948069489935,427.5,0.00233372228704784,0.187567492823665
