"percentile","center_rank_trt","iod_local_amplitude_scaled_trt","cv2_local_amplitude_scaled_trt","window_n_trt","center_rank_ctrl","iod_local_amplitude_scaled_ctrl","cv2_local_amplitude_scaled_ctrl","window_n_ctrl","combined_rank","composite_iod_amplitude","composite_cv2_amplitude","regime_difference","local_window_n"
0.16,5025,0.104423550091991,0.134793246862323,159,4786,0.229549581335997,0.173111193521275,151,4906,0.333973131427988,0.307904440383598,0.0260686910443899,159
0.165,5182,0.258980210725698,0.0766891016154661,159,4935,0.160228982005797,0.204423848637055,151,5058,0.419209192731495,0.281112950252521,0.138096242478973,159
0.17,5339,0.112817617723329,0.0994361351884448,159,5085,0.408366031000288,0.204473792004572,151,5212,0.521183648723617,0.303909927193017,0.217273721530601,159
0.175,5496,0.130100077449686,0.0729805381768733,159,5234,0.0344401801219198,0.381347267616149,151,5365,0.164540257571606,0.454327805793022,-0.289787548221417,159
0.18,5653,0.121377545990111,0.118685809243352,159,5384,0.261075606431952,0.248732204738614,151,5518,0.382453152422064,0.367418013981966,0.0150351384400979,159
0.185,5810,0.0628604723410009,0.13350086774082,159,5534,0.263324296822856,0.0741753227881072,151,5672,0.326184769163857,0.207676190528927,0.118508578634929,159
0.19,5967,0.182830398804078,0.0429427802718682,159,5683,0.284663977171821,0.318830339413164,151,5825,0.467494375975899,0.361773119685032,0.105721256290867,159
0.195,6124,0.440759755012563,0.197295339686985,159,5833,0.384472735061033,0.406304547130338,151,5978,0.825232490073596,0.603599886817323,0.221632603256274,159
0.2,6281,0.302431674700959,0.130693206304669,159,5982,0.159742444135055,0.377865960762899,151,6132,0.462174118836014,0.508559167067568,-0.0463850482315541,159
0.205,6438,0.134516229822934,0.0797184609634256,159,6132,0.372437853908777,0.537221278406229,151,6285,0.506954083731711,0.616939739369655,-0.109985655637944,159
0.21,6595,0.0974746132047597,0.0837355190170781,159,6281,0.236079872412455,0.124664106777148,151,6438,0.333554485617214,0.208399625794226,0.125154859822988,159
0.215,6752,0.156845867471478,0.0400691010647636,159,6431,0.315363464136084,0.468424429589781,151,6592,0.472209331607562,0.508493530654545,-0.0362841990469832,159
0.22,6909,0.10295565783552,0.0688742436005938,159,6580,2.32759522044075e-15,2.77776892427649e-15,151,6744,0.102955657835522,0.0688742436005965,0.0340814142349256,159
0.225,7066,0.235215979469215,0.0519570392185874,159,6730,0.383006015011098,0.47410387298158,151,6898,0.618221994480313,0.526060912200168,0.092161082280145,159
0.23,7223,0.192078161690378,0.184593747955521,159,6880,0.407527297780543,0.242233760708598,151,7052,0.59960545947092,0.426827508664119,0.172777950806801,159
0.235,7380,0.293371235486096,0.0475949915822797,159,7029,0.379417597674345,0.432614631958925,151,7204,0.672788833160441,0.480209623541205,0.192579209619236,159
0.24,7537,0.305517893396435,0.0179207901643805,159,7179,0.507161822181338,0.172928048062485,151,7358,0.812679715577773,0.190848838226865,0.621830877350908,159
0.245,7694,0.293130468971151,0.0251232221765358,159,7328,0.429411284034798,0.535732426593974,151,7511,0.722541753005949,0.560855648770509,0.16168610423544,159
0.25,7852,0.233701463454776,0.137264755756575,159,7478,0.590861962666187,0.363837116977563,151,7665,0.824563426120963,0.501101872734138,0.323461553386825,159
0.255,8009,0.179635207549073,0.10624928903498,159,7627,0.466778444997936,0.331597396936214,151,7818,0.646413652547008,0.437846685971194,0.208566966575814,159
0.26,8166,0.258800002183777,0.0951586189983356,159,7777,0.160177711258046,0.254827113358409,151,7972,0.418977713441823,0.349985732356745,0.0689919810850785,159
0.265,8323,0.213882827005182,0.110116315672717,159,7926,0.148819284028705,0.448366096178236,151,8124,0.362702111033887,0.558482411850953,-0.195780300817066,159
0.27,8480,0,0.121261103016627,159,8076,0.559902207605996,0.362058181882315,151,8278,0.559902207605996,0.483319284898942,0.076582922707054,159
0.275,8637,0.165104104134366,0.130392963308344,159,8226,0.458161721458859,0.338850373842372,151,8432,0.623265825593224,0.469243337150716,0.154022488442508,159
0.28,8794,0.318825439699618,0.11991439301792,159,8375,0.370042775963797,0.310716967215426,151,8584,0.688868215663415,0.430631360233346,0.258236855430069,159
0.285,8951,0.237126474489441,0.121100127899547,159,8525,0.485365520539245,0.612120204391717,151,8738,0.722491995028687,0.733220332291264,-0.0107283372625778,159
0.29,9108,0.288986796140523,0.102156871602744,159,8674,0.200794026928535,0.151091031305504,151,8891,0.489780823069059,0.253247902908247,0.236532920160811,159
0.295,9265,0.242950744450343,0.0421708272275343,159,8824,0.196619226532361,0.557835572944469,151,9044,0.439569970982705,0.600006400172003,-0.160436429189299,159
0.3,9422,0.243620135920376,0.100603013822618,159,8973,0.0507424954176512,0.50013495820898,151,9198,0.294362631338027,0.600737972031597,-0.30637534069357,159
0.305,9579,0.393598808776284,0.0778771209221634,159,9123,0.320829967805623,0.258773680503392,151,9351,0.714428776581908,0.336650801425556,0.377777975156352,159
0.31,9736,0.18999472639336,0.0458053483487614,159,9272,0.567463796237283,0.547080757003707,151,9504,0.757458522630644,0.592886105352468,0.164572417278175,159
0.315,9893,0.312329363124842,0.0797782527755051,159,9422,0.226100596866808,0.408435947128953,151,9658,0.53842995999165,0.488214199904458,0.0502157600871925,159
0.32,10050,0.197047079775913,0.0917620610491079,159,9572,0.235720955307911,0.40162841590083,151,9811,0.432768035083824,0.493390476949938,-0.060622441866114,159
0.325,10207,0.37669747145961,0.214112465052307,159,9721,0.924590028347143,0.149438869030672,151,9964,1.30128749980675,0.363551334082979,0.937736165723775,159
0.33,10364,0.519267818882043,0.0547361550132131,159,9871,0.387517715595415,0.382973890061346,151,10118,0.906785534477457,0.437710045074559,0.469075489402898,159
0.335,10521,0.254064873916609,0.137357255138655,159,10020,0.163522835641711,0.320482705065489,151,10270,0.41758770955832,0.457839960204144,-0.0402522506458238,159
