"feature_id","gene_symbol_trt","pc1_loading_trt","pc1_loading_abs_trt","rank_trt","gene_symbol_ctrl","pc1_loading_ctrl","pc1_loading_abs_ctrl","rank_ctrl","gene_symbol","combined_rank","in_treatment_leading_edge","in_control_leading_edge","in_leading_edge_union","in_remainder"
"543919","LOC102552880",-0.00622274211631683,0.00622274211631683,8351,"LOC102552880",-0.0017042537311463,0.0017042537311463,21101,"LOC102552880",14726,TRUE,TRUE,TRUE,FALSE
"309047","Wdr46",-0.00474280736204105,0.00474280736204105,11733,"Wdr46",-0.00246638453982052,0.00246638453982052,17718,"Wdr46",14726,TRUE,TRUE,TRUE,FALSE
"456761","Myt1l",-0.000681301607669579,0.000681301607669579,27387,"Myt1l",-0.0111104453612895,0.0111104453612895,2066,"Myt1l",14726,TRUE,TRUE,TRUE,FALSE
"321142","Ehmt1",-0.00325165881320916,0.00325165881320916,15999,"Ehmt1",0.00363139561899499,0.00363139561899499,13456,"Ehmt1",14728,TRUE,TRUE,TRUE,FALSE
"167876","Lgi2",-0.00746410650649975,0.00746410650649975,5918,"Lgi2",-0.00129646194072984,0.00129646194072984,23540,"Lgi2",14729,TRUE,TRUE,TRUE,FALSE
"440859","Drc1",0.00415921951284292,0.00415921951284292,13300,"Drc1",-0.00281356020900402,0.00281356020900402,16158,"Drc1",14729,TRUE,TRUE,TRUE,FALSE
"171432","Ogdh",-0.00541755859059708,0.00541755859059708,10282,"Ogdh",-0.00212195014005648,0.00212195014005648,19177,"Ogdh",14730,TRUE,TRUE,TRUE,FALSE
"554608","Bok",0.00379661897274909,0.00379661897274909,14371,"Bok",-0.00308543435725278,0.00308543435725278,15088,"Bok",14730,TRUE,TRUE,TRUE,FALSE
"369013","Mrps33",-0.00719692171141074,0.00719692171141074,6427,"Mrps33",-0.00137936162430649,0.00137936162430649,23035,"Mrps33",14731,TRUE,TRUE,TRUE,FALSE
"482233","Desi1",-0.00525036898055216,0.00525036898055216,10638,"Desi1",0.00220053030973396,0.00220053030973396,18824,"Desi1",14731,TRUE,TRUE,TRUE,FALSE
"442177","Itgb1bp1",-0.00160732275340185,0.00160732275340185,22662,"Itgb1bp1",-0.00677099578257682,0.00677099578257682,6803,"Itgb1bp1",14732,TRUE,TRUE,TRUE,FALSE
"161135","LOC100361025",0.0202592522520182,0.0202592522520182,35,"LOC100361025",0.000252128873384736,0.000252128873384736,29431,"LOC100361025",14733,TRUE,TRUE,TRUE,FALSE
"107967","Vps8",-0.0138733909520656,0.0138733909520656,544,"Vps8",-0.000344970125814369,0.000344970125814369,28924,"Vps8",14734,TRUE,TRUE,TRUE,FALSE
"569807","Mospd2",-0.00263710569082119,0.00263710569082119,18271,"Mospd2",0.00450331075412104,0.00450331075412104,11197,"Mospd2",14734,TRUE,TRUE,TRUE,FALSE
"50029","Fam168a",0.00231027202294649,0.00231027202294649,19486,"Fam168a",0.00506725344364305,0.00506725344364305,9981,"Fam168a",14734,TRUE,TRUE,TRUE,FALSE
"566549","-",0.00140645860942925,0.00140645860942925,23779,"-",-0.00764224409990063,0.00764224409990063,5690,"-",14734,TRUE,TRUE,TRUE,FALSE
"53333","LOC102551806",-0.000670156464713404,0.000670156464713404,27450,"LOC102551806",-0.0111749909747172,0.0111749909747172,2019,"LOC102551806",14734,TRUE,TRUE,TRUE,FALSE
"108155","Ap2m1",0.00264240375130187,0.00264240375130187,18257,"Ap2m1",0.00449644844667012,0.00449644844667012,11213,"Ap2m1",14735,TRUE,TRUE,TRUE,FALSE
"57182","Cpsf7",0.00195007343396344,0.00195007343396344,21001,"Cpsf7",-0.00581413867035535,0.00581413867035535,8469,"Cpsf7",14735,TRUE,TRUE,TRUE,FALSE
"146354","Csrp1",0.00408080736465421,0.00408080736465421,13499,"Csrp1",-0.00283534343236608,0.00283534343236608,15973,"Csrp1",14736,TRUE,TRUE,TRUE,FALSE
"496481","Kctd17",-0.00164433605980731,0.00164433605980731,22457,"Kctd17",0.00671723138572746,0.00671723138572746,7017,"Kctd17",14737,TRUE,TRUE,TRUE,FALSE
"84143","Ubtd2",-0.00133370670768167,0.00133370670768167,24137,"Ubtd2",0.00788756759251996,0.00788756759251996,5337,"Ubtd2",14737,TRUE,TRUE,TRUE,FALSE
"48040","Dlg2",-0.00312778790657197,0.00312778790657197,16377,"Dlg2",-0.00374337991644799,0.00374337991644799,13098,"Dlg2",14738,TRUE,TRUE,TRUE,FALSE
"103135","Ift57",0.00112045398641784,0.00112045398641784,25202,"Ift57",0.00882567237493873,0.00882567237493873,4274,"Ift57",14738,TRUE,TRUE,TRUE,FALSE
"135190","Ppfia4",0.000361481296841501,0.000361481296841501,28861,"Ppfia4",-0.0141198203219072,0.0141198203219072,615,"Ppfia4",14738,TRUE,TRUE,TRUE,FALSE
"215788","Phactr1",0.00647675328205741,0.00647675328205741,7685,"Phactr1",0.00158291962664583,0.00158291962664583,21795,"Phactr1",14740,TRUE,TRUE,TRUE,FALSE
"483433","Kif21a",-0.0130120234981027,0.0130120234981027,801,"Kif21a",-0.000393817159787608,0.000393817159787608,28683,"Kif21a",14742,TRUE,TRUE,TRUE,FALSE
"218074","Inhba",-0.00787351869623239,0.00787351869623239,5194,"Inhba",0.00117779824220617,0.00117779824220617,24291,"Inhba",14742,TRUE,TRUE,TRUE,FALSE
"129502","Vps33a",-0.00476990920902808,0.00476990920902808,11675,"Vps33a",-0.00243653467567907,0.00243653467567907,17809,"Vps33a",14742,TRUE,TRUE,TRUE,FALSE
"540316","Tns1",-0.00129758206819398,0.00129758206819398,24283,"Tns1",0.00801459199159515,0.00801459199159515,5203,"Tns1",14743,TRUE,TRUE,TRUE,FALSE
"360499","Arfgap1",0.00437107567945611,0.00437107567945611,12736,"Arfgap1",0.00266434629248487,0.00266434629248487,16751,"Arfgap1",14744,TRUE,TRUE,TRUE,FALSE
"213335","-",-0.00199760656251908,0.00199760656251908,20738,"-",0.00562613526766652,0.00562613526766652,8750,"-",14744,TRUE,TRUE,TRUE,FALSE
"285610","LOC102549789",0.00159314604279956,0.00159314604279956,22719,"LOC102549789",-0.00680261428566199,0.00680261428566199,6770,"LOC102549789",14744,TRUE,TRUE,TRUE,FALSE
"301779","Otud7b",-0.000528315995344013,0.000528315995344013,28068,"Otud7b",0.0121509916556817,0.0121509916556817,1421,"Otud7b",14744,TRUE,TRUE,TRUE,FALSE
"90387","Tlcd3a",-0.00338194001828211,0.00338194001828211,15610,"Tlcd3a",-0.00346332475872101,0.00346332475872101,13880,"Tlcd3a",14745,TRUE,TRUE,TRUE,FALSE
"205279","-",-0.0056348474336541,0.0056348474336541,9373,"-",-0.00190739876812556,0.00190739876812556,20118,"-",14746,TRUE,TRUE,TRUE,FALSE
"99266","Robo2",0.00326392764237601,0.00326392764237601,15972,"Robo2",0.00359907507393594,0.00359907507393594,13520,"Robo2",14746,TRUE,TRUE,TRUE,FALSE
"29046","Plce1",-0.0021382386123107,0.0021382386123107,20156,"Plce1",-0.00534065763317649,0.00534065763317649,9335,"Plce1",14746,TRUE,TRUE,TRUE,FALSE
"33283","Ptprk",-0.000885302163113245,0.000885302163113245,26472,"Ptprk",0.0100702833669051,0.0100702833669051,3020,"Ptprk",14746,TRUE,TRUE,TRUE,FALSE
