"rank","feature_id","abs_pc1_loading","mu","empirical_variance.x","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","nb_gap","log_alpha_mu","combined_nb_support","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1","d2"
11950,"534773",0.00223236448484632,306.4,7178.8,306.4,6872.4,0.0732033417638678,22.4295039164491,5.7281498311045,8.83541416817685,3.10726433707235,3.15399607928869,0.454094505773837,7178.8,8.8790268065011,1.98787434815435,0,0
11951,"436338",0.00223247860634296,26.8,15.7,26.8,0,0,0,3.32503602069659,0,-3.32503602069659,0,0.20961716810509,15.7,2.81540871942271,1.84054963339749,0,0
11952,"83596",0.00223256565807437,2.2,4.7,2.2,2.5,0.516528925619835,1.13636363636364,1.16315080980568,1.25276296849537,0.0896121586896872,0.759105148351743,0.356690349438393,4.7,1.7404661748405,1.79175946922805,0,0
11953,"223570",0.00223256565807437,2.2,4.7,2.2,2.5,0.516528925619835,1.13636363636364,1.16315080980568,1.25276296849537,0.0896121586896872,0.759105148351743,0.356690349438393,4.7,1.7404661748405,1.79175946922805,0,0
11954,"261910",0.00223256565807437,2.2,4.7,2.2,2.5,0.516528925619835,1.13636363636364,1.16315080980568,1.25276296849537,0.0896121586896872,0.759105148351743,0.356690349438393,4.7,1.7404661748405,1.79175946922805,0,0
11955,"26053",0.00223277253166636,21.4,24.3,21.4,2.9,0.00633243077998079,0.135514018691589,3.10906095886099,1.3609765531356,-1.74808440572539,0.127085428318697,0.261992118050477,24.3,3.23080439573347,1.79175946922805,0,0
11956,"233181",0.00223307835577893,34.8,68.2,34.8,33.4,0.0275796010040957,0.959770114942529,3.57794789340665,3.53805656437935,-0.0398913290273017,0.672827178068988,0.321132436719997,68.2,4.23700086262362,1.79175946922805,0,0
11957,"370423",0.00223324728917136,14,15.5,14,1.5,0.0076530612244898,0.107142857142857,2.70805020110221,0.916290731874155,-1.79175946922805,0.101782694309942,0.26491656699759,15.5,2.80336038090653,1.79175946922805,0,0
11958,"199743",0.00223361760043753,25.6,88.3,25.6,62.7,0.095672607421875,2.44921875,3.28091121578765,4.15418456257812,0.873273346790464,1.2381477561244,0.366779878236037,88.3,4.49200148788245,1.79175946922805,0,0
11959,"4127",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11960,"19309",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11961,"24944",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
11962,"26770",0.00223370204806416,1,5,1,4,4,4,0.693147180559945,1.6094379124341,0.916290731874155,1.6094379124341,0.40956936289687,5,1.79175946922805,1.79175946922805,0,0
