"rank","feature_id","mu","empirical_variance.x","log_nb1","log_nb2","log_alpha_mu","nb_gap","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1_spline","d2_spline"
26485,"218074",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28286860195128,-0.000157236033652056,1.9397824015236e-06
26486,"229695",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28271233703795,-0.000155292563871746,1.94715715909587e-06
26487,"233450",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28255801928179,-0.000153341719333865,1.95453191666815e-06
26488,"233995",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28240565605754,-0.000151383500038411,1.96190667424042e-06
26489,"240845",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28225525473996,-0.000149417905985385,1.96928143181269e-06
26490,"247112",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28210682270382,-0.000147444937174786,1.97665618938496e-06
26491,"248881",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28196036732386,-0.000145464593606609,1.98403094695726e-06
26492,"250944",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28181589597486,-0.000143476875280866,1.99140570452953e-06
26493,"259009",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28167341603156,-0.00014148178219755,1.99878046210181e-06
26494,"259279",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28153293486872,-0.000139479314356663,2.00615521967408e-06
26495,"265244",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.2813944598611,-0.000137469471758203,2.01352997724635e-06
26496,"265945",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28125799838345,-0.000135452254402171,2.02090473481862e-06
26497,"266242",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28112355781054,-0.000133427662288567,2.0282794923909e-06
26498,"268938",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28099114551713,-0.00013139569541739,2.03565424996317e-06
26499,"277159",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28086076887796,-0.000129356353788641,2.04302900753544e-06
26500,"278974",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.2807324352678,-0.00012730963740232,2.05040376510771e-06
26501,"279686",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28060615206141,-0.000125255546258427,2.05777852267999e-06
26502,"288617",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28048192663354,-0.000123194080356961,2.06515328025226e-06
26503,"290948",0.855723659516445,3.66131490728109,0.618274732931998,1.33647136630268,1.45363012980593,0.718196633370685,0.00786132136031804,3.66131490728109,1.53929757727982,3.28035976635895,-0.000121125239697923,2.07252803782453e-06
