"rank_index","n_leading_edge","n_remainder","leading_mean_abs","leading_sd_dev","leading_skew_abs","leading_distortion","remainder_mean_abs","remainder_sd_dev","remainder_skew_abs","remainder_distortion","total_distortion","balance_penalty","split_score"
6240,6240,25313,0.0557759478018302,0.150427413826951,0.11213584077825,0.262271282017906,0.089899301157904,0.0418716869509277,0.137288255574166,0.200415115895915,0.462686397913821,0.0618561661219915,-0.493614480974817
6241,6241,25312,0.0557330519240231,0.150340219936671,0.11225320177144,0.262199872746414,0.0899112257994475,0.0418546384315572,0.137250250761193,0.200390989611601,0.462590862358015,0.0618088831348124,-0.493495303925421
6242,6242,25311,0.0557708039099471,0.150251923378773,0.112163998083641,0.26210472633054,0.0899032660300879,0.041836547323313,0.137272452566701,0.200376039636751,0.462480765967291,0.0617286866937891,-0.493345109314186
6243,6243,25310,0.0558375996331359,0.150171890372019,0.112002881995868,0.262010931003089,0.0898881386797225,0.0418206407658351,0.137315879708186,0.200366719299651,0.46237765030274,0.0616442117034383,-0.493199756154459
6244,6244,25309,0.0558262729427491,0.150080118026612,0.112041258321192,0.261927020129957,0.0898922784874518,0.0418019369397317,0.13730035493159,0.200344392892979,0.462271413022936,0.0615826272369788,-0.493062726641425
6245,6245,25308,0.0555639441530635,0.150174857756858,0.112217047593821,0.261847325706832,0.0899583567748365,0.0418406728497013,0.137325627514155,0.200461843381615,0.462309169088447,0.0613854823252162,-0.493001910251055
6246,6246,25307,0.0557849703297026,0.150215415804088,0.111887643240565,0.261944207754073,0.0899051645716253,0.0418591098511135,0.137395941934967,0.200462245390222,0.462406453144295,0.0614819623638504,-0.49314743432622
6247,6247,25306,0.0557115626078502,0.150137970454207,0.112073630855411,0.261886348489762,0.0899246341927687,0.0418451843637268,0.137339796193277,0.200439716653134,0.462326065142896,0.0614466318366284,-0.49304938106121
6248,6248,25305,0.0557779334351066,0.15005787751963,0.111913504964387,0.26179256343693,0.0899095987508752,0.0418292370571878,0.137382965381975,0.20043031849905,0.462222881935981,0.0613622449378801,-0.492904004404921
6249,6249,25304,0.0559128434694498,0.150015290719138,0.111619193047105,0.261737730712141,0.0898776306375613,0.0418237985007738,0.137462362835055,0.200432610555863,0.462170341268003,0.0613051201562781,-0.492822901346142
6250,6250,25303,0.0558044467098623,0.149955201739525,0.11186885298875,0.261694074943762,0.0899057476408649,0.041815302990272,0.137392287627688,0.200417194444981,0.462111269388743,0.0612768804987809,-0.492749709638133
6251,6251,25302,0.0557648748956395,0.149867458062956,0.111978197616216,0.261621431766703,0.0899168718488974,0.0417980014238085,0.137356449896215,0.200393098220813,0.462014529987517,0.0612283335458901,-0.492628696760462
6252,6252,25301,0.055657403834523,0.149806881397365,0.11222642675473,0.261577498609253,0.0899447782980912,0.0417893470553937,0.137286602601196,0.200377426654083,0.461954925263336,0.06120007195517,-0.492554961240921
6253,6253,25300,0.0554271577665248,0.149859076192254,0.112479898591939,0.261526183254749,0.0900030398015559,0.0418152250827931,0.137264640574654,0.200450585171676,0.461976768426425,0.0610755980830727,-0.492514567467961
6254,6254,25299,0.0551872828901226,0.149923607610419,0.112713654645528,0.261467717823305,0.0900637043874705,0.0418448755729086,0.13725532042414,0.200536240172449,0.462003957995754,0.0609314776508562,-0.492469696821182
6255,6255,25298,0.0551936685161573,0.149831779794717,0.112705986087612,0.26137844135468,0.0900635041475563,0.0418259381717672,0.137253234551728,0.200516059595187,0.461894500949867,0.0608623817594924,-0.492325691829613
6256,6256,25297,0.0549597684968626,0.149888696220562,0.112951978604821,0.261324454019835,0.0901227265200249,0.0418533014074381,0.1372361118722,0.200594083863563,0.461918537883398,0.0607303701562718,-0.492283722961534
6257,6257,25296,0.0549189918184068,0.149801313838222,0.113064305756488,0.261252458534873,0.0901342027469036,0.0418361008044753,0.137199315040875,0.200569961071816,0.461822419606689,0.060682497463057,-0.492163668338218
6258,6258,25295,0.0549810803275582,0.149719920477498,0.11291443348977,0.261158217549941,0.0901202341887165,0.0418197361491076,0.137239459774034,0.200559700224841,0.461717917774782,0.0605985173251002,-0.492017176437332
6259,6259,25294,0.0548266741439492,0.149692955303955,0.113212280702016,0.261125769798912,0.0901598312258427,0.0418214911893497,0.137166821337531,0.200564733083958,0.46169050288287,0.0605610367149541,-0.491971021240348
6260,6260,25293,0.0548144152759505,0.14960151761736,0.113253145854877,0.261042505820749,0.0901642622411732,0.0418028082057494,0.137150411666741,0.200542276280293,0.461584782101042,0.0605002295404556,-0.49183489687127
