"feature_id","original_rank_index","baseMean","alpha_used","dispFit","dispersion","mean_trt","mean_untrt","baseMean_scoring","iod_nb","cv2_nb","log_baseMean","log_iod_nb","log_cv2_nb","filtered_rank_index","log_baseMean_smooth","log_iod_nb_smooth","log_cv2_nb_smooth"
"227970",15355,62.3605328408671,0.143908920263861,0.164071542976887,0.150458415175496,66.0943630877167,58.6267025940175,62.3605328408671,9.97423694820822,0.15994470370644,4.13293258874683,2.3000054634297,-1.83292712531714,15355,2.72533085559959,2.07196373193934,-0.653367123660253
"198689",15356,4.0601712568939,0.489559837732812,1.64244164532713,0.955881850011596,5.42213902618215,2.69820348760566,4.06017125689391,2.98769678169241,0.735854867357995,1.40122515422499,1.09450278343733,-0.306722370787661,15356,2.71493531829416,2.07891583672692,-0.636019481567238
"194842",15357,3.98844365412988,2.30152182232832,1.67088000845869,1.98975807543427,4.02116513163834,3.95572217662142,3.98844365412988,10.1794901071068,2.5522461866965,1.38340109318637,2.32037492215742,0.936973828971052,15357,2.6983133825881,2.07945780771907,-0.618855574869032
"397742",15358,6.36601349928067,0.177983178366273,1.06966701197965,0.507866799064367,4.17377300023211,8.55825399832923,6.36601349928067,2.13304331612457,0.335067356732058,1.85097344938556,0.757549746889473,-1.09342370249609,15358,2.66783711090226,2.06276009464112,-0.605077016261144
"425269",15359,107.873822072954,0.126356031437714,0.120632681732238,0.124341366894085,125.763964774335,89.9836793715736,107.873822072954,14.6305080531566,0.135626121073768,4.68096222997391,2.68310894123404,-1.99785328873988,15359,2.62897649647692,2.0345928830046,-0.594383613472319
"106222",15360,17.7929552026275,0.291535065632421,0.421957218482706,0.333382056892042,22.3451868737856,13.2407235314695,17.7929552026275,6.18727036279275,0.347737084274739,2.87880260382511,1.8224940141221,-1.056308589703,15360,2.62514741957839,2.02857746746928,-0.596569952109112
"223811",15361,13.3280134473264,0.13347968667927,0.542841096201844,0.27680362430096,16.2140771113725,10.4419497832803,13.3280134473264,2.77901905900623,0.208509622982388,2.58986809437704,1.02209800896147,-1.56777008541557,15361,2.6129884476615,2.04004376175002,-0.57294468591148
"461421",15362,43.6252765909671,0.304125350755454,0.208287366599387,0.271609696284767,34.8834965252978,52.3670566566363,43.6252765909671,14.2675525450316,0.327047841525565,3.77563672069658,2.65798790626978,-1.1176488144268,15362,2.61022523267249,2.04354922988042,-0.566676002792072
"438086",15363,1.65798114858434,10,3.93357055946136,5.98787607208101,1.02185519995224,2.29410709721644,1.65798114858434,17.5798114858434,10.6031431665275,0.505600686675208,2.86675116898244,2.36115048230723,15363,2.55861957507609,2.03622428451762,-0.522395290558469
"550176",15364,37.5231068265984,0.196357689319023,0.232221262345963,0.208000273746376,37.7218400934029,37.3243735597939,37.5231068265984,8.36795055254174,0.223007934583127,3.62495692525678,2.12440899819203,-1.50054792706476,15364,2.5028656603003,2.00706748839658,-0.495798171903721
"350921",15365,386.584722109495,0.129454415461673,0.0777226048009395,0.111800205384103,437.334180844617,335.835263374373,386.584722109495,51.0450992270979,0.132041170557796,5.95735104739401,3.93270954053324,-2.02464150686077,15365,2.44981137829832,1.98431071863154,-0.46550065966678
"468723",15366,103.820261439342,0.168314545022922,0.122956512949327,0.1528529080934,110.285775140147,97.3547477385378,103.820261439342,18.4744600683236,0.177946576248197,4.64266114859416,2.91638924141796,-1.7262719071762,15366,2.41439289679072,1.98321223674827,-0.431180660042449
"369578",15367,7.51831168603042,0.820405104129363,0.915090647245064,0.863232912152357,11.1603592767924,3.87626409526843,7.51831168603042,7.1680612816548,0.953413689269305,2.01734160291926,1.96963522497409,-0.0477063779451772,15367,2.38809052815094,1.97640565242807,-0.411684875722873
"565827",15368,7.69886508771819,0.420712805232939,0.895063239858886,0.594389936103292,10.108130894544,5.2895992808924,7.69886508771819,4.23901112816386,0.550602079639796,2.04107292679106,1.44433001755315,-0.596742909237907,15368,2.36724293875245,1.97997378683506,-0.387269151917389
