"percentile","center_rank_trt","iod_amplitude_trt","cv2_amplitude_trt","iod_center_trt","cv2_center_trt","local_fourier_score_trt","center_rank_ctrl","iod_amplitude_ctrl","cv2_amplitude_ctrl","iod_center_ctrl","cv2_center_ctrl","local_fourier_score_ctrl","combined_center_rank","combined_iod_amplitude","combined_cv2_amplitude","combined_center_distance","combined_center_agreement","combined_fourier_score","regime_difference","regime_direction"
0.33,10198,0.078801460148922,0.174536508960334,9512,10198,0.345714370326922,10235,0.0464888023250714,0.157790818503079,10235,10850.5,0.3047406283797,10216,0.125290262473993,0.332327327463413,650.75,0.0015343306482547,0.459766987845687,-0.20703706498942,"CV2_dominant"
0.34,10507,0.0594549074243909,0.290291781264418,11132.5,10507,0.482817043370989,10545,0.0482781860747397,0.177425859546415,11092.5,10964,0.350119396992574,10526,0.107733093499131,0.467717640810833,377,0.00264550264550265,0.63291722896011,-0.359984547311703,"CV2_dominant"
0.35,10816,0.053338477459286,0.189479715397588,11171,10686.5,0.316634415817919,10856,0.034232479075451,0.158529658516939,11162,10979.5,0.278348323845569,10836,0.087570956534737,0.348009373914527,333.5,0.00298953662182362,0.439771105547382,-0.26043841737979,"CV2_dominant"
0.36,11125,0.0640341542437762,0.214372967139407,11183,11125,0.391617602661024,11166,0.0311578240915671,0.151923635186178,11017.5,11142,0.261291977660102,11146,0.0951919783353433,0.366296602325585,33.25,0.0291970802919708,0.50080247077229,-0.271104623990242,"CV2_dominant"
0.37,11434,0.0820710189038482,0.126094486947697,12009,11434,0.278723268605861,11476,0.0383927735679655,0.154095579413807,11476,11152.5,0.278850374456193,11455,0.120463792471814,0.280190066361503,449.25,0.00222098833981122,0.380767442876286,-0.159726273889689,"CV2_dominant"
0.38,11743,0.119072947035869,0.120505135266663,10278,11475,0.345596177232657,11786,0.0372251985816355,0.315386737170661,11786,11786,1.55761265673083,11764,0.156298145617504,0.435891872437324,598.5,0.00166805671392827,0.643025588428014,-0.27959372681982,"CV2_dominant"
0.39,12052,0.0720765088744949,0.227344757498195,11128,12052,0.412156098095668,12096,0.0646803150625533,0.0516868396446535,12096,11775.5,0.165635466078132,12074,0.136756823937048,0.279031597142848,301.75,0.00330305532617671,0.399095283563396,-0.1422747732058,"CV2_dominant"
0.4,12361,0.139037018944504,0.224233253617859,11001.5,12361,0.545158070450629,12406,0.0568563484446584,0.0465275434638814,12828.5,11750.5,0.134216159589318,12384,0.195893367389162,0.27076079708174,140.75,0.00705467372134039,0.459663383824067,-0.0748674296925783,"CV2_dominant"
0.41,12670,0.0414040877759184,0.201029224038626,12885.5,14145,0.308400611860841,12717,0.0454385500616306,0.0769184978023208,12578.5,12717,0.164761681903483,12694,0.0868426378375489,0.277947721840947,699,0.00142857142857143,0.337804288893537,-0.191105084003398,"CV2_dominant"
0.42,12979,0.0436531126768503,0.220212263075973,12884,14404,0.342213110277705,13027,0.0565457998627545,0.068396720609041,13027,13857.5,0.172315157108359,13003,0.100198912539605,0.288608983685014,1175.25,0.000850159404888417,0.367862905963949,-0.188410071145409,"CV2_dominant"
0.43,13288,0.0348537164114643,0.133790329555764,12935.5,13288,0.194191628602247,13337,0.101672384639092,0.229292484911838,13337,14687,0.572072218159849,13312,0.136526101050557,0.363082814467602,851.25,0.00117336462305661,0.516139341295775,-0.226556713417045,"CV2_dominant"
0.44,13597,0.090199473339527,0.345251342537169,13597,13597,1.62860280675861,13647,0.0289067210321781,0.165766100264593,12140,13647,0.272643272070196,13622,0.119106194371705,0.511017442801762,753.5,0.00132538104705103,0.706315727088569,-0.391911248430057,"CV2_dominant"
0.45,13906,0.0484368659448582,0.168537708084498,14397,14185,0.277162803965817,13957,0.0459121641499379,0.200810860555009,13957,15379,0.37831336401664,13932,0.0943490300947961,0.369348568639508,605,0.00165016501650165,0.476615151417009,-0.274999538544712,"CV2_dominant"
0.46,14215,0.0482744619878532,0.574788719126839,14308.5,15644,0.893594813310552,14267,0.0770622712832025,0.13584063247594,14267,15421.5,0.343857470514457,14241,0.125336733271056,0.710629351602779,1245,0.000802568218298555,0.996676518224073,-0.585292618331724,"CV2_dominant"
0.47,14524,0.0441958450558185,0.144801734058513,14539,15566,0.228427525001664,14578,0.0458525810378972,0.163798325787917,14228.5,15465.5,0.312899403992174,14551,0.0900484260937157,0.308600059846429,1132,0.00088261253309797,0.384534102455347,-0.218551633752714,"CV2_dominant"
0.48,14833,0.117252424265975,0.393928864817736,14833,14833,1.75877263202065,14888,0.0422965242821691,0.316663204002332,14888,14888,1.5729109788482,14860,0.159548948548144,0.710592068820068,0,1,2.03549055865735,-0.551043120271924,"CV2_dominant"
0.49,15142,0.0607760325135543,0.321733623890086,15142,16500.5,0.53272137808881,15198,0.0600628620326119,0.162268321300485,15763.5,15553.5,0.350679393337759,15170,0.120838894546166,0.484001945190571,574.25,0.00173837461973055,0.670347346158463,-0.363163050644405,"CV2_dominant"
0.5,15452,0.0473913470939876,0.460922480765267,15376.5,15452,0.730120144597307,15508,0.0604574956285802,0.23080841956075,15853,16153.5,0.471316593598213,15480,0.107848842722568,0.691730900326017,188,0.00529100529100529,0.954031767385589,-0.583882057603449,"CV2_dominant"
0.51,15761,0.0432207266843663,0.178059393923716,15253.5,15431.5,0.281844825726314,15818,0.0616590836048718,0.166815561747692,15717,16307.5,0.359766958635408,15790,0.104879810289238,0.344874955671408,384.25,0.00259571706683971,0.454992992007093,-0.23999514538217,"CV2_dominant"
0.52,16070,0.082930608269574,0.418563416149097,16070,16070,1.72562519540927,16128,0.0834038651832298,0.198955531530133,16128,16307,0.476322512212112,16099,0.166334473452804,0.61751894767923,89.5,0.0110497237569061,0.922146319825458,-0.451184474226426,"CV2_dominant"
0.53,16379,0.398796308887118,0.161833042120408,16379,17459,0.985744694603629,16438,0.0408153790949445,0.181795513447894,15852.5,16272.5,0.33329449259917,16408,0.439611687982062,0.343628555568303,750,0.00133155792276964,0.840084388906147,0.0959831324137597,"IOD_dominant"
0.54,16688,0.184428559671088,0.26488085312988,16774.5,17216.5,0.7024035004429,16749,0.0568493246432968,0.396723628316422,16749,16749,1.75173257140946,16718,0.241277884314385,0.661604481446303,221,0.0045045045045045,1.06514703873057,-0.420326597131918,"CV2_dominant"
0.55,16997,0.217819654848859,0.437435155057191,18485,16997,1.03333177100076,17059,0.0454272310650767,0.177521472464649,16252.5,17059,0.33647165498147,17028,0.263246885913936,0.61495662752184,340.75,0.00292611558156547,1.02275294952597,-0.351709741607904,"CV2_dominant"
0.56,17306,0.249475507932505,0.367903484087023,18641.5,17950,0.993154665374808,17369,0.0494413307852297,0.180544417052464,17369,17369,1.35089663581746,17338,0.298916838717735,0.548447901139487,345.75,0.00288392213410238,0.969558157320592,-0.249531062421752,"CV2_dominant"
0.57,17615,0.291465892264425,0.688699838689992,16899,17615,1.56985486550991,17679,0.0373974100906758,0.0632510089007894,17666.5,17679,0.186847199768537,17647,0.328863302355101,0.751950847590782,364.25,0.0027378507871321,1.29332404180942,-0.423087545235681,"CV2_dominant"
