"dataset_name","feature_id","gene_symbol","lfc_shrunk","regulation_direction","lfdr","pvalue","wald_pvalue","padj","empirical_p","empirical_q","HBFSS","hc_wald_threshold_dataset","hc_empirical_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","hc_wald_pass","hc_empirical_pass","deseq2_strong_call","deseq2_weak_call_raw","deseq2_weak_call","standard_significant","HBFSS_significant","effect_class","baseMean.x","log2FoldChange","lfcSE","stat","lfcSE_shrunk","padj_strong_effect","padj_weak_effect","neglog10_wald_pvalue","neglog10_empirical_p","raw_lfc_pass","shrunk_lfc_pass","HBFSS_only_call","overlap_call","R8_1","R8_2","R8_3","R8_4","R8_5","ZT14_1","ZT14_2","ZT14_3","ZT14_4","ZT14_5","baseMean.y","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","hc_empirical_threshold_source","hc_wald_threshold_source"
"RT8_ZT14_raw_dataset","22207","Dctpp1",-0.0272215975754285,"downregulated",1,0.112973022809039,0.112973022809039,0.999580341370701,0.0713007462832931,0.770244126535152,0.0312206115334962,0.1214593269481,0.077886604890723,1.10853722682373,0.0543308300028239,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",72.3410908718188,-0.394983412565959,0.249205519623806,-1.5849705622982,0.0707888825579868,1,0.0543308300028239,0.94702525071053,1.14690592449568,FALSE,FALSE,FALSE,FALSE,72.8953762388836,60.6301745829439,71.5298639966569,58.9583671775815,46.1279742156701,95.0504801040854,62.1626121824525,95.0740393358489,94.910887498389,66.0711333856758,72.3410908718188,0.0259494409650959,0.149867039878297,0.0602114961704887,9,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT8_ZT14_raw_dataset","23781","Polr2l",-0.0309491639527833,"downregulated",0.872669354388751,0.0698814155010734,0.0698814155010734,0.999580341370701,0.0391440962529881,0.651906512192192,0.0435558023257087,0.1214593269481,0.077886604890723,1.10853722682373,0.0914575380848281,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",180.316641906451,-0.458961332294502,0.253195103783101,-1.81267854487293,0.0734170438489633,1,0.0914575380848281,1.15563830663588,1.40733372934269,FALSE,FALSE,FALSE,FALSE,162.712893390365,159.409672498976,160.942193992478,176.875101532744,97.0278078329613,300.220418865343,153.262992105012,150.942289254853,228.972516089863,212.800533501917,180.316641906451,0.0601491109423447,0.0967210308009978,0.0711121793326995,9,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT8_ZT14_raw_dataset","24546","Ndufv1",-0.0613657137743846,"downregulated",0.793278168581898,0.0480717989024056,0.0480717989024056,0.999580341370701,0.0244903224513582,0.575290954580552,0.0988605021999264,0.1214593269481,0.077886604890723,1.10853722682373,0.00047492350272244,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",544.066084326696,-0.317074278681569,0.160403175742035,-1.97673317385871,0.0994141143079625,1,0.00047492350272244,1.31810962576463,1.61100549670772,FALSE,FALSE,FALSE,FALSE,498.552305348079,424.411222080607,554.995105474061,473.038062238735,469.232841159403,773.154514992987,505.875050864096,568.483946544251,592.006660771201,580.911133793539,544.066084326696,0.0163142927077981,0.0729153303757881,0.0289815343304541,7,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT8_ZT14_raw_dataset","25176","Snx32",-0.0358370288095475,"downregulated",0.809628677762402,0.0530196931842164,0.0530196931842164,0.999580341370701,0.0276944643597932,0.594358613468716,0.0558200080134496,0.1214593269481,0.077886604890723,1.10853722682373,0.0703349649809235,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",225.008712600579,-0.457914209661351,0.236677465386996,-1.93476049319949,0.0768228029554205,1,0.0703349649809235,1.27556278978262,1.55760703015029,FALSE,FALSE,FALSE,FALSE,199.160581509807,164.859575832274,191.597849991045,216.63772125716,174.968178059438,395.270898969428,192.918451600715,297.963999568021,215.922269058835,200.787600159067,225.008712600579,0.0519042103705528,0.0896487185999938,0.0625540857420739,9,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT8_ZT14_raw_dataset","25394","Dpf2",-0.0288853793698799,"downregulated",1,0.0964013187279828,0.0964013187279828,0.999580341370701,0.0585119304263089,0.733414119918934,0.0356086124081134,0.1214593269481,0.077886604890723,1.10853722682373,0.0492717851805746,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",84.8454069431506,-0.401298758107656,0.241374562167075,-1.66255613062442,0.0716544823114674,1,0.0492717851805746,1.01591702509749,1.23275557340417,FALSE,FALSE,FALSE,FALSE,68.9902667975148,88.5609291660978,86.8576919959406,57.5872423594982,60.4435524205333,105.482849871607,78.7750344036252,78.4115788336898,103.215590154498,120.129333428502,84.8454069431506,0.0280782543168483,0.13678689227387,0.0577425255138953,10,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT8_ZT14_raw_dataset","25852","Rtn3",-0.0488745632661731,"downregulated",1,0.109585643772118,0.109585643772118,0.999580341370701,0.0686485507858263,0.763467224926379,0.0568591335407212,0.1214593269481,0.077886604890723,1.10853722682373,6.75318706277962e-06,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",963.117271197506,-0.228514563908629,0.142816395809671,-1.60005833092978,0.0810449555768699,1,6.75318706277962e-06,0.96024633671778,1.16336862656069,FALSE,FALSE,FALSE,FALSE,877.347921160849,767.07389416174,880.072790958868,1065.36398365072,847.800353688006,1040.91867235937,1160.72601713097,879.189827672747,1110.45738373115,1002.22186746064,963.117271197506,0.0117151389533363,0.0677807809044393,0.0234199689836134,6,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT8_ZT14_raw_dataset","26074","Asrgl1",0.2456689904474,"upregulated",0.362017079505486,0.00799439500481375,0.00799439500481375,0.817473138787002,0.00254371946310905,0.251860253247635,0.637395759133356,0.1214593269481,0.077886604890723,1.10853722682373,0.0202401410262928,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",322.316990174515,0.477135773291563,0.17989466313451,2.65230643854511,0.338532524079184,1,0.0202401410262928,2.09721439695998,2.59453078702592,FALSE,FALSE,FALSE,FALSE,466.009726670006,351.518764997742,345.514789483852,355.121327883572,357.889455121579,207.48824315404,233.645680271977,323.44776268897,294.223751245006,288.310400228404,322.316990174515,0.0207500678555988,0.0810341537623725,0.0356525156436886,6,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT8_ZT14_raw_dataset","28775","Ppp1r3c",0.0302848018513726,"upregulated",1,0.102504409952016,0.102504409952016,0.999580341370701,0.0631663256887061,0.748109470184951,0.0363270554607225,0.1214593269481,0.077886604890723,1.10853722682373,0.0300133343346282,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",108.08996758566,0.37414085999236,0.22913621348799,1.63283164322679,0.0722722314738582,1,0.0300133343346282,0.989257449958208,1.19951438477303,FALSE,FALSE,FALSE,FALSE,152.299268213382,118.535397499239,104.101498495135,124.772358445579,109.752766237284,85.7772625329551,64.8420351213513,118.597512985956,104.401976248228,97.8196000774941,108.08996758566,0.0292699657542561,0.120513664221363,0.0535734608639425,10,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT8_ZT14_raw_dataset","29901","Fbxw4",0.0382292670472774,"upregulated",1,0.0805509033485204,0.0805509033485204,0.999580341370701,0.0467564465749906,0.687344898972001,0.0508509845894485,0.1214593269481,0.077886604890723,1.10853722682373,0.00874456179514451,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",132.908347232261,0.348876888196758,0.199643597084918,1.74749850879697,0.0772213770748394,1,0.00874456179514451,1.09392958476583,1.33015850203359,FALSE,FALSE,FALSE,FALSE,127.566908418046,127.391490415848,136.673132993612,167.277227806161,187.693136463761,108.960306460781,104.497494617054,136.240118223536,103.215590154498,129.568066769312,132.908347232261,0.0153956474276259,0.109421868253918,0.04017483385229,9,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT8_ZT14_raw_dataset","32334","Fuca2",0.0281513117814216,"upregulated",1,0.120141541411074,0.120141541411074,0.999580341370701,0.076974009404108,0.783511992897688,0.0313508742166507,0.1214593269481,0.077886604890723,1.10853722682373,0.0300273333909432,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",63.0130988463588,0.362682337133163,0.233359321704054,1.55417977085619,0.0709660995563432,1,0.0300273333909432,0.920306800372438,1.11365589142246,FALSE,FALSE,FALSE,FALSE,71.5936730917607,60.6301745829439,73.4458424965674,91.8653628115804,57.2623128194526,47.5252400520427,56.8037663046549,57.8285393898462,61.6920768739528,51.4840000407864,63.0130988463588,0.00384045994032837,0.16300531546748,0.0493373620871705,11,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
