"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","nb1","nb2","alpha_mu","log_variance","log_mu","log_alpha","log_nb1","log_nb2","log_alpha_mu"
"147641","Lamc2",251,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"147691","Rgs8",252,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"147793","LOC120096284",253,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"148937","Prrx1",254,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"149240","Mael",255,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"150407","-",256,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"150666","Smyd3",257,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"150667","Smyd3",258,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"151833","Rps6kc1",259,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"151970","Lpgat1",260,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"153203","Ptpn13",261,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"153414","-",262,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"153852","-",263,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"154407","Dck",264,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"154567","LOC689849",265,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"154619","-",266,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"155235","-",267,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"155812","Usp46",268,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"156327","-",269,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"156551","Tmem33",270,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"157264","-",271,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"157269","-",272,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"157325","-",273,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"157836","-",274,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"157857","-",275,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"157972","Sel1l3",276,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"157973","-",277,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
