"percentile","rank_index","lo_rank","hi_rank","n_bin","iod_emp","cv2_emp","iod_nb","cv2_nb","iod_emp_scaled","cv2_emp_scaled","iod_nb_scaled","cv2_nb_scaled"
0.58,18316,18002,18316,315,10.3296511695326,0.779649300526641,12.6632088064537,1.53649997761171,0.282148524298705,0.26216997743605,0.27193665827653,0.281741387687978
0.59,18632,18317,18632,316,8.70227029206969,0.719101271190323,10.3691453670321,1.56830171170735,0.208465693676798,0.232245413535852,0.174251226123844,0.290297664715415
0.6,18948,18633,18948,316,20.5893605718194,1.34150447587286,25.4664955196721,2.66825678393102,0.746676798280423,0.539854838225074,0.817124107787892,0.586241284877023
0.61,19264,18949,19264,316,8.4798548468083,0.599906960855877,10.0501214910919,1.25643963191026,0.198395402322238,0.173336184032593,0.160666603897309,0.206390971417753
0.62,19580,19265,19580,316,11.3865482197922,1.48031510773994,18.0448217994398,2.8728823439064,0.330001591406437,0.608459013602283,0.501095617817302,0.641295923494476
0.63,19895,19581,19895,315,9.49075987998082,0.768119269654935,10.7703705414677,1.62769669914738,0.244166091510997,0.256471507157602,0.19133613052612,0.306277924315402
0.64,20211,19896,20211,316,9.10986647243227,0.846898523818686,11.2660810204698,1.85233449461765,0.226920402550245,0.295406462614841,0.212444392630741,0.366716867773518
0.65,20527,20212,20527,316,7.68230022698669,0.66255021226795,9.79389104660399,1.31743655728174,0.162284567558311,0.204296266472012,0.149755841243427,0.222802233449274
0.66,20843,20528,20843,316,7.16119201240745,1.88480857674809,8.95155597827633,3.39090004289643,0.138690380824111,0.808371228635962,0.113887667873427,0.78066891882689
0.67,21159,20844,21159,316,7.71671427081856,0.448233766504216,10.4079797495631,1.19213471103162,0.163842730246466,0.0983749632286481,0.175904865415038,0.18908969106586
0.68,21474,21160,21474,315,6.60944299960137,0.625803417847991,8.54529576961755,1.49217034962328,0.113708872426534,0.186134952060943,0.0965883624717943,0.269814472745177
0.69,21790,21475,21790,316,5.89857774041925,1.75759663148307,7.83872246458284,3.60323546051987,0.0815230668706928,0.745499455158299,0.066501174182323,0.837797899606962
0.7,22106,21791,22106,316,5.77348246313198,1.69799160748151,7.32816243132989,3.3459617993421,0.0758591351779914,0.716040951404197,0.0447605908003827,0.768578255474353
0.71,22422,22107,22422,316,6.68160755079749,0.385653370731876,9.24886083733493,0.938816488365063,0.116976262670777,0.0674459458400371,0.126547454494479,0.120934260210588
0.72,22738,22423,22738,316,5.04588126704235,1.70273257597929,7.64084988371587,3.35431114657676,0.0429155775669724,0.718384073324358,0.0580753964810614,0.770824652721847
0.73,23053,22739,23053,315,6.12418728225235,0.589877738371537,8.61256722454105,1.62292124686376,0.0917379771524768,0.168379456086339,0.0994529045035523,0.3049930858048
0.74,23369,23054,23369,316,5.13983885502023,1.58799982283682,6.90277572606066,3.02664450208659,0.0471696898872607,0.661679872700639,0.0266468440651526,0.682665731120994
0.75,23685,23370,23685,316,4.40936038401117,1.86314521677443,6.30176223265141,3.37674783367822,0.0140958580647912,0.79766457795004,0.0010545863165689,0.776861257827742
0.76,24001,23686,24001,316,4.99397409431858,1.26433537200373,7.63748800657302,2.59128074716568,0.0405653794856044,0.50171566499078,0.0579322415813755,0.565530832640118
0.77,24317,24002,24317,316,5.52159959709265,1.40022320609527,8.21021595181436,2.77101315040079,0.0644546491034891,0.568875310302189,0.0823200487690126,0.613887951414265
0.78,24632,24318,24632,315,6.58745644737294,0.440742530316675,9.01549734082149,1.12326452109651,0.112713388562712,0.0946725805344009,0.116610408459115,0.170560122135912
0.79,24948,24633,24948,316,5.67693310487031,0.270237287774904,7.78604893308522,0.557449632961112,0.0714876754232597,0.0104040241224487,0.0642582385254734,0.0183272622995475
0.8,25264,24949,25264,316,5.29934587420275,0.327220015483675,8.00482171706868,0.75321449221507,0.0543916800434643,0.0385665142186525,0.0735739852391124,0.0709979236847634
0.81,25580,25265,25580,316,5.06710891077563,0.491846068380944,7.56502709634865,1.13570867424468,0.0438767003743999,0.119929407339384,0.054846723017325,0.173908229550034
0.82,25896,25581,25896,316,7.89244683786311,0.333651362663139,9.82658611037125,0.74772916077525,0.171799363602317,0.0417450695200519,0.151148057072546,0.0695220917302775
0.83,26211,25897,26211,315,6.45092445747681,0.31030085590567,8.16827888833282,0.6385685305613,0.106531637489372,0.0302045827490521,0.0805342916277708,0.0401523539105951
0.84,26527,26212,26527,316,5.03971534705412,0.384044425810469,9.32197876853734,0.991192934559355,0.0426364035614196,0.066650759346929,0.129660950217779,0.135026176770964
0.85,26843,26528,26843,316,5.03365815505055,0.288690900994393,7.22291005276403,0.638198512980517,0.0423621524265905,0.0195243263689315,0.0402787513234862,0.0400528004423259
0.86,27159,26844,27159,316,5.41254093096767,0.306926156195939,8.15076497779715,0.651804633589569,0.0595168061343215,0.0285367098518699,0.0797885171692444,0.0437135359496934
0.87,27475,27160,27475,316,4.11690337134415,0.339591255872946,6.81887204049263,0.798500966044647,0.000854298681269042,0.0446807342454866,0.0230740711230134,0.0831822786169923
