"index","rank","d1_here","d2_here","var_fit_here"
11916,11916,-0.000363313713882703,9.29780486654833e-09,6.01540378644567
12686,12686,0.000650248775939308,3.0216594537313e-10,6.07742406970874
13332,13332,-2.13432301932555e-05,-4.59531204569968e-09,6.26398932150072
13334,13334,-2.1340803385652e-05,7.02211964915623e-09,6.26394663359466
13607,13607,5.38976628877149e-05,9.84267047301745e-09,6.26892917471919
13610,13610,5.39041912650352e-05,-5.49041892615775e-09,6.26909088900023
14191,14191,-0.00025303958837242,-9.97912114965072e-09,6.21643440491637
14193,14193,-0.000253040783014365,8.78447920481086e-09,6.21592831829045
14726,14726,0.000405932883579468,3.09433103520861e-09,6.25091776917368
14727,14727,0.000405929653751306,-9.55398735872127e-09,6.25132370149637
15829,15829,-0.000347182324614974,-6.84622758328843e-09,6.26937179434077
15831,15831,-0.000347179893256493,9.27758606418721e-09,6.26867742674829
16334,16334,9.06415604895279e-05,9.31436469578099e-09,6.20290146870089
16336,16336,9.06438965481574e-05,-6.97830606626829e-09,6.20308275958882
17093,17093,-0.000251791033353615,-7.91825704504116e-09,6.15273182339719
17096,17096,-0.000251791459711127,7.63401870362883e-09,6.15197643799339
18327,18327,0.000184269594373983,6.84011611020561e-09,6.10395998972578
18331,18331,0.000184267056779608,-8.10891329763564e-09,6.10469708296013
18360,18360,0.000183273168079799,-8.11784286159508e-09,6.11002629041295
18365,18365,0.000183276172759961,9.31971492623354e-09,6.1109426274368
18692,18692,0.000272981941289001,8.79292544265635e-09,6.18540959734253
18695,18695,0.000272985094509753,-6.69077827474049e-09,6.186228559509
19495,19495,-0.000295243183084461,-8.48138255802346e-09,6.13871615017411
19503,19503,-0.000295239979004264,9.28240260719096e-09,6.13635412278557
19795,19795,-0.00026793149280479,9.59366854238941e-09,6.05469086519653
19819,19819,-0.000267932391957411,-9.66859792750585e-09,6.04826142316818
19920,19920,-0.000271645103982068,-8.46098216456714e-09,6.02102804986387
19930,19930,-0.000271645192534884,8.44327160138831e-09,6.01831145751251
20816,20816,-1.15119992391469e-05,6.82108114581726e-09,5.89048189430802
20819,20819,-1.15129598432588e-05,-7.46148388711151e-09,5.89044736758132
21276,21276,-0.000240228613946461,-9.51083838247328e-09,5.8333459428866
21283,21283,-0.000240227431083071,9.8487993512495e-09,5.83166426767714
22665,22665,0.000425831452490353,9.05891982613904e-09,5.84621896538603
22667,22667,0.000425834930453909,-5.58095627037697e-09,5.84707063664893
23498,23498,-0.000156282135472837,-8.73328020432407e-09,5.93696083928676
23502,23502,-0.00015628371666668,7.94268328291892e-09,5.93633568534786
23763,23763,-0.000106240690696386,8.41463504067413e-09,5.90263941713443
23768,23768,-0.000106236996038151,-6.93677174647008e-09,5.90210825489969
24314,24314,-0.000372549628865875,-7.40703208936953e-09,5.7817693233477
24316,24316,-0.000372548671205236,8.36469272830057e-09,5.78102421979039
24653,24653,-0.000224701230463312,7.63757614119204e-09,5.68067072914857
24656,24656,-0.000224702655772232,-8.58778208764058e-09,5.67999663548823
25228,25228,-0.000433144971289139,-7.91964582762506e-09,5.488653359073
25233,25233,-0.00043314251997548,8.90017129113196e-09,5.48648760530356
26372,26372,9.3552480461296e-05,9.50703165136649e-09,5.26683112993341
26388,26388,9.35525689646068e-05,-9.49596873751943e-09,5.26832837572616
27547,27547,-0.000385049863319433,-9.56072335489932e-09,5.07355078003092
27559,27559,-0.00038504815529201,9.84539459207616e-09,5.06892995904583
28211,28211,-0.000284590278679393,9.85125120508787e-09,4.85257658842799
29041,29041,3.350254653165e-05,9.97492039031437e-09,4.747652171969
29061,29061,3.35031277262713e-05,-9.91680092819211e-09,4.74832289176896
29497,29497,1.60002048743372e-06,-9.54793167961416e-09,4.75568588848631
29522,29522,1.59991900266554e-06,9.5398128981602e-09,4.75572489357657
31740,31740,0.00128100475413314,6.92706330680259e-09,5.6977646409722
31744,31744,0.00128100421916151,-7.19454912345037e-09,5.7028886777476
