"rank_index","n_lead","n_rem","lead_mean_abs","lead_sd_dev","lead_skew_abs","lead_distortion","rem_mean_abs","rem_sd_dev","rem_skew_abs","rem_distortion","total_distortion","split_score"
6565,6565,24969,0.00199129677385885,0.222084448535246,0.1023301590831,0.275240824850655,0.0222614063126842,0.250598451566086,0.0609523072418599,0.3033360114997,0.578576836350355,-0.578576836350355
6590,6590,24944,0.00260972458604143,0.221608548089152,0.104982179389085,0.276709362369736,0.0221183383787597,0.250754065189369,0.0600778197644006,0.302911313450329,0.579620675820065,-0.579620675820065
6615,6615,24919,0.00365609102448001,0.221496203332604,0.104084878300841,0.277194733507504,0.0218601418762735,0.250808119805474,0.0602101104196453,0.30277331689157,0.579968050399075,-0.579968050399075
6640,6640,24894,0.00325874775095869,0.221499589583673,0.102435488479052,0.275976081574158,0.0219844071854836,0.25084003166928,0.0606948528445978,0.303171865277062,0.57914794685122,-0.57914794685122
6665,6665,24869,0.00370957812236921,0.221162476000046,0.105673444046201,0.277708776145516,0.0218824069868593,0.250961269983556,0.0596395429288723,0.302663448434852,0.580372224580368,-0.580372224580368
6690,6690,24844,0.00348308548371925,0.221511035249178,0.106462400930859,0.278225321198326,0.0219616839339765,0.250896009797734,0.0593755661215594,0.30254547679249,0.580770797990817,-0.580770797990817
6715,6715,24819,0.00215505387781487,0.221817058233941,0.107935980919278,0.277940102571395,0.0223396079919524,0.250849680540821,0.0589986824669303,0.302688629766239,0.580628732337634,-0.580628732337634
6740,6740,24794,0.00284422443820647,0.221520192588374,0.10874546836475,0.278737151208955,0.022172616150209,0.25095869619579,0.0586412407467673,0.302451932719382,0.581189083928338,-0.581189083928338
6765,6765,24769,0.0026328462478511,0.221886801751197,0.108734991860671,0.278887143929384,0.022249857187415,0.250886722245186,0.0586137526981474,0.302443455781675,0.581330599711058,-0.581330599711058
6790,6790,24744,0.00242718874831076,0.221871482815005,0.10778466911349,0.278191006120061,0.0223261116206258,0.250922706440891,0.0588738386812064,0.30268573740212,0.58087674352218,-0.58087674352218
6815,6815,24719,0.00313896390599874,0.221646294041319,0.109146617455679,0.279358566675157,0.022150001153866,0.251012326919832,0.058338817600762,0.302331736874079,0.581690303549236,-0.581690303549236
6840,6840,24694,0.00319935794287384,0.221927121514242,0.106843223453393,0.278548091183812,0.022152519203553,0.25096164973082,0.0589982822921151,0.302613310080431,0.581161401264243,-0.581161401264243
6865,6865,24669,0.00505887235076143,0.221469032186532,0.104790604652065,0.278923206863325,0.0216542526593627,0.251112062788069,0.0594197383485115,0.302476184621687,0.581399391485013,-0.581399391485013
6890,6890,24644,0.0049852686745287,0.221682603739956,0.104150092539917,0.278742918684444,0.0216916659785056,0.251081316475219,0.0595824182270698,0.302564191567259,0.581307110251703,-0.581307110251703
6915,6915,24619,0.00524776852712625,0.22200076012757,0.102776691060028,0.27863687418471,0.021634899800021,0.251017476259462,0.0599470047481101,0.302625878433538,0.581262752618248,-0.581262752618248
6940,6940,24594,0.00427323364224391,0.221765601953827,0.101579562219913,0.276828616706028,0.0219265542841596,0.25112291850799,0.0603716581786303,0.303235301881465,0.580063918587492,-0.580063918587492
6965,6965,24569,0.00407515950132305,0.221733631036397,0.0985696776860277,0.275093629380734,0.0220006687946225,0.251164343146716,0.0613066774213697,0.303818350652024,0.578911980032758,-0.578911980032758
6990,6990,24544,0.00369101982987999,0.221305203903149,0.100950390873641,0.275471419169849,0.022128328264787,0.2513246356154,0.0605470959393501,0.303726511849862,0.579197931019711,-0.579197931019711
7015,7015,24519,0.00292221110460147,0.221054326868199,0.100982261323628,0.274467668634615,0.0223670870199851,0.251436326321225,0.0605728018620687,0.304089814272244,0.578557482906859,-0.578557482906859
7040,7040,24494,0.00301651311584368,0.220564245603536,0.108309577483945,0.277735547461352,0.0223598295585145,0.251614149217451,0.0581486123977619,0.303048284974846,0.580783832436198,-0.580783832436198
7065,7065,24469,0.0026269303768684,0.220999995591227,0.107343803438994,0.277298827687592,0.0224920779120201,0.251518756889049,0.0584517212367772,0.303236695419458,0.58053552310705,-0.58053552310705
7090,7090,24444,0.00342161207669324,0.221495217361757,0.106761163991037,0.278297411433969,0.0222818969038635,0.251395487576148,0.0585150344558967,0.30293490170796,0.581232313141929,-0.581232313141929
7115,7115,24419,0.00303928955782015,0.221813931554512,0.106237663159616,0.277972052692141,0.0224126038059668,0.251333260270275,0.0586746316715608,0.303083179912022,0.581055232604162,-0.581055232604162
7140,7140,24394,0.00338329559803337,0.221978151476165,0.107511365254757,0.279117129701577,0.022331769573331,0.251311838336876,0.0581747988293476,0.302731007324881,0.581848137026457,-0.581848137026457
7165,7165,24369,0.00383680203191589,0.221642488990892,0.105525105212661,0.278241843629138,0.0222178682335392,0.251442024520638,0.0587350530045437,0.303027419256449,0.581269262885587,-0.581269262885587
7190,7190,24344,0.00398220395576466,0.222447829891687,0.105860210922381,0.279360139308642,0.0221938001601974,0.251225276458367,0.0585642693432539,0.302701211290191,0.582061350598834,-0.582061350598834
7215,7215,24319,0.00436662699490092,0.222031939905216,0.103990806686265,0.278393970243249,0.0220984704870095,0.251381085439021,0.059099255519324,0.303029183685692,0.581423153928941,-0.581423153928941
7240,7240,24294,0.00426574641990493,0.222407731607154,0.103164772161575,0.278255864107847,0.0221467816523291,0.25129647427626,0.0593393968093759,0.303112954333277,0.581368818441124,-0.581368818441124
7265,7265,24269,0.00384999329419435,0.223150615736424,0.103833812833534,0.278917515447385,0.0222896582578381,0.251099242382604,0.0591098604587456,0.302943830869814,0.581861346317199,-0.581861346317199
7290,7290,24244,0.00393721456505855,0.222365331009363,0.103849246194564,0.278227168671703,0.022282446104707,0.251373283653021,0.0590509720440719,0.303181215779764,0.581408384451468,-0.581408384451468
7315,7315,24219,0.00322965511510383,0.222995991453631,0.105433596281103,0.278942444709287,0.0225150910596973,0.251211668592674,0.0585376569299938,0.302995588117368,0.581938032826655,-0.581938032826655
7340,7340,24194,0.00278373492850507,0.221130472618861,0.126876772055156,0.287352593574944,0.0226703026852347,0.251833369017932,0.0511976285747016,0.300102485990517,0.587455079565461,-0.587455079565461
7365,7365,24169,0.00340933429234155,0.221108402179062,0.12508543984227,0.287060456392539,0.0225002346178451,0.251868087282695,0.0516657686357225,0.300201206218401,0.58726166261094,-0.58726166261094
7390,7390,24144,0.00391944252849198,0.221427178731449,0.123247167008816,0.286970204764349,0.0223638683422895,0.251795378113845,0.0521787680486469,0.300248630480458,0.587218835244807,-0.587218835244807
7415,7415,24119,0.00466247463475969,0.220992194649419,0.118155352968611,0.284732345768485,0.0221545531790311,0.251961443594013,0.0537760155435054,0.301004004544797,0.585736350313282,-0.585736350313282
