"percentile","rank_index","mu","variance","iod_emp","cv2_emp","iod_nb_gw","cv2_nb_gw","iod_nb_fit","cv2_nb_fit","iod_nb_final","cv2_nb_final","alpha_gene_wise","alpha_fitted","alpha_final","diff_emp","diff_nb_gw","diff_nb_fit","diff_nb_final"
0.46,14527,17.9034618178049,61.7533371895845,7.9568057083495,0.708325454429519,14.5737572389117,1.08790658889736,18.1615117749472,1.99922802585894,15.4091084336208,1.42760582280784,0.819716536442313,1.75873256450004,1.20505744821789,7.24848025391998,13.4858506500144,16.1622837490882,13.9815026108129
0.47,14843,25.306444209672,88.7116636091724,8.27023682808024,0.53028867826678,12.926061361978,0.654625705580068,18.1324200677724,1.32428571116216,14.0696991661495,0.866509498037013,0.519300888358423,1.16061486328062,0.709694947580187,7.73994814981346,12.2714356563979,16.8081343566103,13.2031896681124
0.48,15158,17.1458193416421,55.8689434508475,7.21624025621666,1.1980272673938,13.0259579302905,2.38044036207373,17.4013398933056,3.45870627602236,14.3087762631039,3.03035074831657,1.68252345863974,2.82758632261035,2.28684520004267,6.01821298882286,10.6455175682167,13.9426336172833,11.2784255147873
0.49,15474,35.3918868565918,134.079737467493,9.15474231538627,0.380703405765287,12.8041598300584,0.485154514632776,18.8728146537772,0.97199798278203,14.9721314751731,0.639737174721795,0.364538520895455,0.858817670566915,0.535338661288691,8.77403890962098,12.3190053154256,17.9008166709951,14.3323943004513
0.5,15790,24.5713963133894,71.7385983144171,7.22059010121213,0.503299931552275,12.4626879266786,0.631317215716348,18.1669164398691,1.31819192857759,14.1929039433436,0.888616545749752,0.479287986223673,1.14354434130108,0.728791867945714,6.71729016965986,11.8313707109623,16.8487245112915,13.3042873975939
0.51,16106,14.5646743400472,45.775626335562,6.61618047161088,5.23887081948153,12.0468480513012,5.61570288410527,16.3924724190553,5.52958363035647,12.9505503291292,5.5239116410862,4.01788496252962,3.89910903642724,3.99385632190507,1.37730965212934,6.43114516719596,10.8628887886989,7.42663868804297
0.52,16422,34.054256837141,112.017641064888,8.87250190977635,0.401848196910124,12.2678873349176,0.528946754265908,18.4990598304223,1.02015411421195,14.428213477033,0.687035006276227,0.399680591915633,0.893969522595452,0.565831934349086,8.47065371286623,11.7389405806517,17.4789057162103,13.7411784707568
0.53,16737,37.1348912367507,145.764935884795,8.31332393254635,0.360321047606069,11.7328149853893,0.411544472530948,19.2970553906031,0.901317039376722,14.1679519933904,0.621822727505802,0.321867232109348,0.782606363343149,0.48033502986308,7.95300288494028,11.3212705128583,18.3957383512264,13.5461292658846
0.54,17053,26.9443742092296,76.5497884891609,8.35324062004594,0.43141522805589,12.0739571297209,0.625920589435132,18.1834372887909,1.29612174580123,13.8089207387973,0.904308263728838,0.470058570696573,1.13238550775994,0.738803097682085,7.92182539199005,11.4480365402858,16.8873155429897,12.9046124750685
0.55,17369,17.8605862739903,56.1583917302894,6.8601807797104,3.69061828750551,12.5940840886163,3.51668773268863,17.579017682842,3.77530770890895,13.8088083052028,3.68133875699093,2.49880419611809,2.71190399805494,2.55823282490824,3.16956249220489,9.07739635592772,13.803709973933,10.1274695482119
0.56,17685,34.6254940045863,105.928413843796,8.59568429716927,0.355997302983606,11.6580106786152,0.494583641076808,18.9001640288701,1.04730794833258,13.9903474625476,0.694739970193269,0.354361379203417,0.911472155528626,0.550983633263288,8.23968699418566,11.1634270375384,17.8528560805375,13.2956074923543
0.57,18001,28.5334534764855,78.6002717498403,7.42407515254831,0.419006643683608,10.7431440539545,0.577195125126067,18.4051385249638,1.24103199997804,13.6252298707911,0.847356159478114,0.407075466316414,1.09259909330103,0.671444116014504,7.0050685088647,10.1659489288284,17.1641065249857,12.777873711313
0.58,18316,18.9550709968698,51.6260838790673,6.20305520214856,5.16274938931585,9.54945871991793,2.83289252408836,16.1273594541795,6.54945414636816,11.7241639785671,6.40037591850912,1.16323944827144,3.91152359267029,3.8442033741269,1.04030581283271,6.71656619582957,9.57790530781134,5.32378806005797
0.59,18632,31.2815046445611,95.9658265078595,7.4821632393754,0.328722002072421,11.507613560761,0.440859556542311,18.6209433869138,1.05828144636454,13.8411364628338,0.687544995856464,0.305571202787512,0.929070413643102,0.532040822476854,7.15344123730298,11.0667540042187,17.5626619405493,13.1535914669773
0.6,18948,14.4217831513667,35.5722105233083,7.78074218174546,0.785815807735734,13.4358934145703,1.49200734000949,17.7699119578672,2.29330450646509,13.5761657904381,1.89168816835028,1.1856077390442,2.0128606170719,1.5539621671915,6.99492637400972,11.9438860745608,15.4766074514022,11.6844776220878
0.61,19264,29.4873882740786,78.2083597651588,7.78619752987984,0.355005013559726,10.8659019203535,0.486752874370063,18.2929292980396,1.17840494437473,13.2857622224967,0.74261457536576,0.346557495928634,1.03707736756442,0.570550786673256,7.43119251632012,10.3791490459834,17.1145243536649,12.5431476471309
0.62,19580,9.24490536970405,23.2841559728543,5.60768823311857,5.3123122418556,10.8417108963607,4.10694717395579,15.7355432086634,6.46600776950019,12.3886414586345,5.38447999526545,2.36306777630649,4.24611678017776,3.45582870945373,0.295375991262974,6.73476372240491,9.26953543916323,7.00416146336909
0.63,19895,35.2193692654563,97.526951466213,6.50944506975475,0.315468170230747,10.8992191153466,0.426460293690645,19.1648386143593,1.00924068152339,13.0158224556278,0.630080878723125,0.312641155344982,0.8935669181547,0.520212639088574,6.19397689952401,10.4727588216559,18.1555979328359,12.3857415769047
0.64,20211,37.4923665531058,119.528780044023,7.83644450857377,0.292049650606549,10.553715767705,0.40980016797134,19.2532028543271,0.98213998228408,13.7296406046491,0.627335160549654,0.292954198872315,0.856340565947022,0.533616741093122,7.54439485796722,10.1439155997337,18.271062872043,13.1023054440994
0.65,20527,43.1701453013904,115.344717256795,6.71940739316505,0.255297151212831,10.6662116688651,0.373054876577143,19.2228415195948,0.850702380485549,13.7575391269394,0.550279275915082,0.261495897971835,0.747682062344847,0.438118833085085,6.46411024195222,10.293156792288,18.3721391391093,13.2072598510243
0.66,20843,35.020908626316,104.845659131971,7.15857157837648,0.419635165381675,10.9701228850945,0.693004334911385,18.7175013861136,1.32785047374453,13.2761550240094,1.01530973145394,0.509812814029793,1.15862014419707,0.817015353518426,6.73893641299481,10.2771185501831,17.3896509123691,12.2608452925555
0.67,21159,33.9698782968519,102.128478035729,6.77777604295224,0.273801886893461,10.783175324503,0.398428309625168,19.2393060458972,1.01581142063575,13.7445174551318,0.621351524671375,0.279816045696321,0.878275968112932,0.487924703599774,6.50397415605878,10.3847470148778,18.2234946252614,13.1231659304604
0.68,21474,40.7397624716646,117.521347078686,6.77049445222153,0.264536051672076,10.5705484204398,0.399034034626584,19.1304048248814,0.925167733527594,13.4857483797839,0.612314038307861,0.293547465954068,0.825491732083285,0.505573025268339,6.50595840054945,10.1715143858132,18.2052370913538,12.8734343414761
0.69,21790,31.9000109532412,84.2020609809359,7.96256421489396,0.392187580558,10.5723268963386,0.63363403771309,18.7725707019847,1.29847972443437,13.3114255583083,0.836640467883011,0.473313412052514,1.15017720043568,0.687379448408375,7.57037663433596,9.9386928586255,17.4740909775503,12.4747850904253
0.7,22106,45.3122859302911,130.421600350209,5.67581605603669,0.395430512073582,10.4337239409868,0.53618824641049,18.914934378842,1.27954548952287,12.4422378104116,0.81600634294942,0.389059734419645,1.11807968622093,0.645265992765614,5.28038554396311,9.89753569457632,17.6353888893192,11.6262314674622
0.71,22422,45.1435488992492,115.636136437196,6.70122933975414,0.228179876919718,10.1322362924612,0.347666174406951,19.186440361041,0.781881095230988,13.3072435968019,0.523888801903818,0.242955125642322,0.693078128741788,0.422411678745595,6.47304946283442,9.78457011805426,18.40455926581,12.7833547948981
0.72,22738,35.2824621935896,84.5408832127229,6.73208266246392,0.33747582579685,10.1406387455394,0.566317081655323,18.7651451889501,1.19500822071432,12.6699276237914,0.834355496766841,0.412990769255835,1.03556422758244,0.675629104551295,6.39460683666707,9.57432166388413,17.5701369682357,11.8355721270246
0.73,23053,41.4100620283814,107.575342261669,6.01869076267988,0.253946824789966,10.8891721705189,0.397983441331069,19.5010526534458,0.926712345260154,13.8059401509867,0.593656009275626,0.267089776840616,0.815417385237489,0.470893210122292,5.76474393788992,10.4911887291878,18.5743403081857,13.212284141711
0.74,23369,35.6805816070714,79.0083489590256,5.59940008560393,0.459112289858318,9.18860516245122,0.697998779452027,18.4509692869584,1.50451231750225,11.7392735955625,1.1248897087387,0.313512160248447,1.35101333566014,0.881130179320831,5.14028779574561,8.49060638299919,16.9464569694561,10.6143838868238
0.75,23685,36.9367831232089,96.5923943283573,5.15170440673062,0.476772600957602,9.18840519141732,0.68122736248892,18.4744132591946,1.46068048923081,11.4015754015594,1.01099116906234,0.328290947201478,1.2144037832136,0.800927409948409,4.67493180577302,8.5071778289284,17.0137327699638,10.390584232497
