"rank","feature_id","mu","empirical_variance.x","NB2","NB2_NB1","alpha_mu","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d2_spline"
130,"52869",0,0,0,0,0,0,0,0,-0.0926651832341256,6.30207083316867e-08
131,"52948",0,0,0,0,0,0,0,0,-0.0929257320971328,6.36316926462364e-08
132,"53311",0,0,0,0,0,0,0,0,-0.0931862173284475,6.4242676960786e-08
133,"53450",0,0,0,0,0,0,0,0,-0.0934466383170851,6.48536612753358e-08
134,"54190",0,0,0,0,0,0,0,0,-0.0937069944520615,6.54646455898855e-08
135,"54469",0,0,0,0,0,0,0,0,-0.0939672851223923,6.60756299044352e-08
136,"54850",0,0,0,0,0,0,0,0,-0.0942275097170931,6.66866142189849e-08
137,"55080",0,0,0,0,0,0,0,0,-0.0944876676251798,6.72975985335346e-08
138,"55738",0,0,0,0,0,0,0,0,-0.0947477582356679,6.79085828480843e-08
139,"56078",0,0,0,0,0,0,0,0,-0.0950077809375732,6.8519567162634e-08
140,"56217",0,0,0,0,0,0,0,0,-0.0952677351199113,6.91305514771837e-08
141,"56299",0,0,0,0,0,0,0,0,-0.095527620171698,6.97415357917334e-08
142,"57342",0,0,0,0,0,0,0,0,-0.0957874354819488,7.03525201062831e-08
143,"57482",0,0,0,0,0,0,0,0,-0.0960471804396795,7.09635044208328e-08
144,"57487",0,0,0,0,0,0,0,0,-0.0963068544339059,7.15744887353825e-08
145,"59338",0,0,0,0,0,0,0,0,-0.0965664568536434,7.21854730499322e-08
146,"59543",0,0,0,0,0,0,0,0,-0.096825987087908,7.27964573644819e-08
147,"60018",0,0,0,0,0,0,0,0,-0.0970854445257152,7.34074416790316e-08
148,"60551",0,0,0,0,0,0,0,0,-0.0973448285560806,7.40184259935813e-08
149,"60651",0,0,0,0,0,0,0,0,-0.0976041385680201,7.4629410308131e-08
150,"60661",0,0,0,0,0,0,0,0,-0.0978633739505493,7.52403946226807e-08
151,"60764",0,0,0,0,0,0,0,0,-0.0981225340926839,7.58513789372304e-08
152,"61340",0,0,0,0,0,0,0,0,-0.0983816183834395,7.64623632517801e-08
153,"61418",0,0,0,0,0,0,0,0,-0.0986406262118319,7.70733475663298e-08
154,"61768",0,0,0,0,0,0,0,0,-0.0988995569668767,7.76843318808796e-08
155,"62254",0,0,0,0,0,0,0,0,-0.0991584100375896,7.82953161954293e-08
156,"62662",0,0,0,0,0,0,0,0,-0.0994171845190974,8.06696342522249e-08
157,"63502",0,0,0,0,0,0,0,0,-0.0996758783309709,8.30439523090206e-08
158,"64538",0,0,0,0,0,0,0,0,-0.0999344890988921,8.54182703658162e-08
159,"65114",0,0,0,0,0,0,0,0,-0.100193014448543,8.77925884226119e-08
160,"65138",0,0,0,0,0,0,0,0,-0.100451452005605,9.01669064794076e-08
161,"65149",0,0,0,0,0,0,0,0,-0.100709799395761,9.25412245362032e-08
162,"65155",0,0,0,0,0,0,0,0,-0.100968054244693,9.49155425929989e-08
163,"65774",0,0,0,0,0,0,0,0,-0.101226214178082,9.72898606497945e-08
164,"66062",0,0,0,0,0,0,0,0,-0.10148427682161,9.96641787065902e-08
165,"66239",0,0,0,0,0,0,0,0,-0.101742239800959,1.02038496763386e-07
166,"66344",0,0,0,0,0,0,0,0,-0.102000100741812,1.04412814820182e-07
167,"68733",0,0,0,0,0,0,0,0,-0.10225785726985,1.06787132876977e-07
168,"68826",0,0,0,0,0,0,0,0,-0.102515507010755,1.09161450933773e-07
169,"68944",0,0,0,0,0,0,0,0,-0.102773047590209,1.11535768990568e-07
170,"69012",0,0,0,0,0,0,0,0,-0.103030476633894,1.13910087047364e-07
171,"69589",0,0,0,0,0,0,0,0,-0.103287791767492,1.1628440510416e-07
172,"69905",0,0,0,0,0,0,0,0,-0.103544990616685,1.18658723160955e-07
173,"70034",0,0,0,0,0,0,0,0,-0.103802070807155,1.21033041217751e-07
174,"71060",0,0,0,0,0,0,0,0,-0.104059029964583,1.23407359274547e-07
175,"71223",0,0,0,0,0,0,0,0,-0.104315865714652,1.25781677331342e-07
176,"71654",0,0,0,0,0,0,0,0,-0.104572575683044,1.28155995388138e-07
177,"71719",0,0,0,0,0,0,0,0,-0.104829157495441,1.30530313444934e-07
178,"71729",0,0,0,0,0,0,0,0,-0.105085608777524,1.32904631501729e-07
179,"72104",0,0,0,0,0,0,0,0,-0.105341927154976,1.35278949558525e-07
180,"72424",0,0,0,0,0,0,0,0,-0.105598110253478,1.37653267615321e-07
181,"72482",0,0,0,0,0,0,0,0,-0.105854155698712,1.40027585672116e-07
182,"73097",0,0,0,0,0,0,0,0,-0.106110061116361,1.42401903728912e-07
183,"73234",0,0,0,0,0,0,0,0,-0.106365824132106,1.44776221785708e-07
184,"73566",0,0,0,0,0,0,0,0,-0.106621442371629,1.47150539842503e-07
185,"75162",0,0,0,0,0,0,0,0,-0.106876913460613,1.49524857899299e-07
186,"75508",0,0,0,0,0,0,0,0,-0.107132235024738,1.51899175956095e-07
187,"76415",0,0,0,0,0,0,0,0,-0.107387404689688,1.5427349401289e-07
188,"76416",0,0,0,0,0,0,0,0,-0.107642420081143,1.56647812069686e-07
189,"76967",0,0,0,0,0,0,0,0,-0.107897278824787,1.59022130126482e-07
190,"77109",0,0,0,0,0,0,0,0,-0.1081519785463,1.61396448183277e-07
191,"77313",0,0,0,0,0,0,0,0,-0.108406516871365,1.63770766240073e-07
192,"77441",0,0,0,0,0,0,0,0,-0.108660891425664,1.66145084296869e-07
193,"77485",0,0,0,0,0,0,0,0,-0.108915099834879,1.68519402353664e-07
