"feature_id","gene","baseMean","lfc","stat","pvalue","padj","emp_p","emp_q","lfdr","hc","hbfss_thr","hbfss","std","weak","strong","hbfss_sig","hbfss_only","overlap","dir"
"68977","Tcf7",2.08939837948508,0.0143299122373329,0.264997593388595,0.791011315760573,0.973396438839841,0.810651739174358,0.947638258352441,1,0.0223630001696145,1.65046993290979,0.00130639621100975,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"68989","Vdac1",19.4844553938176,-0.32214967134128,-2.71373633032323,0.00665290951700409,0.145570503086546,0.0141473811523485,0.293460654285708,0.598782583788338,0.0223630001696145,1.65046993290979,0.595759101326017,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"down"
"68996","LOC100362027",65.3262528688486,-0.057670667567098,-0.506054204731226,0.612818597989894,0.94219247862341,0.647293359493007,0.935278912325939,1,0.0223630001696145,1.65046993290979,0.0108939226861698,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"69012","Fstl4",3.09926941428074,0.017619727121442,0.278904684993897,0.780317973051075,0.972190382945248,0.800918334876551,0.947035619781168,1,0.0223630001696145,1.65046993290979,0.00169874897678484,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"69018","Fstl4",4.17917178289076,-0.0254974312067988,-0.383257273864293,0.701529015539006,0.960590635458518,0.728963712012551,0.942110254810195,1,0.0223630001696145,1.65046993290979,0.00350064662575809,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"69021","Hspa4",154.263910786228,0.367122598364912,1.86148093510106,0.0626762904805466,0.456000666207374,0.0923805171338685,0.673459572122964,1,0.0223630001696145,1.65046993290979,0.379758815375191,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"69022","Hspa4",5.23415681734696,0.0365047555000751,0.512125008376045,0.608563522988706,0.941000260995371,0.643354215750407,0.934908430796278,1,0.0223630001696145,1.65046993290979,0.0069924803989035,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"69030","Hspa4",64.3845433173442,0.212783324376809,1.26822730893296,0.204716787314088,0.727422211946671,0.251543205600659,0.848845265147647,1,0.0223630001696145,1.65046993290979,0.1275396454445,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"69078","Uqcrq",384.375585018369,-0.406753809518202,-2.12002673284795,0.034003790918896,0.337921357600799,0.0552729779484809,0.552367807500718,1,0.0223630001696145,1.65046993290979,0.51148768309185,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"69085","Sowaha",22.2995589106548,0.0724087586732688,0.508551731684518,0.61106646950289,0.941731976833391,0.645671592322995,0.935126894967898,1,0.0223630001696145,1.65046993290979,0.0137568184767002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"69086","Sowaha",45.3943672907457,-0.0391518845938177,-0.264611766227143,0.791308555014502,0.973418846762694,0.810922200263469,0.947654808042182,1,0.0223630001696145,1.65046993290979,0.00356363624594503,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"69088","Sowaha",3.37684184853351,-0.0268152087538748,-0.381963135602183,0.702488708711486,0.960590635458518,0.729843048569688,0.942175969023593,1,0.0223630001696145,1.65046993290979,0.00366753015467145,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"69090","Sowaha",20.1168524137533,0.165103622680713,1.09405257998534,0.273931918259047,0.788514396896091,0.322596074485923,0.878078553150346,1,0.0223630001696145,1.65046993290979,0.081122166132781,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"69098","-",2.14462269592751,0.0599934145955175,1.19441814038254,0.232314444306755,0.75229696710896,0.280196524294153,0.862172127777998,1,0.0223630001696145,1.65046993290979,0.0331485966927897,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"69099","-",6.51199995809157,-0.126854644146914,-1.25366275850023,0.209964609645277,0.732316644484678,0.257028997790882,0.85159259535563,1,0.0223630001696145,1.65046993290979,0.0748465078492239,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"69115","Rad50",3.91462860995708,0.0254721031347569,0.343212977025851,0.731438242711745,0.966492085778042,0.756332713915116,0.944087953694037,1,0.0223630001696145,1.65046993290979,0.00308943788974808,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"69189","Slc22a4",3.29571481200658,-0.00112529319559544,-0.0217785725520835,0.98262458675966,0.997889601790665,0.984290596250499,0.956473339347234,1,0.0223630001696145,1.65046993290979,7.73826326621703e-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"69222","Pdlim4",78.3420091477188,-0.00644822398583763,-0.0454104693215169,0.963780136285377,0.995533062888424,0.967251429269885,0.955740507521792,1,0.0223630001696145,1.65046993290979,9.32453158709782e-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"69239","Acsl6",10.2457603847133,-0.256043291370779,-3.16957201173267,0.00152663623422775,0.0568433741300444,0.00416190770761715,0.145825024160596,0.363487069053552,0.0223630001696145,1.65046993290979,0.60956419810044,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"down"
"69268","Cdc42se2",53.7550690479596,0.191233648631392,1.18331597342757,0.236683944548486,0.756870729822844,0.28469112724792,0.864052286337272,1,0.0223630001696145,1.65046993290979,0.104342063765979,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"69269","Cdc42se2",31.7556519137212,0.0144998125821135,0.115101291193683,0.908364836483037,0.988588601915378,0.917118945300347,0.953433810594856,1,0.0223630001696145,1.65046993290979,0.000544820816314343,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"69273","Cdc42se2",3.28178970555694,0.0669407090121205,0.88986735271665,0.373537115874588,0.856765843670963,0.421089537243742,0.90385431430446,1,0.0223630001696145,1.65046993290979,0.0251446405934406,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"69302","Lyrm7",31.4364145507278,0.291091870589705,1.602222561213,0.109106402754899,0.585680020338604,0.147456168947015,0.767007278055613,1,0.0223630001696145,1.65046993290979,0.241995458044607,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"69315","Tnip1",56.1535325918324,0.178740860634816,1.10708498636821,0.268257186056221,0.783240617494158,0.316865614727148,0.876146712514056,1,0.0223630001696145,1.65046993290979,0.0892140117847285,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"69332","Anxa6",62.8943016158134,-0.0202208828043415,-0.154476869175174,0.877233748017405,0.983845750928286,0.888926164125992,0.95202778717055,1,0.0223630001696145,1.65046993290979,0.00103398090689204,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"69333","Anxa6",422.815997075347,1.01153829164312,5.70526390957296,1.16162964770041e-08,8.74319914835841e-06,2.49400803120636e-07,0.000174660895214684,0.000558965417260943,0.0223630001696145,1.65046993290979,6.67929067072284,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"up"
"69367","Ybx1-ps3",1.27595609291353,0.0244071383426731,0.586563909069681,0.557496627698206,0.930605679718477,0.595893787680032,0.930086611534771,1,0.0223630001696145,1.65046993290979,0.00548748479054562,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"69388","Sparc",548.427619378375,-0.0715558871857823,-0.511712822890475,0.608852010446101,0.941000260995371,0.643621353966195,0.934933689503988,1,0.0223630001696145,1.65046993290979,0.0136936183156514,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"69395","Sparc",4.08625011136544,0.150997578132442,1.75773622605216,0.0787924009328151,0.509781666989094,0.112020665917893,0.714357288724063,1,0.0223630001696145,1.65046993290979,0.143553676868971,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"69397","Sparc",58.0980528537316,-0.467784169142343,-2.21434789851385,0.0268048560298535,0.302564602078667,0.0452846957018234,0.502731781259637,1,0.0223630001696145,1.65046993290979,0.628724632483625,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"69418","Atox1",228.116769173936,0.258202527343592,1.4737091402079,0.140559920827135,0.642830568409085,0.182733372675932,0.8031320919386,1,0.0223630001696145,1.65046993290979,0.190600491609058,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
