"feature_id","gene","baseMean","lfc","stat","pvalue","padj","emp_p","emp_q","lfdr","hc","hbfss_thr","hbfss","std","weak","strong","hbfss_sig","hbfss_only","overlap","dir"
"100777","-",5.09949764921859,0.0264957579128003,0.384708639652989,0.700453293442965,0.994870262861832,0.701835895759308,0.952433413596247,1,0.0338872008385749,1.46996430341307,0.00407410493633914,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"100850","Grik1",21.1978296675556,0.119906317582997,1.11297740765433,0.265718132612855,0.913838026634651,0.268042755051588,0.884355319989544,1,0.0338872008385749,1.46996430341307,0.0685619439986511,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"101025","Scaf4",4.06957512278135,0.0505932167536496,0.809560008584414,0.418193100498246,0.970308856771624,0.420453422315654,0.923049730170487,1,0.0338872008385749,1.46996430341307,0.0190373222603557,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"101077","Mis18a",4.22489742081282,-0.0369664395610527,-0.52107479646061,0.60231466749915,0.994870262861832,0.604075725366784,0.945157679498814,1,0.0338872008385749,1.46996430341307,0.00809227212038974,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"101079","Urb1",18.8168898523329,-0.0030833299327003,-0.0308883424033389,0.975358586902932,0.998745829113885,0.975478023148131,0.965314012739556,1,0.0338872008385749,1.46996430341307,3.32460374252621e-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"101162","Synj1",2.48576446392747,-0.0153134772871122,-0.279578542867302,0.779800871174314,0.994870262861832,0.780841175927446,0.957039427303944,1,0.0338872008385749,1.46996430341307,0.00164523854892078,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"101235","LOC120095612",17.2816124523307,0.0651317167217999,0.851738248091208,0.394359386927775,0.96558446173584,0.396655987297251,0.918807922104105,1,0.0338872008385749,1.46996430341307,0.0261559846730405,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"101349","Tmem50b",5.37502582112591,0.111863541560262,1.35960214766904,0.17395585816131,0.854955867482171,0.176052399670182,0.833962076897326,1,0.0338872008385749,1.46996430341307,0.0843851631817776,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"101361","Son",4.5881269191298,-0.0401298915034125,-0.557560753537892,0.577144362380634,0.989625739622402,0.57899218931163,0.942917382902746,1,0.0338872008385749,1.46996430341307,0.00952391859627575,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"101372","Gart",8.39170873072448,0.00718321085908969,0.0956150476950682,0.923826313626491,0.996745823096044,0.924194525982621,0.96345961957006,1,0.0338872008385749,1.46996430341307,0.000245928775384844,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"101373","Gart",1.29166145772027,0.0107519118862729,0.311532977131797,0.755395477152162,0.994870262861832,0.756543839679086,0.955720789082683,1,0.0338872008385749,1.46996430341307,0.0013027650881128,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"101396","Cryzl1",10.166235697996,0.0605718745353882,0.482053649080497,0.629767835456899,0.994870262861832,0.631429057264838,0.947408489135872,1,0.0338872008385749,1.46996430341307,0.0120947154880049,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"101465","LOC120095623",2.02116484245721,0.033867514894094,0.656525496602627,0.511486068082259,0.979044510501462,0.513535608131651,0.936106367985737,1,0.0338872008385749,1.46996430341307,0.00980225578209349,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
