"percentile","center_rank","lo_rank","hi_rank","iod_local_amplitude","cv2_local_amplitude","iod_local_midpoint","cv2_local_midpoint","iod_peak_rank","iod_trough_rank","cv2_peak_rank","cv2_trough_rank","local_window_n","iod_local_amplitude_scaled","cv2_local_amplitude_scaled"
0.155,4683,4607,4759,0.277168261277947,0.676074833152156,0.960061326550031,0.655826680814118,4619,4660,4607,4759,153,0.643854432735294,0.607111315022802
0.16,4834,4758,4910,0.43048280354373,0.300953290235947,1.05700812647743,0.267734527006539,4758,4910,4790,4758,153,1,0.270254325166492
0.165,4985,4909,5061,0.126006810284274,0.264192872445631,1.04031087326331,0.426785767551686,4954,5059,4980,5061,153,0.292710438714362,0.237243681239086
0.17,5136,5060,5212,0.176893130740368,0.361780702831324,0.886537696481513,0.454596612145339,5120,5181,5184,5075,153,0.410917995525455,0.324876992124873
0.175,5287,5211,5363,0.232447664835605,0.0588301514039817,0.979030483459632,0.112385706280088,5363,5211,5292,5337,153,0.539969687341976,0.0528291378860172
0.18,5438,5362,5514,0.19689246837759,0.464709648383481,1.00454454800793,0.352430049020083,5483,5514,5477,5514,153,0.457375920145413,0.417306593736766
0.185,5589,5513,5665,0.0859199619243063,0.484023056421868,1.01573897779287,0.765122804227553,5573,5630,5562,5665,153,0.199589765763032,0.434649923168345
0.19,5740,5664,5816,0.386484117701784,0.06300166105657,0.998433108992997,0.115980340768982,5664,5699,5737,5664,153,0.897792233557881,0.0565751295819442
0.195,5891,5815,5967,0.303937825510284,0.199882226807964,0.973494373749122,0.225459539779471,5967,5815,5839,5892,153,0.706039412046826,0.179493091025558
0.2,6042,5966,6118,0.137343944117096,0.534776972481888,1.03616414373295,0.465110714255227,6080,6118,6073,6118,153,0.319046296359535,0.480226648126572
0.205,6193,6117,6269,0.270540332017534,0.452570877865412,0.891317599931794,0.366641726822941,6269,6117,6174,6222,153,0.628457930933476,0.40640604756849
0.21,6344,6268,6420,0.153536481579889,0.114311704111043,1.04408371181088,0.10511432846248,6268,6383,6338,6420,153,0.356661126335312,0.102651253385338
